dates,compound_vader_score,vader_label,hsi_average
2021-01-15,0.33525,2,0.006321332003752671
2021-01-19,0.2023,2,0.01862907936467027
2021-01-20,0.050575,2,0.0056406737369071825
2021-01-21,-0.3182,0,-0.0008019400454284887
2021-01-22,0.0,1,-0.012123119372499316
2021-01-26,0.148,2,-0.01677959278906255
2021-01-28,0.148,2,-0.012591456744321269
2021-01-29,0.1779,2,-0.018818614047397774
2021-02-01,0.0,1,0.015286108107117578
2021-02-02,0.2023,2,-0.004405316802464526
2021-02-04,0.296,2,0.0006860951999383455
