dates,compound_vader_score,vader_label,hsi_average
2021-01-22,0.5473,2,-0.012123119372499316
2021-01-26,0.21637499999999998,2,-0.01677959278906255
2021-01-27,0.07655,2,-0.008764572239591583
2021-01-28,0.0,1,-0.012591456744321269
2021-01-29,0.694,2,-0.018818614047397774
2021-02-01,0.0,1,0.015286108107117578
2021-02-02,0.27365,2,-0.004405316802464526
2021-02-03,0.2023,2,6.997961260619406e-05
2021-02-04,0.28099999999999997,2,0.0006860951999383455
2021-02-05,0.3648666666666667,2,-0.0005599763159743342
