,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,香港仔,,海峰華軒,香港仔大道244號,中層,A室,9120000.0,790.0,11544.0,567,16085,2021-04-12,3.0
1,港島,香港仔,香港仔中心,港興閣 (J座),南寧街13號,15樓,4室,8380000.0,668.0,12545.0,559,14991,2021-04-12,3.0
2,港島,華富,嘉隆苑,嘉昇閣 (A座),田灣海旁道,三十五樓,10室,6000000.0,515.0,11650.0,401,14963,2021-04-12,2.0
3,港島,薄扶林,置富花園,富俊苑 (H-14座),置富道14號,21樓,A室,7380000.0,518.0,14247.0,439,16811,2021-04-12,2.0
4,港島,玉桂山灣畔,南灣,10座,鴨脷洲海旁道8號,17樓,A室,22500000.0,1338.0,16816.0,1072,20989,2021-04-12,1.0
5,港島,鴨脷洲,悅海華庭,1座,悅海街1號,33樓,G室,7380000.0,559.0,13202.0,427,17283,2021-04-12,
6,港島,鴨脷洲,,利發大廈,鴨脷洲大街96-98號,19樓,B室,5000000.0,,,403,12407,2021-04-12,
7,港島,鴨脷洲,,利豐大廈,鴨脷洲大街147號,十六樓,B室,6650000.0,486.0,13683.0,386,17228,2021-04-12,
8,港島,香港仔,景惠花園,1座,香港仔大道8號,23樓,C室,6150000.0,529.0,11626.0,406,15148,2021-04-12,
9,港島,薄扶林,薄扶林花園,2座,薄扶林道180號,6樓,H室,10100000.0,828.0,12198.0,703,14367,2021-04-12,3.0
10,港島,鴨脷洲,漁安苑,珊安閣 (F座),漁安苑道3號,低層,8室,6480000.0,618.0,10485.0,504,12857,2021-04-09,2.0
11,港島,華富,,富臨軒,華富道8號,低層,B室,8000000.0,688.0,11628.0,523,15296,2021-04-09,2.0
12,港島,香港仔,香港仔中心,港興閣 (J座),南寧街13號,18樓,2室,6450000.0,554.0,11643.0,451,14302,2021-04-09,2.0
13,港島,薄扶林,,豪峰II,薄扶林道116號,9樓,116號,26800000.0,1750.0,15314.0,1184,22635,2021-04-09,
14,港島,薄扶林,,美琳園,碧荔道28號,3樓,J室,14300000.0,949.0,15068.0,692,20665,2021-04-09,
15,港島,深灣,深灣9號,6座,惠福道9號,高層,A室,78000000.0,2323.0,33577.0,1807,43165,2021-04-08,4.0
16,港島,玉桂山灣畔,深灣軒,3座,鴨脷洲徑,高層,E室,9990000.0,664.0,15045.0,515,19398,2021-04-08,2.0
17,港島,香港仔,漁暉苑,美暉閣 (C座),漁光道45號,中層,6室,5450000.0,460.0,11848.0,384,14193,2021-04-08,
18,港島,深灣,雅濤閣,3座,深灣道11號,11樓,B室,7450000.0,563.0,13233.0,470,15851,2021-04-08,
19,港島,薄扶林,碧瑤灣,23座,域多利道555號,25樓,A室,20200000.0,1020.0,19804.0,906,22296,2021-04-08,2.0
20,港島,香港仔,,南灣御園,香港仔大道238號,33樓,E室,8200000.0,687.0,11936.0,491,16701,2021-04-08,2.0
21,港島,玉桂山灣畔,南灣,6座,鴨脷洲海旁道8號,38樓,C室,43660000.0,1913.0,22823.0,1425,30639,2021-04-08,3.0
22,港島,玉桂山灣畔,南區．左岸,2座,鴨脷洲徑8號,2樓,A室,62000000.0,,,1657,37417,2021-04-08,4.0
23,港島,薄扶林,薄扶林花園,6座,薄扶林道180號,15樓,F室,19050000.0,1345.0,14164.0,1173,16240,2021-04-08,3.0
24,港島,深灣,雅濤閣,3座,深灣道11號,低層,G室,7600000.0,689.0,11030.0,576,13194,2021-04-07,
25,港島,鴨脷洲,鴨脷洲中心,A座,利枝道138號,8樓,8室,4880000.0,445.0,10966.0,325,15015,2021-04-07,
