,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,貝沙灣,1期,2座,貝沙灣道28號,中層,B室,42500000.0,1684.0,25238.0,1365,31136,2021-04-01,3.0
1,港島,貝沙灣,4期 南灣,5座,貝沙山道68號,9樓,A室,62500000.0,2346.0,26641.0,1798,34761,2021-04-01,4.0
2,港島,貝沙灣,4期 南灣,6座,貝沙山道68號,27樓,B室,17150000.0,913.0,18784.0,723,23721,2021-03-31,2.0
3,港島,貝沙灣,6期,1座,數碼港道,20樓,D室,19150000.0,1053.0,18186.0,745,25705,2021-03-30,2.0
4,港島,貝沙灣,1期,7座,貝沙灣道28號,37樓,B室,41800000.0,1687.0,24778.0,1366,30600,2021-03-30,3.0
5,港島,貝沙灣,4期 南灣,9座,貝沙山道68號,中層,B室,14538000.0,835.0,17411.0,651,22332,2021-03-29,2.0
6,港島,貝沙灣,2期 南岸,6座,貝沙灣道38號,48樓,B室,36000000.0,1525.0,23607.0,1251,28777,2021-03-29,3.0
7,港島,貝沙灣,4期 南灣,5座,貝沙山道68號,31樓,B室,67000000.0,2463.0,27203.0,1886,35525,2021-03-29,4.0
8,港島,貝沙灣,2期 南岸,8座,貝沙灣道38號,32樓,A室,43000000.0,1697.0,25339.0,1376,31250,2021-03-29,3.0
9,港島,貝沙灣,1期,6座,貝沙灣道28號,17樓,A室,38000000.0,1679.0,22633.0,1358,27982,2021-03-24,3.0
10,港島,貝沙灣,1期,6座,貝沙灣道28號,低層,A室,38000000.0,1679.0,22633.0,1358,27982,2021-03-20,3.0
11,港島,貝沙灣,4期 南灣,3座,貝沙山道68號,9樓,A室,54500000.0,2429.0,22437.0,1893,28790,2021-03-18,4.0
12,港島,貝沙灣,4期 南灣,2座,貝沙山道68號,19樓,B室,19280000.0,912.0,21140.0,723,26667,2021-03-16,2.0
13,港島,貝沙灣,1期,7座,貝沙灣道28號,高層,B室,42600000.0,1687.0,25252.0,1401,30407,2021-03-15,3.0
14,港島,貝沙灣,4期 南灣,5座,貝沙山道68號,低層,A室,62500000.0,2346.0,26641.0,1798,34761,2021-03-15,4.0
15,港島,貝沙灣,1期,2座,貝沙灣道28號,40樓,B室,50000000.0,1682.0,29727.0,1364,36657,2021-03-09,
16,港島,貝沙灣,4期 南灣,5座,貝沙山道68號,中層,B室,67000000.0,2463.0,27203.0,1886,35525,2021-03-05,4.0
17,港島,貝沙灣,4期 南灣,1座,貝沙山道68號,17樓,A室,40000000.0,1708.0,23419.0,1306,30628,2021-03-05,3.0
