,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,大坑半山,龍華花園,1座,大坑徑25號,低層,D室,20380000.0,1209.0,16857.0,962,21185,2021-04-12,3.0
1,港島,東半山,,詩濤花園,肇輝臺2號,10樓,A室,37800000.0,2325.0,16258.0,2189,17268,2021-04-12,
2,港島,大坑半山,,雅景軒,大坑道17-19號,10樓,A室,12500000.0,933.0,13398.0,677,18464,2021-04-12,
3,港島,大坑半山,,龍園,春暉臺1-4號,低層,C室,26000000.0,1750.0,14857.0,1588,16373,2021-04-09,
4,港島,跑馬地,,嘉逸軒,成和道69號,高層,C室,9400000.0,632.0,14873.0,445,21124,2021-04-08,2.0
5,港島,跑馬地,,金光大廈,景光街36-44號,中層,B室,6500000.0,425.0,15294.0,346,18786,2021-04-08,1.0
6,港島,跑馬地,雲暉大廈,C座,雲地利道1-5號,中層,1室,41800000.0,1597.0,26174.0,1304,32055,2021-04-08,3.0
7,港島,跑馬地,,友誼大廈,藍塘道12-22號,17樓,14號(C室),13800000.0,1000.0,13800.0,728,18956,2021-04-08,
8,港島,跑馬地,,永勝大廈,黃泥涌道11-11A號,十一樓,D室(11號後座),9410000.0,700.0,13443.0,554,16986,2021-04-08,
9,港島,跑馬地,,山村臺 7 號,山村臺7號,2樓,A室,5510000.0,597.0,9229.0,404,13639,2021-04-08,
10,港島,跑馬地,,怡豐大廈,山村道1-1F號,8樓,E室,5450000.0,425.0,12824.0,340,16029,2021-04-08,
11,港島,大坑半山,龍華花園,1座,大坑徑25號,中層,E室,16100000.0,886.0,18172.0,694,23199,2021-04-07,3.0
12,港島,渣甸山,嘉雲臺,5座,白建時道33號,低層,B室,43000000.0,1819.0,23639.0,1439,29882,2021-04-07,3.0
13,港島,跑馬地,,聚文樓,山村道76號,高層,A室,18000000.0,1068.0,16854.0,929,19376,2021-04-07,3.0
14,港島,渣甸山,嘉雲臺,5座,白建時道33號,低層,B室,43000000.0,1819.0,23639.0,1439,29882,2021-04-07,3.0
15,港島,大坑半山,光明臺,1座,大坑道5號,20樓,G室,10800000.0,696.0,15517.0,568,19014,2021-04-07,2.0
16,港島,大坑半山,愉富大廈,A座,春暉道8號,中層,1室,44180000.0,2028.0,21785.0,1570,28140,2021-04-01,
17,港島,大坑半山,光明臺,2座,大坑道7號,31樓,F室,11250000.0,696.0,16164.0,568,19806,2021-04-01,2.0
18,港島,跑馬地,,聚文樓,山村道76號,二十樓,B室,20800000.0,1068.0,19476.0,929,22390,2021-04-01,3.0
19,港島,跑馬地,樂陶苑,D座,樂活道18號,中層,14室,28000000.0,1225.0,22857.0,1116,25090,2021-03-31,3.0
20,港島,跑馬地,,蔚雲閣,鳳輝臺12號,高層,B室,50000000.0,1638.0,30525.0,1300,38462,2021-03-31,
21,港島,大坑半山,龍華花園,2座,大坑徑25號,26樓,B室,17000000.0,1225.0,13878.0,976,17418,2021-03-31,3.0
22,港島,跑馬地,樂陶苑,D座,樂活道18號,17樓,11室,28000000.0,1225.0,22857.0,1116,25090,2021-03-31,3.0
23,港島,跑馬地,,成和坊 1 號,成和坊1號,地下,1號,16150000.0,1350.0,11963.0,956,16893,2021-03-31,
24,港島,跑馬地,,成和道21-23號,成和道21-23號,五樓,23號,7950000.0,800.0,9938.0,676,11760,2021-03-31,
25,港島,大坑半山,光明臺,1座,大坑道5號,低層,D室,15230000.0,910.0,16736.0,731,20834,2021-03-30,3.0
26,港島,跑馬地,,愉寶大廈,山光道3號,16樓,A室,8000000.0,504.0,15873.0,417,19185,2021-03-30,2.0
27,港島,跑馬地,雲地利台,B座,雲地利道21號,9樓,4室,36500000.0,1471.0,24813.0,1259,28991,2021-03-30,3.0
28,港島,跑馬地,,EIGHT KWAI FONG Happy Valley,桂芳街8號,9樓,F室,13410000.0,,,428,31332,2021-03-30,
29,港島,跑馬地,,永勝大廈,黃泥涌道11-11A號,高層,D室(11號後座),9410000.0,700.0,13443.0,554,16986,2021-03-29,
30,港島,大坑半山,瑞士花園,4 (GH)座,大坑道113號,中層,H室,30000000.0,1600.0,18750.0,1265,23715,2021-03-29,
31,港島,大坑半山,渣甸山花園大廈,B座,大坑道150號,6樓,2室,20800000.0,1100.0,18909.0,792,26263,2021-03-29,
32,港島,跑馬地,,樂活臺,樂活道4號,14樓,B室,25600000.0,1490.0,17181.0,1180,21695,2021-03-29,
33,港島,跑馬地,,御駿居,成和道79號,4樓,B室,33800000.0,2829.0,11948.0,1365,24762,2021-03-29,
34,港島,跑馬地,,怡豐大廈,山村道1-1F號,中層,E室,5450000.0,425.0,12824.0,340,16029,2021-03-26,
35,港島,跑馬地,,友誼大廈,藍塘道12-22號,高層,14號(C室),13800000.0,1000.0,13800.0,728,18956,2021-03-26,
36,港島,跑馬地,,駿愉居,山村道49號,22樓,B室,5800000.0,438.0,13242.0,294,19728,2021-03-26,1.0
37,港島,大坑半山,名門,2座,大坑徑23號,20樓,A室,40550000.0,1918.0,21142.0,1387,29236,2021-03-26,4.0
38,港島,跑馬地,,御駿居,成和道79號,中層,B室,13600000.0,1028.0,13230.0,650,20923,2021-03-25,
39,港島,跑馬地,,永富苑,山光道34-40號,4樓,A室(NO. 36),20500000.0,1500.0,13667.0,1169,17536,2021-03-25,
40,港島,跑馬地,,富雅閣,山村臺13號,3樓,A室,10000000.0,778.0,12853.0,664,15060,2021-03-25,
41,港島,跑馬地,,嘉樂居,山村道33號,20樓,B室,5600000.0,419.0,13365.0,290,19310,2021-03-24,
42,港島,跑馬地,雲地利台,B座,雲地利道21號,低層,4室,36500000.0,1471.0,24813.0,1259,28991,2021-03-23,3.0
43,港島,跑馬地,,常德樓,黃泥涌道15號,10樓,B室,5500000.0,450.0,12222.0,313,17572,2021-03-23,
44,港島,跑馬地,比華利山,J座,樂活道6號,7樓,1室,39500000.0,2007.0,19681.0,1697,23276,2021-03-23,4.0
45,港島,東半山,,詩濤花園,肇輝臺2號,高層,A室,37800000.0,2325.0,16258.0,2189,17268,2021-03-22,
46,港島,跑馬地,千葉居,B座,藍塘道139號,,3室,12000000.0,871.0,13777.0,568,21127,2021-03-22,
47,港島,東半山,松柏新邨,E座,司徒拔道43號,19樓,1室,37600000.0,1720.0,21860.0,1525,24656,2021-03-22,
48,港島,跑馬地,,雲臺別墅,雲地利道25-27號,12樓,D室,34800000.0,1600.0,21750.0,1180,29492,2021-03-22,
49,港島,大坑半山,,碧蘭閣,大坑徑8號,11樓,B室,26300000.0,1680.0,15655.0,1255,20956,2021-03-22,3.0
50,港島,大坑半山,,大坑道1號,大坑道1號,14樓,A室,16380000.0,1085.0,15097.0,872,18784,2021-03-22,
51,港島,跑馬地,,愉寶大廈,山光道3號,中層,A室,8000000.0,504.0,15873.0,417,19185,2021-03-19,2.0
52,港島,跑馬地,,樂活臺,樂活道4號,21樓,B室,25000000.0,1490.0,16779.0,1180,21186,2021-03-19,
