,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,杏花邨,杏花邨,32座,盛泰道100號,低層,7室,8010000.0,607,13196,499,16052,2021-04-12,2.0
1,港島,杏花邨,杏花邨,43座,盛泰道100號,13樓,3室,9980000.0,777,12844,645,15473,2021-04-09,3.0
2,港島,杏花邨,杏花邨,47座,盛泰道100號,低層,6室,9750000.0,766,12728,645,15116,2021-04-08,3.0
3,港島,杏花邨,杏花邨,26座,盛泰道100號,5樓,7室,9800000.0,751,13049,620,15806,2021-04-08,3.0
4,港島,杏花邨,杏花邨,17座,盛泰道100號,13樓,6室,8130000.0,559,14544,454,17907,2021-04-07,2.0
5,港島,杏花邨,杏花邨,40座,盛泰道100號,8樓,5室,8600000.0,648,13272,547,15722,2021-04-01,2.0
6,港島,杏花邨,杏花邨,35座,盛泰道100號,6樓,1室,10180000.0,740,13757,615,16553,2021-04-01,3.0
7,港島,杏花邨,杏花邨,3座,盛泰道100號,11樓,2室,9600000.0,732,13115,595,16134,2021-04-01,3.0
8,港島,杏花邨,杏花邨,3座,盛泰道100號,6樓,6室,7580000.0,556,13633,453,16733,2021-04-01,2.0
9,港島,杏花邨,杏花邨,34座,盛泰道100號,2樓,8室,9150000.0,722,12673,614,14902,2021-03-31,3.0
10,港島,杏花邨,杏花邨,40座,盛泰道100號,1樓,6室,8500000.0,766,11097,645,13178,2021-03-31,3.0
11,港島,杏花邨,杏花邨,47座,盛泰道100號,21樓,5室,9420000.0,687,13712,593,15885,2021-03-31,3.0
12,港島,杏花邨,杏花邨,45座,盛泰道100號,7樓,8室,11480000.0,974,11786,826,13898,2021-03-30,3.0
13,港島,杏花邨,杏花邨,43座,盛泰道100號,17樓,7室,9880000.0,779,12683,659,14992,2021-03-30,3.0
14,港島,杏花邨,杏花邨,31座,盛泰道100號,4樓,7室,8280000.0,597,13869,498,16627,2021-03-30,2.0
15,港島,杏花邨,杏花邨,5座,盛泰道100號,16樓,4室,8200000.0,583,14065,475,17263,2021-03-30,2.0
16,港島,杏花邨,杏花邨,20座,盛泰道100號,中層,5室,8080000.0,584,13836,474,17046,2021-03-29,2.0
17,港島,杏花邨,杏花邨,37座,盛泰道100號,7樓,2室,8680000.0,598,14515,499,17395,2021-03-29,2.0
