,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,石塘咀,,佳景閣,山道38號,高層,B室,7200000.0,424.0,16981.0,325,22154,2021-04-14,
1,港島,上環,,星輝大廈,威利麻街8-12號,高層,D室,7280000.0,,,424,17170,2021-04-14,
2,港島,堅尼地城,嘉輝花園,B座,士美非路75號,十六樓,4室,5145000.0,353.0,14575.0,262,19637,2021-04-12,2.0
3,港島,堅尼地城,翡翠閣,B座,卑路乍街35A號,24樓,2室,6150000.0,410.0,15000.0,343,17930,2021-04-12,
4,港島,堅尼地城,羲皇台一號,4座,羲皇臺1號,2樓,B室,4830000.0,351.0,13761.0,320,15094,2021-04-12,
5,港島,西營盤,,和益大廈,皇后大道西253-263號,2樓,D室,5200000.0,492.0,10569.0,348,14943,2021-04-12,
6,港島,石塘咀,1期,均益大廈第1期,德輔道西430-440A號,十三樓,21室,4230000.0,380.0,11132.0,269,15725,2021-04-12,
7,港島,堅尼地城,,昌裕大廈,北街13-19號,5樓,A室,4980000.0,386.0,12902.0,267,18652,2021-04-12,
8,港島,西營盤,海昇大廈,2座,第二街128號,3樓,C室,5550000.0,470.0,11809.0,307,18078,2021-04-12,
9,港島,堅尼地城,,建隆樓,北街16-30號,十四樓,J室,5300000.0,,,337,15727,2021-04-12,
10,港島,西營盤,縉城峰,1座,第一街8號,47樓,C室,24000000.0,1039.0,23099.0,777,30888,2021-04-12,3.0
11,港島,西營盤,,怡豐閣,第三街101號,24樓,A室,9680000.0,543.0,17827.0,438,22100,2021-04-12,
12,港島,上環,帝后華庭,2座,皇后街1號,8樓,I室,9300000.0,759.0,12253.0,0,0,2021-04-12,3.0
13,港島,堅尼地城,珍珠閣,A座,卑路乍街13號,11樓,6室,6850000.0,467.0,14668.0,395,17342,2021-04-12,
14,港島,堅尼地城,,三匯大廈,卑路乍街1-1F號,12樓,C室,4900000.0,,,355,13803,2021-04-12,
15,港島,上環,荷李活華庭,A座,皇后大道中268號,22樓,H室,15280000.0,929.0,16448.0,756,20212,2021-04-12,3.0
16,港島,西營盤,,藝里坊．2號,忠正街1號,27樓,L室,8407960.0,,,269,31256,2021-04-12,
17,港島,堅尼地城,泓都,2座,堅尼地城新海旁街38號,中層,E室,11080000.0,656.0,16890.0,482,22988,2021-04-09,2.0
18,港島,堅尼地城,美菲閣,2座,士美非路43號,高層,J室,6800000.0,420.0,16190.0,330,20606,2021-04-09,
