,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,中半山,,帝景閣,堅尼地道3號,中層,C室,27500000.0,1102.0,24955.0,856,32126,2021-04-12,
1,港島,中半山,帝景園,5座,舊山頂道17-23號,38樓,A室,55000000.0,1962.0,28033.0,1513,36352,2021-04-12,3.0
2,港島,中半山,鳳凰閣,5座,堅尼地道39號,1樓,C室,18080000.0,1290.0,14016.0,1141,15846,2021-04-12,
3,港島,中半山,,威豪閣,麥當勞道35號,6樓,B室,41800000.0,1815.0,23030.0,1636,25550,2021-04-12,
4,港島,中半山,御花園,1座,堅尼地道9A號,16樓,A室,80880000.0,2720.0,29735.0,2072,39035,2021-04-12,
5,港島,中半山,,威豪閣,麥當勞道35號,21樓,A室,49380000.0,1987.0,24852.0,1695,29133,2021-04-09,
6,港島,中半山,,威豪閣,麥當勞道35號,22樓,A室,47800000.0,1987.0,24056.0,1695,28201,2021-04-09,
7,港島,中半山,帝景園,4座,舊山頂道17-23號,37樓,B室,67500000.0,1962.0,34404.0,1513,44613,2021-04-09,
8,港島,中半山,,威豪閣,麥當勞道35號,36樓,B室,59000000.0,2128.0,27726.0,1826,32311,2021-04-08,
9,港島,中半山,地利根德閣,3座,地利根德里14號,中層,B室,50000000.0,2020.0,24752.0,1582,31606,2021-04-01,
10,港島,中半山,,百輝大廈,麥當勞道72號,1樓,B室,24080000.0,1700.0,14165.0,1364,17654,2021-03-30,
11,港島,中半山,曉峰閣,3座,舊山頂道18號,2樓,C室,20000000.0,976.0,20492.0,771,25940,2021-03-26,2.0
12,港島,中半山,,君珀,堅尼地道4號,高層,B室,71000000.0,2007.0,35376.0,1452,48898,2021-03-25,3.0
13,港島,中半山,曉峰閣,2座,舊山頂道18號,6樓,D室,18300000.0,821.0,22290.0,646,28328,2021-03-25,2.0
14,港島,中半山,曉峰閣,3座,舊山頂道18號,8樓,B室,15000000.0,783.0,19157.0,625,24000,2021-03-24,2.0
15,港島,中半山,,豪華閣,麥當勞道7-9號,6樓,7/9號,55600000.0,2654.0,20950.0,2320,23966,2021-03-23,
16,港島,中半山,慧景臺,A座,堅尼地道128-130號,2樓,1室,17700000.0,935.0,18930.0,817,21665,2021-03-23,
17,港島,中半山,,永威閣,堅尼地道31號,16樓,31號,33880000.0,1860.0,18215.0,1478,22923,2021-03-22,
18,港島,中半山,曉峰閣,2座,舊山頂道18號,低層,D室,18300000.0,821.0,22290.0,646,28328,2021-03-18,2.0
19,港島,中半山,,文苑花園大廈,堅尼地道52A-52B號,9樓,A座(52A東座),36800000.0,2000.0,18400.0,1669,22049,2021-03-18,
