,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,北角半山,2期,9座,寶馬山道1號,低層,A室,20300000.0,1070.0,18972.0,847,23967,2021-04-12,3.0
1,港島,北角半山,1期,2座,寶馬山道1號,中層,B室,16100000.0,1016.0,15846.0,803,20050,2021-04-09,3.0
2,港島,北角半山,金龍大廈,B座,金龍臺6號,高層,2室,14898000.0,962.0,15486.0,857,17384,2021-04-09,
3,港島,北角半山,富澤花園,富慧閣,炮台山道32號,19樓,C室,13000000.0,832.0,15625.0,696,18678,2021-04-09,3.0
4,港島,北角半山,富澤花園,富慧閣,炮台山道32號,30樓,A室,16600000.0,956.0,17364.0,798,20802,2021-04-08,3.0
5,港島,北角半山,1期,2座,寶馬山道1號,高層,A室,19680000.0,1102.0,17858.0,871,22595,2021-04-07,3.0
6,港島,北角半山,,創福苑,天后廟道63號,低層,A室,18680000.0,1260.0,14825.0,941,19851,2021-04-07,
7,港島,北角半山,豐林閣,2座,寶馬山道24號,高層,B室,25000000.0,1596.0,15664.0,1260,19841,2021-04-07,3.0
8,港島,北角半山,,摩天大廈,天后廟道132-142號,2樓,D室,39500000.0,2200.0,17955.0,1806,21872,2021-04-07,
9,港島,北角半山,柏傲山,5座,天后廟道18A號,低層,A室,26280000.0,,,913,28784,2021-04-01,3.0
10,港島,北角半山,珊瑚閣,B1-B3座,雲景道51-67號,10樓,B3座,16500000.0,1086.0,15193.0,877,18814,2021-04-01,3.0
11,港島,北角半山,富豪閣,3座,雲景道56號,低層,D室,10000000.0,870.0,11494.0,718,13928,2021-03-31,3.0
12,港島,北角半山,富麗園,A座,雲景道50號,15樓,2室,16000000.0,964.0,16598.0,837,19116,2021-03-30,
13,港島,北角半山,柏傲山,3座,天后廟道18A號,21樓,C室,20000000.0,,,717,27894,2021-03-30,1.0
14,港島,北角半山,富澤花園,富威閣,炮台山道32號,18樓,D室,10880000.0,738.0,14743.0,645,16868,2021-03-29,3.0
15,港島,北角半山,富澤花園,富達閣,炮台山道32號,1樓,H室,10000000.0,747.0,13387.0,650,15385,2021-03-25,3.0
16,港島,北角半山,萬德閣,B座,雲景道46號,20樓,4室,9700000.0,636.0,15252.0,521,18618,2021-03-24,
17,港島,北角半山,,興漢大廈,英皇道26-36號,20樓,C室,8280000.0,642.0,12897.0,504,16429,2021-03-23,3.0
18,港島,北角半山,富澤花園,富慧閣,炮台山道32號,34樓,A室,15880000.0,956.0,16611.0,798,19900,2021-03-22,3.0
19,港島,北角半山,豐林閣,2座,寶馬山道24號,3樓,B室,18000000.0,1596.0,11278.0,1260,14286,2021-03-22,3.0
20,港島,北角半山,,峰景大廈,雲景道60號,13樓,E室,29000000.0,2195.0,13212.0,1690,17160,2021-03-17,3.0
21,港島,北角半山,雲峰大廈,C1座,天后廟道152號,3樓,1室,26000000.0,1650.0,15758.0,1407,18479,2021-03-16,3.0
22,港島,北角半山,豪廷峰,1座,炮台山道28號,22樓,A室,12000000.0,783.0,15326.0,580,20690,2021-03-15,2.0
23,港島,北角半山,富澤花園,富慧閣,炮台山道32號,高層,A室,15880000.0,956.0,16611.0,798,19900,2021-03-12,3.0
24,港島,北角半山,珊瑚閣,B4-B6座,雲景道51-67號,15樓,B6座,16500000.0,1086.0,15193.0,877,18814,2021-03-12,
25,港島,北角半山,1期,1座,寶馬山道1號,22樓,A室,20500000.0,1143.0,17935.0,920,22283,2021-03-12,3.0
