,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,西半山,學士臺,2座,薄扶林道101號,中層,G室,12300000.0,772.0,15933.0,649,18952,2021-04-14,
1,港島,西半山,福苑,2座,旭龢道9號,中層,B室,28500000.0,1534.0,18579.0,1224,23284,2021-04-13,
2,港島,西半山,,麗怡大廈,般咸道38號,低層,A室,9180000.0,686.0,13382.0,498,18434,2021-04-12,
3,港島,西半山,嘉兆臺,5座,羅便臣道10號,低層,A室,30000000.0,1620.0,18519.0,1285,23346,2021-04-12,3.0
4,港島,西半山,,寶苑,堅道39-41號,地下,F室,6239000.0,303.0,20591.0,301,20728,2021-04-12,
5,港島,西半山,,香港花園,西摩道8號,17樓,B室,45000000.0,2202.0,20436.0,1991,22602,2021-04-12,
6,港島,西半山,聯邦花園,倫敦閣 (1座),干德道41號,12樓,B室,25300000.0,1350.0,18741.0,1166,21698,2021-04-12,
7,港島,西半山,1期,1座,薄扶林道89號,17樓,C室,17600000.0,979.0,17978.0,762,23097,2021-04-12,2.0
8,港島,西半山,,福熙苑,摩羅廟街1-9號,6樓,B室,7160000.0,436.0,16422.0,344,20814,2021-04-12,
9,港島,西半山,,時樂花園,巴丙頓道6A號,1樓,A室,6500000.0,568.0,11444.0,365,17808,2021-04-12,
10,港島,西半山,,翠安閣,薄扶林道71號,高層,B室,7000000.0,481.0,14553.0,338,20710,2021-04-09,
11,港島,西半山,2期,6座,薄扶林道89號,高層,A室,26680000.0,1164.0,22921.0,907,29416,2021-04-09,3.0
12,港島,西半山,,金寧大廈,般咸道13-15號,高層,A室,11050000.0,776.0,14240.0,624,17708,2021-04-09,
13,港島,西半山,聯邦花園,羅馬閣 (4座),干德道41號,高層,A室,31080000.0,1350.0,23022.0,1166,26655,2021-04-09,
14,港島,西半山,,駿豪閣,干德道52號,27樓,G室,15400000.0,847.0,18182.0,682,22581,2021-04-09,
15,港島,西半山,嘉兆臺,3座,羅便臣道10號,36樓,D室,29300000.0,1295.0,22625.0,1014,28895,2021-04-09,3.0
16,港島,西半山,,懿峰,西摩道9號,16樓,A室,52300000.0,2348.0,22274.0,1732,30196,2021-04-09,5.0
17,港島,西半山,殷樺花園,第二期,干德道56號,4樓,A室,17300000.0,1070.0,16168.0,849,20377,2021-04-09,3.0
18,港島,西半山,寶珊道1號,1座,寶珊道1號,高層,A室,99880000.0,2939.0,33984.0,2328,42904,2021-04-08,4.0
19,港島,西半山,,慧林閣,摩羅廟交加街17-27號,低層,B室,11000000.0,900.0,12222.0,626,17572,2021-04-08,
20,港島,西半山,2期,5座,薄扶林道89號,低層,G室,28830000.0,1398.0,20622.0,1081,26670,2021-04-08,3.0
21,港島,西半山,學士臺,2座,薄扶林道101號,高層,D室,10380000.0,620.0,16742.0,531,19548,2021-04-08,
22,港島,西半山,學士臺,2座,薄扶林道101號,十五樓,H室,9600000.0,620.0,15484.0,531,18079,2021-04-08,
23,港島,西半山,景輝大廈,A座,般咸道73-83號,二十四樓,3室,14150000.0,821.0,17235.0,694,20389,2021-04-08,
24,港島,西半山,,寶華軒,堅道117號,29樓,B室,14480000.0,811.0,17855.0,567,25538,2021-04-08,2.0
25,港島,西半山,,俊傑花園,列堤頓道48號,31樓,G室,13680000.0,792.0,17273.0,626,21853,2021-04-08,
26,港島,西半山,學士臺,2座,薄扶林道101號,六樓,G室,11180000.0,772.0,14482.0,649,17227,2021-04-08,
27,港島,西半山,高士台,1座,興漢道23號,17樓,A室,38090000.0,,,1513,25175,2021-04-08,3.0
28,港島,西半山,,蔚晴軒,英輝台3號,31樓,A室,12200000.0,738.0,16531.0,484,25207,2021-04-08,3.0
29,港島,西半山,,匯豪閣,干德道42號,15樓,C室,13800000.0,895.0,15419.0,660,20909,2021-04-07,
30,港島,西半山,添寶閣,2期,堅道43號,5樓,43號,9400000.0,793.0,11854.0,493,19067,2021-04-07,
31,港島,西半山,2期,6座,薄扶林道89號,高層,A室,24600000.0,1164.0,21134.0,907,27122,2021-04-02,3.0
32,港島,西半山,,THE BABINGTON,巴丙頓道6D-6E號,中層,B室,16700000.0,902.0,18514.0,648,25772,2021-04-01,3.0
33,港島,西半山,1期,2座,薄扶林道89號,中層,C室,16380000.0,852.0,19225.0,667,24558,2021-04-01,2.0
34,港島,西半山,,豪景閣,羅便臣道21號,2樓,B室,6780000.0,513.0,13216.0,360,18833,2021-04-01,
35,港島,西半山,,寶華軒,堅道117號,28樓,B室,14538000.0,811.0,17926.0,567,25640,2021-04-01,2.0
36,港島,西半山,,駿豪閣,干德道52號,7樓,F室,9000000.0,669.0,13453.0,521,17274,2021-04-01,
37,港島,西半山,2期,6座,薄扶林道89號,21樓,B室,17280000.0,980.0,17633.0,762,22677,2021-04-01,2.0
38,港島,西半山,,柏苑,柏道12A號,28樓,C室,10288000.0,641.0,16050.0,417,24671,2021-04-01,
39,港島,西半山,學士臺,2座,薄扶林道101號,五樓,D室,9410000.0,620.0,15177.0,531,17721,2021-04-01,
40,港島,西半山,,巴丙頓山,巴丙頓道23號,15樓,D室,19174700.0,,,562,34119,2021-04-01,2.0
41,港島,中環,,金珀苑,荷李活道23號,低層,B室,6200000.0,440.0,14091.0,274,22628,2021-03-31,
42,港島,西半山,,璈珀,干德道55號,高層,D室,58032000.0,,,1538,37732,2021-03-31,3.0
43,港島,西半山,,堅威大廈,堅道128-132號,9樓,C室,10500000.0,860.0,12209.0,695,15108,2021-03-31,
44,港島,西半山,雍景臺,1座,羅便臣道70號,40樓,E室,25520000.0,1353.0,18862.0,1117,22847,2021-03-31,3.0
45,港島,西半山,麗豪閣,A座,干德道8號,17樓,2室,9500000.0,517.0,18375.0,388,24485,2021-03-31,
46,港島,西半山,,蔚晴軒,英輝台3號,10樓,B室,8200000.0,581.0,14114.0,383,21410,2021-03-31,2.0
47,港島,西半山,2期,8座,薄扶林道89號,11樓,A室,20000000.0,1164.0,17182.0,896,22321,2021-03-31,3.0
48,港島,西半山,,安峰大廈,堅道110-118號,十七樓,F室,7380000.0,475.0,15537.0,427,17283,2021-03-31,
49,港島,西半山,慧明苑,1座,干德道36號,22樓,C室,24800000.0,1433.0,17306.0,1110,22342,2021-03-31,
50,港島,西半山,嘉兆臺,3座,羅便臣道10號,29樓,C室,25300000.0,1251.0,20224.0,967,26163,2021-03-31,3.0
51,港島,西半山,,蔚晴軒,英輝台3號,高層,A室,12200000.0,738.0,16531.0,484,25207,2021-03-30,3.0
52,港島,西半山,2期,5座,薄扶林道89號,中層,E室,30000000.0,1409.0,21292.0,1103,27199,2021-03-30,3.0
53,港島,西半山,學士臺,3座,薄扶林道101號,高層,H室,9800000.0,620.0,15806.0,531,18456,2021-03-30,
54,港島,西半山,聯邦花園,倫敦閣 (1座),干德道41號,9樓,D室,22000000.0,1350.0,16296.0,1166,18868,2021-03-30,
55,港島,西半山,,雍慧閣,般咸道11號,23樓,B室,23680000.0,1213.0,19522.0,844,28057,2021-03-30,3.0
56,港島,西半山,慧明苑,1座,干德道36號,27樓,A室,25680000.0,1348.0,19050.0,1027,25005,2021-03-30,
57,港島,西半山,,碧林閣,薄扶林道94號,11樓,C室,35000000.0,1750.0,20000.0,1544,22668,2021-03-30,
58,港島,西半山,,THE RICHMOND,羅便臣道62C號,17樓,B室,7139610.0,,,219,32601,2021-03-30,
59,港島,西半山,殷樺花園,第二期,干德道56號,低層,A室,17300000.0,1070.0,16168.0,849,20377,2021-03-29,3.0
60,港島,西半山,學士臺,2座,薄扶林道101號,低層,D室,9410000.0,620.0,15177.0,531,17721,2021-03-29,
61,港島,西半山,,駿豪閣,干德道52號,低層,B室,16600000.0,908.0,18282.0,725,22897,2021-03-29,
62,港島,西半山,學士臺,1座,薄扶林道101號,低層,E室,8750000.0,620.0,14113.0,531,16478,2021-03-29,
63,港島,西半山,學士臺,2座,薄扶林道101號,低層,G室,11180000.0,772.0,14482.0,649,17227,2021-03-29,
64,港島,西半山,,福熙苑,摩羅廟街1-9號,低層,B室,7160000.0,436.0,16422.0,344,20814,2021-03-29,
65,港島,西半山,1期,3座,薄扶林道89號,55樓,A室,20660000.0,957.0,21588.0,756,27328,2021-03-29,2.0
66,港島,西半山,,雅景大廈,西摩道17-21號,十樓,A室,10628000.0,765.0,13893.0,620,17142,2021-03-29,
67,港島,中環,,中發大廈,卑利街38-44號,8樓,B室,5600000.0,391.0,14322.0,305,18361,2021-03-29,
68,港島,西半山,,御景臺,堅道46號,18樓,C室,10000000.0,686.0,14577.0,497,20121,2021-03-29,
69,港島,西半山,慧豪閣,1座,干德道22號,19樓,C室,9980000.0,536.0,18619.0,405,24642,2021-03-29,
70,港島,西半山,1期,3座,薄扶林道89號,19樓,C室,16500000.0,852.0,19366.0,663,24887,2021-03-29,2.0
71,港島,西半山,,嘉怡閣,摩羅廟街23-27號,12樓,B室,7030000.0,491.0,14318.0,341,20616,2021-03-29,
72,港島,西半山,添寶閣,2期,堅道43號,低層,43號,9400000.0,793.0,11854.0,493,19067,2021-03-26,
73,港島,西半山,,活倫閣,活倫臺1號,中層,A室,7350000.0,550.0,13364.0,377,19496,2021-03-26,
74,港島,西半山,,君德閣,干德道20號,低層,D室,15080000.0,925.0,16303.0,705,21390,2021-03-26,
75,港島,西半山,,懿峰,西摩道9號,低層,A室,52300000.0,2348.0,22274.0,1732,30196,2021-03-26,5.0
76,港島,西半山,,羅便臣道31號,羅便臣道31號,低層,D室,23500000.0,1172.0,20051.0,884,26584,2021-03-26,3.0
77,港島,西半山,,嘉景臺,堅道93號,24樓,F室,11000000.0,654.0,16820.0,541,20333,2021-03-26,
