,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,大坑,,第一閣,銅鑼灣道78號,中層,B室,7400000.0,475.0,15579.0,304,24342,2021-04-12,
1,港島,北角,,永光閣,渣華道3-5號,11樓,C室,5500000.0,468.0,11752.0,296,18581,2021-04-12,
2,港島,北角,2期,11座,電氣道233號,9樓,B室,15600000.0,1221.0,12776.0,1062,14689,2021-04-12,3.0
3,港島,北角,,明月大廈,月園街7-15號,三樓,C室,3500000.0,317.0,11041.0,207,16908,2021-04-12,
4,港島,北角,海峰園,2座(崇峰閣),福蔭道3號,24樓,G室,17880000.0,971.0,18414.0,856,20888,2021-04-12,3.0
5,港島,北角,百福花園,百德閣,天后廟道167號,十七樓,C室,6600000.0,535.0,12336.0,406,16256,2021-04-12,
6,港島,大坑,龍濤苑,1座,浣紗街21號,15樓,G室,5700000.0,349.0,16332.0,290,19655,2021-04-12,1.0
7,港島,北角,富利來大廈,C座,京華道9-27號,二十一樓,3室,4680000.0,333.0,14054.0,238,19664,2021-04-12,
8,港島,天后,,維峰,歌頓道3號,6樓,D室,6530000.0,,,287,22753,2021-04-12,1.0
9,港島,北角,明園,第一期,孔雀道1-31號,6樓,19號,6300000.0,,,460,13696,2021-04-12,
10,港島,大坑,,浣紗閣,浣紗街1-5號,14樓,C室,6650000.0,503.0,13221.0,0,0,2021-04-12,
11,港島,北角,,銀輝大廈,和富道84-94號,二樓,D室,5200000.0,466.0,11159.0,361,14404,2021-04-12,
12,港島,北角,,錦明園,錦屏街11號,低層,B室,7080000.0,670.0,10567.0,529,13384,2021-04-09,
13,港島,北角,港運城,3座,丹拿道51-61號,高層,C室,11080000.0,672.0,16488.0,532,20827,2021-04-09,
14,港島,大坑,龍濤苑,1座,浣紗街21號,中層,G室,5700000.0,349.0,16332.0,290,19655,2021-04-09,1.0
15,港島,北角,,嘉運大廈,月園街10-16號,四樓,D室,3060000.0,232.0,13190.0,153,20000,2021-04-09,
16,港島,北角,百福花園,景福閣,天后廟道173號,十二樓,C室,7680000.0,625.0,12288.0,543,14144,2021-04-09,
17,港島,天后,柏景臺,1座,英皇道1號,14樓,B室,30000000.0,1276.0,23511.0,998,30060,2021-04-09,
18,港島,北角,明園,第一期,孔雀道1-31號,19樓,21號,6550000.0,,,460,14239,2021-04-09,
19,港島,大坑,,海麗軒,銅鑼灣道38號,6樓,B室,8130000.0,625.0,13008.0,431,18863,2021-04-09,
20,港島,北角,,華健大廈,北景街9-11號,13樓,D室,5680000.0,417.0,13621.0,334,17006,2021-04-09,
21,港島,北角,丹拿花園,5座,丹拿道18號,14樓,G室,9620000.0,633.0,15197.0,527,18254,2021-04-09,
22,港島,北角,錦屏樓,D座,錦屏街63-69號,5樓,2室,4800000.0,,,545,8807,2021-04-09,
23,港島,北角,,和富豪庭,北角道33號,低層,D室,7530000.0,625.0,12048.0,413,18232,2021-04-08,2.0
24,港島,大坑,,雋琚,重士街8號,中層,C室,12500000.0,,,439,28474,2021-04-08,2.0
