,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,淺水灣,淺水灣道 37 號,2座,淺水灣道37號,中層,A室,42080000.0,1635.0,25737.0,1199,35096,2021-04-12,
1,港島,壽臣山,翠谷別墅,1座,壽山村道4號,,,34800000.0,,,1177,29566,2021-04-09,
2,港島,赤柱,,赤柱大街29-31號,赤柱大街29-31號,4樓,29號,3200000.0,450.0,7111.0,205,15609,2021-04-08,
3,港島,大潭,A區(4期),2座,白筆山道18號,17樓,A室,25700000.0,1391.0,18476.0,1013,25370,2021-04-01,2.0
4,港島,淺水灣,涵碧苑,11座,大潭水塘道88號,中層,65室,71800000.0,2672.0,26871.0,2157,33287,2021-03-31,3.0
5,港島,大潭,B區,松柏徑75座 (S9洋房),白筆山道18號,B地段,75號洋房,73000000.0,3054.0,23903.0,2836,25740,2021-03-31,
6,港島,大潭,浪琴園,5座,大潭道38號,12樓,A室,22380000.0,1334.0,16777.0,1077,20780,2021-03-30,
7,港島,淺水灣,南灣御苑,2座,南灣坊25號,3樓,C室,33080000.0,2017.0,16401.0,1505,21980,2021-03-29,3.0
8,港島,淺水灣,凌雲閣,7座,大潭水塘道88號,16樓,51室,44800000.0,1924.0,23285.0,1505,29767,2021-03-29,3.0
9,港島,淺水灣,凌雲閣,6座,大潭水塘道88號,1樓,45室,55000000.0,2583.0,21293.0,2069,26583,2021-03-29,3.0
10,港島,淺水灣,華景園,1座,南灣道61號,6樓,A室,78000000.0,3054.0,25540.0,2482,31426,2021-03-24,4.0
11,港島,大潭,A區(4期),6座,白筆山道18號,4樓,B室,25000000.0,1391.0,17973.0,1013,24679,2021-03-23,2.0
12,港島,大潭,A區(4期),2座,白筆山道18號,高層,A室,25700000.0,1391.0,18476.0,1013,25370,2021-03-22,2.0
13,港島,大潭,浪琴園,5座,大潭道38號,低層,A室,22380000.0,1334.0,16777.0,1077,20780,2021-03-19,
14,港島,山頂,山頂道77-79號,山頂道77F號,山頂道77F號,77F號,77F號,558145368.0,,,4621,120785,2021-03-18,
15,港島,馬坑,龍德苑,至德閣 (C座),環角道52號,6樓,23室,5200000.0,559.0,9302.0,421,12352,2021-03-18,
16,港島,淺水灣,,南山別墅,淺水灣道41號,18樓,B室,80000000.0,2400.0,33333.0,1961,40796,2021-03-17,
17,港島,深水灣,深水灣徑8號,1座,深水灣徑8號,9樓,B室,251229000.0,,,3548,70809,2021-03-17,4.0
18,港島,淺水灣,,松苑,淺水灣道65號,4樓,A室,68800000.0,2250.0,30578.0,1917,35889,2021-03-16,
19,港島,淺水灣,淺水灣道 37 號,3座,淺水灣道37號,中層,A室,23600000.0,1220.0,19344.0,848,27830,2021-03-15,
20,港島,山頂,山頂道77-79號,山頂道77D號,山頂道77D號,77D號,77D號,551408000.0,,,5208,105877,2021-03-15,
21,港島,山頂,山頂道77-79號,山頂道77A號,山頂道77A號,77A號,77A號,598000000.0,,,5926,100911,2021-03-11,
22,港島,淺水灣,,松苑,淺水灣道65號,低層,A室,68800000.0,2250.0,30578.0,1917,35889,2021-03-10,
23,港島,深水灣,香島道50號,洋房7,香島道50號,50號,7號屋,290000000.0,,,3716,78041,2021-03-09,
24,港島,深水灣,香島道50號,洋房8,香島道50號,50號,8號屋,423500000.0,,,5291,80042,2021-03-09,
25,港島,深水灣,香島道50號,洋房9,香島道50號,50號,9號屋,350000000.0,,,4443,78776,2021-03-09,
26,港島,深水灣,香島道50號,洋房10,香島道50號,50號,10號屋,350000000.0,,,4477,78177,2021-03-09,
27,港島,深水灣,香島道50號,洋房11,香島道50號,50號,11號屋,430000000.0,,,5378,79955,2021-03-09,
28,港島,大潭,A區(4期),6座,白筆山道18號,低層,B室,25000000.0,1391.0,17973.0,1013,24679,2021-03-08,2.0
29,港島,深水灣,香島道50號,洋房1,香島道50號,50號,1號屋,260000000.0,,,3475,74820,2021-03-08,
30,港島,大潭,皇府灣,25號洋房,白筆山道8號,8號,25號洋房,125328000.0,4372.0,28666.0,3302,37955,2021-03-05,
31,港島,大潭,輝百閣,A座,大潭道29號,7樓,B室,53000000.0,1900.0,27895.0,1749,30303,2021-03-04,3.0
32,港島,淺水灣,山景園,5座,大潭水塘道88號,16樓,35室,28000000.0,1298.0,21572.0,1031,27158,2021-03-03,2.0
33,港島,大潭,浪琴園,1座,大潭道38號,5樓,A室,26880000.0,1772.0,15169.0,1397,19241,2021-03-02,
34,港島,大潭,浪琴園,4座,大潭道38號,34樓,B室,34000000.0,1906.0,17838.0,1534,22164,2021-03-01,
35,港島,淺水灣,山景園,5座,大潭水塘道88號,3樓,41室,24500000.0,1308.0,18731.0,1042,23512,2021-03-01,2.0
36,港島,赤柱,旭逸居,2座,赤柱村道7號,地下,B室,21400000.0,758.0,28232.0,624,34295,2021-03-01,
37,港島,淺水灣,淺水灣道 37 號,3座,淺水灣道37號,17樓,A室,23380000.0,1220.0,19164.0,848,27571,2021-02-24,
38,港島,大潭,浪琴園,4座,大潭道38號,高層,B室,34000000.0,1906.0,17838.0,1534,22164,2021-02-22,
39,港島,淺水灣,山景園,5座,大潭水塘道88號,低層,41室,24500000.0,1308.0,18731.0,1042,23512,2021-02-19,2.0
