,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,康怡,康怡花園,P座 (1-8室),康安街10-12號,低層,4室,8700000.0,620.0,14032.0,490,17755,2021-04-12,2.0
1,港島,鰂魚涌,南豐新邨,5座,基利路40號,中層,H室,8450000.0,692.0,12211.0,570,14825,2021-04-12,3.0
2,港島,鰂魚涌,康景花園,D座,康柏徑10號,10樓,6室,6850000.0,550.0,12455.0,443,15463,2021-04-12,2.0
3,港島,康怡,康怡花園,A座 (9-16室),康盛街29-31號,20樓,9室,12180000.0,902.0,13503.0,710,17155,2021-04-12,3.0
4,港島,鰂魚涌,,寶新閣,英皇道951-953號,11樓,953號,5800000.0,,,456,12719,2021-04-12,
5,港島,鰂魚涌,,華信花園,英皇道898號,36樓,E室,12000000.0,768.0,15625.0,630,19048,2021-04-12,3.0
6,港島,鰂魚涌,康景花園,C座,康柏徑10號,中層,6室,8460000.0,681.0,12423.0,560,15107,2021-04-09,3.0
7,港島,康怡,康怡花園,A座 (9-16室),康盛街29-31號,18樓,12室,12980000.0,902.0,14390.0,710,18282,2021-04-09,3.0
8,港島,鰂魚涌,南豐新邨,3座,基利路36號,25樓,A室,9280000.0,692.0,13410.0,570,16281,2021-04-09,3.0
9,港島,鰂魚涌,,海景樓,英皇道1010-1026號,2樓,15室,4000000.0,,,371,10782,2021-04-09,
10,港島,康怡,康怡花園,Q座 (1-8室),康安街6-8號,24樓,3室,8650000.0,583.0,14837.0,466,18562,2021-04-09,2.0
11,港島,鰂魚涌,康蕙花園,2座,祐民街38號,11樓,F室,7750000.0,576.0,13455.0,439,17654,2021-04-09,2.0
12,港島,鰂魚涌,新威園,F座,英皇道989-991A號,十八樓,1室,6800000.0,608.0,11184.0,510,13333,2021-04-09,
13,港島,鰂魚涌,康景花園,C座,康柏徑10號,中層,5室,8300000.0,675.0,12296.0,559,14848,2021-04-08,3.0
14,港島,鰂魚涌,南豐新邨,9座,基利坊21號,23樓,C室,7080000.0,474.0,14937.0,391,18107,2021-04-08,2.0
15,港島,鰂魚涌,,富景閣,英皇道885-891號,22樓,C室,6900000.0,476.0,14496.0,339,20354,2021-04-08,
16,港島,鰂魚涌,康景花園,A座,康柏徑10號,10樓,4室,11950000.0,961.0,12435.0,833,14346,2021-04-08,
17,港島,鰂魚涌,南豐新邨,2座,基利路34號,13樓,B室,7000000.0,474.0,14768.0,391,17903,2021-04-08,2.0
18,港島,鰂魚涌,華蘭花園,芝蘭閣,華蘭路7號,13樓,A室,7530000.0,491.0,15336.0,379,19868,2021-04-08,2.0
19,港島,鰂魚涌,新威園,A座,英皇道989-991A號,二十五樓,5室,7950000.0,681.0,11674.0,574,13850,2021-04-08,
20,港島,康怡,康山花園,3座,英皇道1114號,18樓,G室,10000000.0,717.0,13947.0,592,16892,2021-04-08,2.0
21,港島,康怡,康怡花園,G座 (1-8室),康盛街5-7號,1樓,2室,8000000.0,666.0,12012.0,531,15066,2021-04-08,2.0
22,港島,康怡,康怡花園,Q座 (9-16室),康安街6-8號,21樓,11室,8800000.0,583.0,15094.0,466,18884,2021-04-08,2.0
23,港島,鰂魚涌,逸樺園,1座,基利路3號,低層,D室,13080000.0,792.0,16515.0,614,21303,2021-04-07,2.0
24,港島,鰂魚涌,康景花園,A座,康柏徑10號,7樓,3室,12000000.0,989.0,12133.0,845,14201,2021-04-07,
25,港島,鰂魚涌,,御皇臺,英皇道 933號,9樓,G室,7300000.0,566.0,12898.0,379,19261,2021-04-07,2.0
26,港島,鰂魚涌,康景花園,E座,康柏徑10號,低層,3室,7730000.0,665.0,11624.0,541,14288,2021-04-02,3.0
27,港島,鰂魚涌,康蕙花園,1座,祐民街38號,低層,E室,8880000.0,675.0,13156.0,524,16947,2021-04-01,2.0
28,港島,鰂魚涌,華蘭花園,芝蘭閣,華蘭路7號,中層,A室,7530000.0,491.0,15336.0,379,19868,2021-04-01,2.0
29,港島,鰂魚涌,南豐新邨,5座,基利路40號,高層,C室,7368000.0,474.0,15544.0,391,18844,2021-04-01,2.0
30,港島,康怡,康怡花園,Q座 (9-16室),康安街6-8號,高層,11室,8800000.0,583.0,15094.0,466,18884,2021-04-01,2.0
31,港島,康怡,康怡花園,D座 (9-16室),康盛街17-19號,低層,10室,7800000.0,621.0,12560.0,505,15446,2021-04-01,2.0
