,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,西灣河,嘉亨灣,5座,太康街38號,低層,D室,15400000.0,928.0,16595.0,675,22815,2021-04-13,3.0
1,港島,西灣河,B段,逸榮閣 (7座),太康街43號,5樓,H室,14780000.0,884.0,16719.0,799,18498,2021-04-12,3.0
2,港島,西灣河,嘉亨灣,2座,太康街38號,68樓,E室,10880000.0,689.0,15791.0,490,22204,2021-04-12,2.0
3,港島,西灣河,,富欣閣,西灣河街23號,5樓,A室,5200000.0,437.0,11899.0,288,18056,2021-04-12,
4,港島,西灣河,嘉亨灣,1座,太康街38號,29樓,D室,11838000.0,690.0,17157.0,504,23488,2021-04-09,3.0
5,港島,西灣河,,ISLAND RESIDENCE,筲箕灣道163號,12樓,E室,7000000.0,,,335,20896,2021-04-09,1.0
6,港島,西灣河,,太安樓,筲箕灣道57-87號,4樓,11室,3618000.0,465.0,7781.0,352,10278,2021-04-09,2.0
7,港島,西灣河,,萬康大廈,筲箕灣道241-249號,十五樓,A室,4200000.0,,,360,11667,2021-04-09,
8,港島,耀東,東駿苑,銀駿閣 (B座),耀興道33號,二十一樓,15室,3520000.0,595.0,5916.0,435,8092,2021-04-09,
9,港島,西灣河,嘉亨灣,1座,太康街38號,低層,A室,15050000.0,911.0,16520.0,658,22872,2021-04-08,3.0
10,港島,西灣河,,柏匯,成安街33號,低層,H室,4350000.0,,,209,20813,2021-04-08,
11,港島,西灣河,欣景花園,1座,筲箕灣道111號,10樓,C室,9860000.0,773.0,12755.0,652,15123,2021-04-08,3.0
12,港島,西灣河,,成安大樓,成安街38-46號,二樓,E室(44號前座),3800000.0,,,357,10644,2021-04-08,
13,港島,西灣河,逸濤灣,秋盈軒 (3座),太安街28號,49樓,C室,19100000.0,983.0,19430.0,742,25741,2021-04-07,3.0
14,港島,西灣河,,逸瑆,西灣河街9號,29樓,A室,9120400.0,,,385,23689,2021-04-07,1.0
15,港島,西灣河,嘉亨灣,3座,太康街38號,高層,A室,32680000.0,1532.0,21332.0,1129,28946,2021-04-01,3.0
16,港島,西灣河,A段,觀峰閣 (4座),太康街51號,9樓,G室,13150000.0,765.0,17190.0,676,19453,2021-04-01,3.0
17,港島,耀東,,東盛苑,耀興道28號,5樓,1室,5980000.0,704.0,8494.0,559,10698,2021-04-01,
18,港島,西灣河,D段,安屏閣 (14座),鯉景道62號,8樓,C室,10480000.0,751.0,13955.0,629,16661,2021-04-01,3.0
19,港島,西灣河,嘉亨灣,3座,太康街38號,71樓,B室,31800000.0,1532.0,20757.0,1129,28167,2021-04-01,3.0
20,港島,西灣河,,御景軒,筲箕灣道250號,低層,D室,8500000.0,720.0,11806.0,502,16932,2021-03-31,3.0
21,港島,西灣河,欣景花園,1座,筲箕灣道111號,9樓,H室,9980000.0,867.0,11511.0,732,13634,2021-03-31,3.0
22,港島,西灣河,嘉亨灣,5座,太康街38號,67樓,D室,16800000.0,928.0,18103.0,675,24889,2021-03-31,3.0
23,港島,西灣河,C段,怡茵閣 (12座),太康街31號,2樓,C室,8480000.0,577.0,14697.0,494,17166,2021-03-31,2.0
24,港島,西灣河,嘉亨灣,5座,太康街38號,低層,A室,14850000.0,933.0,15916.0,685,21679,2021-03-30,3.0
25,港島,西灣河,A段,觀峰閣 (4座),太康街51號,9樓,C室,12130000.0,767.0,15815.0,678,17891,2021-03-30,3.0
26,港島,西灣河,嘉亨灣,2座,太康街38號,8樓,H室,9728000.0,687.0,14160.0,490,19853,2021-03-30,2.0
27,港島,西灣河,嘉亨灣,5座,太康街38號,26樓,B室,17880000.0,1032.0,17326.0,749,23872,2021-03-30,3.0
28,港島,西灣河,A段,觀峰閣 (4座),太康街51號,5樓,F室,8838000.0,571.0,15478.0,485,18223,2021-03-29,2.0
