,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,柴灣,怡翠苑,逸怡閣 (B座),怡盛街1號,低層,3室,6330000.0,546.0,11593.0,449,14098,2021-04-14,2.0
1,港島,筲箕灣,,莊士軒,工廠街30號,低層,A室,6380000.0,594.0,10741.0,353,18074,2021-04-13,
2,港島,筲箕灣,,樂融軒,筲萁灣道333號,31樓,C室,9868000.0,,,501,19697,2021-04-12,2.0
3,港島,柴灣,仁樂大廈,B座,連城道4-12號,1樓,L室,3550000.0,370.0,9595.0,290,12241,2021-04-12,
4,港島,柴灣,樂翠臺,3座,泰民街13號,10樓,G室,6160000.0,676.0,9112.0,590,10441,2021-04-12,2.0
5,港島,筲箕灣,康華大廈,2座,南康街18號,21樓,F室,5710000.0,394.0,14492.0,300,19033,2021-04-12,2.0
6,港島,筲箕灣,香島,2座,柴灣道33號,16樓,F室,14100000.0,,,692,20376,2021-04-12,2.0
7,港島,筲箕灣,東濤苑,暉濤閣 (C座),愛信道33號,高層,4室,8500000.0,951.0,8938.0,666,12763,2021-04-09,3.0
8,港島,柴灣,仁樂大廈,B座,連城道4-12號,16樓,V室,3900000.0,,,285,13684,2021-04-09,
9,港島,小西灣,富景花園,10座,小西灣道18號,13樓,H室,4650000.0,707.0,6577.0,592,7855,2021-04-09,3.0
10,港島,柴灣,康翠臺,3座,泰民街6號,二十五樓,B室,6480000.0,582.0,11134.0,508,12756,2021-04-09,2.0
11,港島,筲箕灣,愛蝶灣,3座,愛禮街2號,20樓,B室,6500000.0,693.0,9380.0,592,10980,2021-04-09,
12,港島,筲箕灣,筲箕灣廣場,麗雅苑 (3座),南康街17號,14樓,J室,6550000.0,538.0,12175.0,0,0,2021-04-09,2.0
13,港島,筲箕灣,香島,5座,柴灣道33號,16樓,A室,11800000.0,,,0,0,2021-04-09,2.0
14,港島,筲箕灣,形薈,2座,筲箕灣道393號,19樓,G室,9800000.0,,,0,0,2021-04-09,2.0
15,港島,筲箕灣,,華寶大廈,筲箕灣道334-344號,11樓,F室,4668000.0,405.0,11526.0,291,16041,2021-04-09,
16,港島,柴灣,金源洋樓,C座,柴灣道345號,11樓,4室,3980000.0,351.0,11339.0,260,15308,2021-04-09,1.0
17,港島,筲箕灣,,海得堡,筲箕灣道356-358號,2樓,C室,3000000.0,428.0,7009.0,266,11278,2021-04-08,
18,港島,柴灣,康翠臺,2座,泰民街14號,二十樓,F室,8550000.0,875.0,9771.0,757,11295,2021-04-08,3.0
