,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,海怡,3期,美家閣 (23A座),海怡路23A號,中層,E室,13398800.0,986,13589,783,17112,2021-04-13,3
1,港島,海怡,3期,美暉閣 (17座),海怡路17號,18樓,G室,18000000.0,1118,16100,888,20270,2021-04-12,3
2,港島,海怡,2期,怡豐閣 (11座),海怡路11號,30樓,D室,10150000.0,793,12799,0,0,2021-04-12,3
3,港島,海怡,3期,美祥閣 (20座),海怡路20號,16樓,B室,9338000.0,745,12534,581,16072,2021-04-12,2
4,港島,海怡,3期,美華閣 (22座),海怡路22號,高層,E室,16500000.0,1107,14905,879,18771,2021-04-09,3
5,港島,海怡,3期,美浚閣 (21座),海怡路21號,36樓,B室,10580000.0,745,14201,581,18210,2021-04-09,2
6,港島,海怡,2期,怡麗閣 (10座),海怡路10號,33樓,G室,17500000.0,1100,15909,889,19685,2021-04-09,3
7,港島,海怡,2期,怡暉閣 (13A座),海怡路13A號,24樓,G室,20000000.0,1105,18100,882,22676,2021-04-09,3
8,港島,海怡,4期 御庭園,豐景閣 (29座),怡南路29號,12樓,G室,10800000.0,835,12934,650,16615,2021-04-08,3
9,港島,海怡,4期 御庭園,御意居 (28座),怡南路28號,高層,B室,9300000.0,658,14134,516,18023,2021-04-01,2
10,港島,海怡,2期,怡滿閣 (12座),海怡路12號,7樓,H室,13500000.0,967,13961,773,17464,2021-04-01,3
11,港島,海怡,4期 御庭園,御泉居 (32座),怡南路32號,17樓,E室,9500000.0,816,11642,634,14984,2021-04-01,3
12,港島,海怡,4期 御庭園,御意居 (28座),怡南路28號,27樓,G室,13280000.0,936,14188,731,18167,2021-03-31,3
13,港島,海怡,1期,海逸閣 (6座),海怡路6號,14樓,E室,9820000.0,726,13526,598,16421,2021-03-31,2
14,港島,海怡,3期,美祥閣 (20座),海怡路20號,15樓,G室,10000000.0,794,12594,618,16181,2021-03-31,3
15,港島,海怡,1期,海昇閣 (1座),海怡路1號,32樓,A室,11000000.0,787,13977,631,17433,2021-03-31,3
16,港島,海怡,4期 御庭園,御翠居 (33A座),怡南路33A號,7樓,C室,8300000.0,679,12224,543,15285,2021-03-31,2
17,港島,海怡,2期,怡雅閣 (9座),海怡路9號,40樓,C室,11480000.0,790,14532,639,17966,2021-03-30,3
18,港島,海怡,3期,美家閣 (23A座),海怡路23A號,37樓,E室,14200000.0,986,14402,783,18135,2021-03-30,3
19,港島,海怡,4期 御庭園,御雅居 (27座),怡南路27號,31樓,A室,8800000.0,654,13456,519,16956,2021-03-30,2
20,港島,海怡,4期 御庭園,御柳居 (25座),怡南路25號,6樓,D室,8858000.0,654,13544,519,17067,2021-03-30,2
21,港島,海怡,2期,怡美閣 (7座),海怡路7號,7樓,A室,12000000.0,927,12945,737,16282,2021-03-30,3
22,港島,海怡,2期,怡美閣 (7座),海怡路7號,15樓,E室,12930000.0,912,14178,739,17497,2021-03-29,3
23,港島,海怡,2期,怡麗閣 (10座),海怡路10號,高層,G室,17500000.0,1100,15909,889,19685,2021-03-26,3
24,港島,海怡,4期 御庭園,柏景閣 (31座),怡南路31號,中層,E室,10000000.0,830,12048,662,15106,2021-03-26,3
25,港島,海怡,3期,美祥閣 (20座),海怡路20號,中層,B室,9338000.0,745,12534,581,16072,2021-03-25,2
26,港島,海怡,3期,美康閣 (19座),海怡路19號,38樓,C室,9930000.0,745,13329,581,17091,2021-03-25,2
27,港島,海怡,2期,怡翠閣 (16座),海怡路16號,28樓,H室,17800000.0,1065,16714,863,20626,2021-03-24,3
28,港島,海怡,3期,美祥閣 (20座),海怡路20號,18樓,C室,9390000.0,745,12604,581,16162,2021-03-24,2
29,港島,海怡,3期,美浚閣 (21座),海怡路21號,17樓,B室,10380000.0,745,13933,581,17866,2021-03-24,2
30,港島,海怡,3期,美康閣 (19座),海怡路19號,16樓,E室,10680000.0,785,13605,632,16899,2021-03-24,3
31,港島,海怡,4期 御庭園,御意居 (28座),怡南路28號,高層,G室,13280000.0,936,14188,731,18167,2021-03-23,3
32,港島,海怡,2期,怡景閣 (8座),海怡路8號,35樓,A室,13660000.0,931,14672,739,18484,2021-03-23,3
33,港島,海怡,3期,美康閣 (19座),海怡路19號,28樓,H室,16400000.0,1078,15213,871,18829,2021-03-23,3
34,港島,海怡,3期,美家閣 (23A座),海怡路23A號,22樓,B室,10000000.0,745,13423,581,17212,2021-03-23,2
35,港島,海怡,1期,海韻閣 (4座),海怡路4號,18樓,B室,12120000.0,908,13348,729,16626,2021-03-23,3
36,港島,海怡,3期,美暉閣 (17座),海怡路17號,39樓,A室,10700000.0,808,13243,633,16904,2021-03-22,3
37,港島,海怡,4期 御庭園,御翠居 (33A座),怡南路33A號,26樓,C室,8380000.0,679,12342,543,15433,2021-03-22,2
38,港島,海怡,2期,怡雅閣 (9座),海怡路9號,33樓,D室,10000000.0,807,12392,640,15625,2021-03-22,3
39,港島,海怡,3期,美暉閣 (17座),海怡路17號,中層,G室,18000000.0,1118,16100,888,20270,2021-03-19,3
40,港島,海怡,3期,美家閣 (23A座),海怡路23A號,高層,E室,14200000.0,986,14402,783,18135,2021-03-19,3
41,港島,海怡,3期,美家閣 (23A座),海怡路23A號,中層,B室,10000000.0,745,13423,581,17212,2021-03-19,2
42,港島,海怡,2期,怡麗閣 (10座),海怡路10號,低層,C室,10000000.0,790,12658,639,15649,2021-03-19,3
43,港島,海怡,3期,美晞閣 (18座),海怡路18號,15樓,C室,9400000.0,745,12617,581,16179,2021-03-19,2
44,港島,海怡,3期,美康閣 (19座),海怡路19號,39樓,H室,16280000.0,1078,15102,871,18691,2021-03-19,3
45,港島,海怡,2期,怡麗閣 (10座),海怡路10號,3樓,D室,9380000.0,807,11623,640,14656,2021-03-19,3
46,港島,海怡,3期,美祥閣 (20座),海怡路20號,中層,C室,9390000.0,745,12604,581,16162,2021-03-18,2
47,港島,海怡,1期,海暉閣 (2座),海怡路2號,中層,B室,10380000.0,760,13658,623,16661,2021-03-18,3
48,港島,海怡,3期,美祥閣 (20座),海怡路20號,37樓,E室,10800000.0,808,13366,633,17062,2021-03-18,3
49,港島,海怡,1期,海暉閣 (2座),海怡路2號,33樓,F室,8980000.0,642,13988,525,17105,2021-03-17,2
50,港島,海怡,3期,美華閣 (22座),海怡路22號,28樓,C室,9600000.0,745,12886,581,16523,2021-03-16,2
51,港島,海怡,4期 御庭園,御盈居 (26座),怡南路26號,10樓,A室,8880000.0,654,13578,519,17110,2021-03-16,2
52,港島,海怡,1期,海昇閣 (1座),海怡路1號,35樓,F室,9080000.0,636,14277,532,17068,2021-03-15,2
53,港島,海怡,4期 御庭園,御雅居 (27座),怡南路27號,高層,A室,8800000.0,654,13456,519,16956,2021-03-14,2
54,港島,海怡,3期,美晞閣 (18座),海怡路18號,中層,C室,9400000.0,745,12617,581,16179,2021-03-12,2
55,港島,海怡,1期,海昇閣 (1座),海怡路1號,高層,A室,11000000.0,787,13977,631,17433,2021-03-12,3
56,港島,海怡,3期,美晞閣 (18座),海怡路18號,2樓,B室,8728000.0,745,11715,581,15022,2021-03-12,2
57,港島,海怡,2期,怡美閣 (7座),海怡路7號,37樓,C室,10550000.0,823,12819,656,16082,2021-03-11,3
58,港島,海怡,3期,美家閣 (23A座),海怡路23A號,12樓,E室,13000000.0,986,13185,783,16603,2021-03-11,3
59,港島,海怡,4期 御庭園,豐景閣 (29座),怡南路29號,25樓,H室,11200000.0,856,13084,687,16303,2021-03-11,3
60,港島,海怡,1期,海逸閣 (6座),海怡路6號,30樓,E室,10490000.0,726,14449,598,17542,2021-03-11,2
