,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,太古城,,匯豪峰,太古城道39號,中層,D室,10500000.0,635,16535,473,22199,2021-04-13,2.0
1,港島,太古城,觀海台,北海閣 (44座),太古灣道1號,中層,A室,15580000.0,825,18885,708,22006,2021-04-12,3.0
2,港島,太古城,海景花園(西),綠楊閣 (35座),太古灣道22號,低層,E室,16730000.0,1029,16259,922,18145,2021-04-12,3.0
3,港島,太古城,海景花園(東),雅蓮閣 (41座),太古灣道6號,13樓,G室,23100000.0,1137,20317,1015,22759,2021-04-12,3.0
4,港島,太古城,海景花園(西),綠楊閣 (35座),太古灣道22號,7樓,E室,17300000.0,1029,16812,922,18764,2021-04-12,3.0
5,港島,太古城,高山台,恆山閣 (12座),太古城道19號,9樓,H室,10800000.0,691,15630,593,18212,2021-04-09,2.0
6,港島,太古城,海景花園(東),碧藤閣 (42座),太古灣道4號,14樓,E室,17000000.0,1029,16521,922,18438,2021-04-08,3.0
7,港島,太古城,,匯豪峰,太古城道39號,15樓,F室,9500000.0,609,15599,451,21064,2021-04-08,2.0
8,港島,太古城,高山台,龍山閣 (14座),太古城道21號,22樓,B室,11450000.0,675,16963,582,19674,2021-04-08,2.0
9,港島,太古城,高山台,寶山閣 (11座),太古城道1號,21樓,B室,10000000.0,675,14815,582,17182,2021-04-08,2.0
10,港島,太古城,高山台,怡山閣 (16座),太豐路7號,高層,G室,12300000.0,779,15789,685,17956,2021-04-07,3.0
11,港島,太古城,高山台,富山閣 (18座),太古城道25號,低層,F室,11380000.0,779,14608,684,16637,2021-04-07,3.0
12,港島,太古城,海景花園(西),銀柏閣 (38座),太古灣道16號,中層,B室,21600000.0,1137,18997,1015,21281,2021-04-07,3.0
13,港島,太古城,海景花園(東),美菊閣 (39座),太古灣道10號,低層,D室,16500000.0,1029,16035,922,17896,2021-04-07,3.0
14,港島,太古城,星輝台,天星閣 (47座),太古城道14號,11樓,F室,14280000.0,800,17850,707,20198,2021-04-07,2.0
