,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,港島,灣仔,2期,3座,皇后大道東200號,高層,K室,12380000.0,,,432,28657,2021-04-13,1.0
1,港島,灣仔,,雙喜樓,莊士敦道112號,中層,C室,5200000.0,395.0,13165.0,220,23636,2021-04-12,2.0
2,港島,灣仔,2期,2座,皇后大道東200號,低層,C室,11200000.0,,,443,25282,2021-04-12,1.0
3,港島,銅鑼灣,,加路連花園,加路連山道101號,低層,A室,14380000.0,1140.0,12614.0,798,18020,2021-04-12,3.0
4,港島,銅鑼灣,,曦巒,希雲街38號,低層,B室,12100000.0,794.0,15239.0,581,20826,2021-04-12,2.0
5,港島,灣仔,,李節花園,李節街1號,中層,A室,8280000.0,508.0,16299.0,397,20856,2021-04-12,
6,港島,灣仔,,冠景樓,堅拿道西10號,11樓,E室,5100000.0,,,325,15692,2021-04-12,
7,港島,灣仔,星域軒,2座,星街9號,23樓,E室,19000000.0,730.0,26027.0,573,33159,2021-04-12,1.0
8,港島,灣仔,,壹環,灣仔道1號,26樓,E室,9960000.0,614.0,16221.0,461,21605,2021-04-12,1.0
9,港島,灣仔,1期,2座,皇道大道東258號,22樓,E室,10980000.0,688.0,15959.0,504,21786,2021-04-12,2.0
10,港島,銅鑼灣,維景花園,A座,興發街42號,十九樓,7室,8550000.0,540.0,15833.0,449,19042,2021-04-12,
11,港島,銅鑼灣,灣景樓,A座,摩頓臺13-33號,16樓,3室,16800000.0,1300.0,12923.0,999,16817,2021-04-12,
12,港島,銅鑼灣,,采怡閣,渣甸坊48號,28樓,D室,9000000.0,617.0,14587.0,406,22167,2021-04-12,2.0
13,港島,灣仔,,壹環,灣仔道1號,高層,E室,10280000.0,614.0,16743.0,461,22299,2021-04-09,1.0
14,港島,灣仔,,修頓花園,柯布連道2號,高層,6室,9500000.0,670.0,14179.0,517,18375,2021-04-09,
15,港島,灣仔,,南成大廈,莊士敦道47-49號,十一樓,47號,6350000.0,700.0,9071.0,488,13012,2021-04-09,
16,港島,銅鑼灣,,華都大廈,高士威道2-6A號,六樓,A室,12000000.0,1400.0,8571.0,1173,10230,2021-04-09,
17,港島,灣仔,,均利大樓,皇后大道東265-267號,六樓,265號,11030000.0,,,739,14926,2021-04-09,
18,港島,銅鑼灣,,寶富大樓,富明街1-5號,中層,I室,4830000.0,500.0,9660.0,389,12416,2021-04-08,
19,港島,灣仔,2期,3座,皇后大道東200號,高層,G室,9400000.0,,,346,27168,2021-04-08,
20,港島,灣仔,熙華大廈,A座,軒尼詩道71-85號,低層,1室,5850000.0,406.0,14409.0,336,17411,2021-04-07,
21,港島,銅鑼灣,,采怡閣,渣甸坊48號,高層,D室,9000000.0,617.0,14587.0,406,22167,2021-04-07,2.0
22,港島,灣仔,,恆信大廈,謝斐道68-82號,6樓,A室,5800000.0,447.0,12975.0,353,16431,2021-04-07,
23,港島,灣仔,,樂景大樓,灣仔道149號,5樓,C室,6500000.0,519.0,12524.0,429,15152,2021-04-07,
24,港島,銅鑼灣,樂聲大廈,A座,怡和街19-31號,十一樓,4室,5820000.0,403.0,14442.0,343,16968,2021-04-07,
25,港島,灣仔,,嘉薈軒,莊士敦道60號,低層,5室,8200000.0,541.0,15157.0,407,20147,2021-04-01,1.0
26,港島,銅鑼灣,,漢寧大廈,京士頓街6號,7樓,A室,16800000.0,1500.0,11200.0,1169,14371,2021-04-01,
27,港島,灣仔,2期,3座,皇后大道東200號,31樓,J室,16330000.0,,,602,27126,2021-04-01,1.0
28,港島,灣仔,,仁美大廈,汕頭街11-21號,6樓,B室,4280000.0,,,207,20676,2021-04-01,
29,港島,灣仔,,福基大廈,駱克道375-379號,9樓,B室,5400000.0,500.0,10800.0,325,16615,2021-04-01,
30,港島,銅鑼灣,,美漢大廈,謝斐道501-515號,中層,N室,5350000.0,,,355,15070,2021-03-31,
31,港島,灣仔,,長康大廈,莊士敦道25-33號,8樓,D室,8500000.0,900.0,9444.0,720,11806,2021-03-31,
32,港島,灣仔,,告士打道169-170號,告士打道169-170號,3樓,170號,6600000.0,,,522,12644,2021-03-31,
33,港島,灣仔,1期,3座,皇道大道東258號,17樓,D室,9900000.0,654.0,15138.0,498,19880,2021-03-31,2.0
34,港島,灣仔,海華苑,1座,秀華坊15號,19樓,D室,7920000.0,471.0,16815.0,343,23090,2021-03-31,
35,港島,灣仔,,修頓花園,柯布連道2號,5樓,12室,6800000.0,548.0,12409.0,401,16958,2021-03-31,
36,港島,灣仔,廣生行大廈,C座,灣仔道188號,11樓,M室,7500000.0,620.0,12097.0,490,15306,2021-03-31,
37,港島,灣仔,1期,2座,皇道大道東258號,中層,E室,10980000.0,688.0,15959.0,504,21786,2021-03-30,2.0
