,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,深水埗,,新豪大廈,西洋菜北街275號,三樓,5室,4728000.0,,,380,12442,2021-04-12,
1,九龍,長沙灣,,薈悅,營盤街142號,16樓,B室,4880000.0,426.0,11455.0,280,17429,2021-04-12,
2,九龍,長沙灣,,耀輝大廈,集輝街8號,16樓,C室,3568000.0,316.0,11291.0,219,16292,2021-04-12,2.0
3,九龍,長沙灣,幸俊苑,俊禮閣 (A座),幸祥街2號,4樓,2室,6400000.0,692.0,9249.0,559,11449,2021-04-12,
4,九龍,長沙灣,,ONE MADISON,青山道305號,高層,A室,8500000.0,697.0,12195.0,499,17034,2021-04-09T00:00:00,2.0
5,九龍,深水埗,,AVA 61,大埔道,中層,E室,3500000.0,,,161,21739,2021-04-09T00:00:00,
6,九龍,深水埗,,祥康大廈,長沙灣道119號,2樓,A室,6000000.0,,,0,0,2021-04-09,
7,九龍,長沙灣,,THE CAMPTON,福榮街201號,32樓,Q室,8029000.0,,,386,20801,2021-04-09,
8,九龍,長沙灣,,嘉利閣,東京街56-58號,3樓,A室,3800000.0,388.0,9794.0,246,15447,2021-04-09,
9,九龍,深水埗,,海柏匯,通州街208號,9樓,G室,3970000.0,,,214,18551,2021-04-09,
10,九龍,長沙灣,,THE CAMPTON,福榮街201號,22樓,K室,7636000.0,,,369,20694,2021-04-09,
11,九龍,長沙灣,,金碧閣,元州街482-492號,十五樓,C室,4408000.0,360.0,12244.0,264,16697,2021-04-09,
12,九龍,長沙灣,,永隆大廈,青山道260-266號,3樓,C室,5200000.0,442.0,11765.0,280,18571,2021-04-09,
13,九龍,長沙灣,,御匯,長沙灣道270號,18樓,A室,5000000.0,396.0,12626.0,297,16835,2021-04-09,1.0
14,九龍,長沙灣,美居中心,4座,元州街213號,5樓,A室,5150000.0,393.0,13104.0,322,15994,2021-04-09,
15,九龍,長沙灣,,THE CAMPTON,福榮街201號,33樓,B室,13690000.0,,,657,20837,2021-04-09,
16,九龍,長沙灣,,THE CAMPTON,福榮街201號,35樓,A室,43208000.0,,,1446,29881,2021-04-09,
17,九龍,深水埗,,弦雅,醫局街203號,10樓,A室,5962100.0,,,294,20279,2021-04-09,
18,九龍,深水埗,愛海頌,2座,海壇街201-218號,39樓,D室,14698000.0,,,723,20329,2021-04-09,
19,九龍,深水埗,愛海頌,3座,海壇街201-218號,38樓,J室,9880000.0,,,485,20371,2021-04-09,
20,九龍,長沙灣,鴻裕大廈,A座,元州街174-188號,七樓,A6室,4210000.0,456.0,9232.0,374,11257,2021-04-08,
21,九龍,深水埗,,佳成大廈,福榮街33-35號,六樓,C室 (33A號),1900000.0,,,406,4680,2021-04-08,
22,九龍,深水埗,愛海頌,5座,海壇街201-218號,36樓,F室,9891000.0,,,506,19547,2021-04-08,2.0
23,九龍,深水埗,,寶隆大廈,鴨寮街38-40號,十四樓,A室,4000000.0,460.0,8696.0,341,11730,2021-04-08,
