,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,新蒲崗,譽‧港灣,2B座,太子道東638號,低層,B室,13050000.0,841.0,15517.0,637,20487,2021-04-12T00:00:00,3.0
1,九龍,新蒲崗,譽‧港灣,6座,太子道東638號,中層,F室,10400000.0,707.0,14710.0,545,19083,2021-04-12T00:00:00,2.0
2,九龍,鑽石山,星河明居,E座,龍蟠街3號,高層,8室,9280000.0,656.0,14146.0,517,17950,2021-04-12T00:00:00,3.0
3,九龍,彩虹,曉暉花園,5座,豐盛街63號,33樓,C室,7800000.0,655.0,11908.0,497,15694,2021-04-12,2.0
4,九龍,樂富,德強苑,德華閣 (B座),富強街9號,1樓,8室,6060000.0,509.0,11906.0,404,15000,2021-04-12,
5,九龍,慈雲山,,慈華大廈,蒲英里8號,十二樓,H室,4700000.0,,,0,0,2021-04-12,
6,九龍,新蒲崗,譽‧港灣,6座,太子道東638號,47樓,B室,17000000.0,1085.0,15668.0,834,20384,2021-04-12,3.0
7,九龍,鑽石山,龍蟠苑,龍珠閣 (C座),龍蟠街8號,三十樓,13室,5750000.0,520.0,11058.0,383,15013,2021-04-12,
8,九龍,九龍城,,馬樹大樓,福佬村道92-94號,二樓,D室,3100000.0,,,228,13596,2021-04-12,
9,九龍,鑽石山,龍蟠苑,龍璧閣 (F座),龍蟠街8號,十四樓,2室,6100000.0,579.0,10535.0,426,14319,2021-04-12,
10,九龍,黃大仙,新光中心,1座,龍翔道120號,十四樓,C室,6050000.0,502.0,12052.0,382,15838,2021-04-12,
11,九龍,新蒲崗,,蒲崗唐樓,衍慶街9-19A號,二樓,8室,3200000.0,,,360,8889,2021-04-12,
12,九龍,黃大仙,,匯豪山,蒲崗村道99號,39樓,C室,9930000.0,931.0,10666.0,668,14865,2021-04-12,3.0
13,九龍,九龍城,,御崗軒,龍崗道15及17號,25樓,15及17號,7460000.0,659.0,11320.0,372,20054,2021-04-12,2.0
14,九龍,鑽石山,龍蟠苑,龍珊閣 (A座),龍蟠街8號,六樓,3室,6080000.0,579.0,10501.0,426,14272,2021-04-12,
15,九龍,牛池灣,瓊山苑,瓊瑋閣 (F座),豐盛街32號,二十三樓,8室,4380000.0,495.0,8848.0,414,10580,2021-04-12,
16,九龍,鑽石山,龍蟠苑,龍璣閣 (D座),龍蟠街8號,二十六樓,12室,5700000.0,520.0,10962.0,0,0,2021-04-12,
17,九龍,九龍城,,沙浦道55號,沙浦道55號,二樓,55號,7219000.0,,,619,11662,2021-04-12,
18,九龍,九龍城,,啟德道78-80A號,啟德道78-80A號,二樓,80號,3203000.0,,,328,9765,2021-04-12,
19,九龍,九龍城,,啟德道34號,啟德道34號,五樓,34號,4909000.0,,,497,9877,2021-04-12,
20,九龍,九龍城,,啟德道48號,啟德道48號,三樓,48號,5487000.0,,,529,10372,2021-04-12,
21,九龍,九龍城,,啟德道38號,啟德道38號,六樓,38號,5980000.0,,,537,11136,2021-04-12,
22,九龍,彩虹,曉暉花園,2座,豐盛街63號,高層,E室,9880000.0,922.0,10716.0,709,13935,2021-04-09T00:00:00,3.0
23,九龍,鑽石山,星河明居,A座,龍蟠街3號,高層,6室,10600000.0,751.0,14115.0,593,17875,2021-04-09T00:00:00,3.0
24,九龍,鑽石山,星河明居,E座,龍蟠街3號,低層,9室,9900000.0,751.0,13182.0,593,16695,2021-04-09T00:00:00,3.0
25,九龍,慈雲山,慈安苑,安欣閣 (A座),欣華街10號,15樓,7室,5880000.0,600.0,9800.0,0,0,2021-04-09,
26,九龍,鑽石山,龍蟠苑,龍璋閣 (E座),龍蟠街8號,十三樓,14室,6700000.0,579.0,11572.0,426,15728,2021-04-09,
27,九龍,黃大仙,天馬苑,駿威閣 (B座),竹園道55號,十一樓,3室,5530000.0,567.0,9753.0,415,13325,2021-04-09,
28,九龍,新蒲崗,譽‧港灣,7座,太子道東638號,26樓,D室,12520000.0,823.0,15213.0,626,20000,2021-04-09,3.0
29,九龍,鑽石山,鳳德邨,雪鳳樓 (5座),鳳德道111號,7樓,4室,2680000.0,,,0,0,2021-04-09,
30,九龍,牛池灣,1期,3座,瓊東街8號,29樓,C室,6638000.0,694.0,9565.0,592,11213,2021-04-09,3.0
31,九龍,新蒲崗,采頤花園,7座,彩虹道242號,24樓,A室,6600000.0,689.0,9579.0,0,0,2021-04-09,
32,九龍,新蒲崗,,新蒲崗大廈,衍慶街32號,八樓,A2室,3800000.0,,,0,0,2021-04-09,
33,九龍,九龍城,,博林軒,福佬村道12號,29樓,B室,8500000.0,590.0,14407.0,438,19406,2021-04-09,2.0
34,九龍,九龍城,,太子匯,太子道西444-450號,15樓,A室,14000000.0,1144.0,12238.0,828,16908,2021-04-09,3.0
35,九龍,九龍城,,啟德道60號,啟德道60號,四樓,60號,5214000.0,,,476,10954,2021-04-09,
36,九龍,九龍城,,沙浦道57號,沙浦道57號,五樓,57號,6518000.0,,,0,0,2021-04-09,
37,九龍,九龍城,,垣天大廈,啟德道68A號,七樓,62A號,5076000.0,,,0,0,2021-04-09,
38,九龍,九龍城,,沙浦道69號,沙浦道69號,三樓,69號,6503000.0,,,0,0,2021-04-09,
39,九龍,九龍城,,垣天大廈,啟德道68A號,十樓,68號,6251000.0,,,404,15473,2021-04-09,
40,九龍,九龍城,,啟發大樓,啟德道76號,四樓,76號,5457000.0,,,0,0,2021-04-09,
41,九龍,黃大仙,,寶發大廈,環鳳街54-66號,十四樓,C室,3738000.0,324.0,11537.0,244,15320,2021-04-08,
42,九龍,牛池灣,2期,5座,瓊東街8號,17樓,D室,5450000.0,568.0,9595.0,484,11260,2021-04-08,2.0
43,九龍,新蒲崗,采頤花園,12座,彩虹道242號,5樓,K室,5360000.0,527.0,10171.0,449,11938,2021-04-08,
44,九龍,黃大仙,,匯豪山,蒲崗村道99號,35樓,E室,7000000.0,648.0,10802.0,455,15385,2021-04-08,2.0
45,九龍,黃大仙,翠竹花園,12座,翠竹街8號,4樓,K室,6480000.0,660.0,9818.0,592,10946,2021-04-08,
46,九龍,新蒲崗,越秀廣場,秀明苑 (1座),寧遠街9號,10樓,A室,8380000.0,756.0,11085.0,566,14806,2021-04-08,
47,九龍,黃大仙,新光中心,1座,龍翔道120號,十六樓,A室,6400000.0,535.0,11963.0,412,15534,2021-04-08,
48,九龍,牛池灣,威豪花園,3座,永定道2號,2樓,E室,5980000.0,486.0,12305.0,401,14913,2021-04-08,
49,九龍,黃大仙,,雙鳳街20號,雙鳳街20號,五樓,20號,3850000.0,500.0,7700.0,389,9897,2021-04-08,
50,九龍,鑽石山,星河明居,C座,龍蟠街3號,35樓,7室,8730000.0,656.0,13308.0,517,16886,2021-04-08,3.0
51,九龍,黃大仙,天馬苑,駿安閣 (D座),竹園道55號,三十樓,5室,4650000.0,461.0,10087.0,338,13757,2021-04-08,
52,九龍,彩虹,峻弦,1座,豐盛街51號,19樓,E室,13080000.0,1073.0,12190.0,831,15740,2021-04-08,3.0
53,九龍,九龍城,,御崗軒,龍崗道15及17號,高層,15及17號,7300000.0,659.0,11077.0,372,19624,2021-04-07T00:00:00,2.0
54,九龍,彩虹,曉暉花園,2座,豐盛街63號,9樓,D室,9550000.0,922.0,10358.0,709,13470,2021-04-07,3.0
55,九龍,黃大仙,現崇山,3A座,睦鄰街8號,23樓,D室,10500000.0,736.0,14266.0,567,18519,2021-04-07,2.0
56,九龍,樂富,嘉強苑,嘉盈閣 (B座),富美街3號,15樓,5室,4880000.0,,,407,11990,2021-04-07,
57,九龍,鑽石山,星河明居,E座,龍蟠街3號,15樓,9室,9720000.0,751.0,12943.0,593,16391,2021-04-07,3.0
58,九龍,鑽石山,星河明居,E座,龍蟠街3號,46樓,8室,9618000.0,656.0,14662.0,517,18603,2021-04-07,3.0
59,九龍,鑽石山,龍蟠苑,龍珠閣 (C座),龍蟠街8號,二十八樓,4室,5538000.0,462.0,11987.0,340,16288,2021-04-07,
60,九龍,鑽石山,龍蟠苑,龍璋閣 (E座),龍蟠街8號,二十二樓,12室,5888888.0,520.0,11325.0,383,15376,2021-04-07,
61,九龍,鑽石山,龍蟠苑,龍珠閣 (C座),龍蟠街8號,三十樓,4室,5420000.0,462.0,11732.0,340,15941,2021-04-07,
62,九龍,牛池灣,1期,4座,瓊東街8號,11樓,D室,5300000.0,568.0,9331.0,484,10950,2021-04-07,2.0
63,九龍,黃大仙,,鳳祥樓,環鳳街17號,10樓,C室,4000000.0,550.0,7273.0,381,10499,2021-04-07,
64,九龍,九龍城,,聯發樓,聯合道52-54號,三樓,52號,6350000.0,580.0,10948.0,530,11981,2021-04-07,
65,九龍,鑽石山,龍蟠苑,龍珠閣 (C座),龍蟠街8號,十八樓,14室,6628000.0,579.0,11447.0,426,15559,2021-04-07,
66,九龍,黃大仙,天馬苑,駿昇閣 (A座),竹園道55號,三十四樓,9室,5250000.0,495.0,10606.0,363,14463,2021-04-07,
67,九龍,鑽石山,悅庭軒,2座,龍蟠街1號,39樓,C室,7900000.0,585.0,13504.0,454,17401,2021-04-07,
68,九龍,鑽石山,龍蟠苑,龍璧閣 (F座),龍蟠街8號,中層,2室,6100000.0,579.0,10535.0,426,14319,2021-04-01T00:00:00,
69,九龍,鑽石山,龍蟠苑,龍璧閣 (F座),龍蟠街8號,中層,16室,5300000.0,480.0,11042.0,353,15014,2021-04-01T00:00:00,
70,九龍,鑽石山,龍蟠苑,龍瑚閣 (B座),龍蟠街8號,中層,12室,6220000.0,520.0,11962.0,383,16240,2021-04-01T00:00:00,
71,九龍,彩虹,曉暉花園,2座,豐盛街63號,低層,H室,7580000.0,659.0,11502.0,507,14951,2021-04-01T00:00:00,2.0
72,九龍,彩虹,峻弦,1座,豐盛街51號,5樓,A室,27280000.0,2115.0,12898.0,1668,16355,2021-04-01,4.0
73,九龍,新蒲崗,崇齡大廈,A座,崇齡街67號,十一樓,A8室,4150000.0,,,316,13133,2021-04-01,
74,九龍,黃大仙,翠竹花園,12座,翠竹街8號,25樓,D室,7600000.0,659.0,11533.0,591,12860,2021-04-01,
75,九龍,黃大仙,現崇山,3B座,睦鄰街8號,36樓,B室,13880000.0,934.0,14861.0,715,19413,2021-04-01,3.0
76,九龍,九龍城,,打鼓嶺道58-60號,打鼓嶺道58-60號,二樓,60號,4500000.0,,,417,10791,2021-04-01,
