,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,何文田,,冠熹苑,常樂街3號,12樓,6室,6500000.0,,,539,12059,2021-04-12,
1,九龍,何文田,,碧殿閣,太子道西361-367號,七樓,C室,15500000.0,,,1098,14117,2021-04-12,3.0
2,九龍,何文田,,雋瓏,太子道西313號,17樓,B室,27500000.0,,,913,30120,2021-04-12,2.0
3,九龍,何文田,根德閣,1座,界限街133號,十一樓,A室,25800000.0,1459.0,17683.0,1271,20299,2021-04-12,3.0
4,九龍,何文田,,冠熹苑,常樂街3號,32樓,20室,3800000.0,,,211,18009,2021-04-12,
5,九龍,何文田,,芝齡大廈,窩打老道77B-77C號,十七樓,C室,6080000.0,543.0,11197.0,410,14829,2021-04-12,
6,九龍,何文田,,玉華大廈,科發道1A-1B號,五樓,161A號,13000000.0,,,946,13742,2021-04-12,
7,九龍,何文田,俊民苑,文斌閣 (B座),忠孝街66號,二樓,2室,6580000.0,582.0,11306.0,485,13567,2021-04-12,
8,九龍,何文田,皓畋,8座,常盛街28號,10樓,E室,11900000.0,,,594,20034,2021-04-12,2.0
9,九龍,何文田,,龍柏花園,何文田山道3號,16樓,B室,13800000.0,914.0,15098.0,687,20087,2021-04-12,
10,九龍,何文田,1期,半山徑30號,常盛街80號,58樓,30號,33000000.0,1636.0,20171.0,1252,26358,2021-04-09,3.0
11,九龍,何文田,嘉輝臺,B座,何文田山道26號,12樓,B1室,14800000.0,1062.0,13936.0,943,15695,2021-04-09,
12,九龍,何文田,俊民苑,文愛閣 (K座),忠孝街66號,四樓,4室,6920000.0,623.0,11108.0,0,0,2021-04-09,
13,九龍,何文田,,松亭閣,窩打老道61-63號,四樓,C室,8800000.0,750.0,11733.0,560,15714,2021-04-09,
14,九龍,何文田,,仁華園,文福道12號,18樓,B室,12080000.0,,,751,16085,2021-04-09,
15,九龍,何文田,,128 WATERLOO,窩打老道128號,5樓,A室,14026000.0,,,579,24225,2021-04-09,
16,九龍,何文田,,君逸山,迦密村街9號,18樓,D室,9000000.0,653.0,13783.0,489,18405,2021-04-08,2.0
17,九龍,何文田,俊民苑,文凱閣 (F座),忠孝街66號,九樓,1室,8050000.0,715.0,11259.0,596,13507,2021-04-08,
18,九龍,何文田,2期 富甲半山,半山徑18號,常盛街80號,低層,18號,29500000.0,2035.0,14496.0,1567,18826,2021-04-07,4.0
19,九龍,何文田,,嘉景花園大廈,何文田街23-27號,低層,B室,12000000.0,780.0,15385.0,830,14457,2021-04-07,
20,九龍,何文田,,德星樓,文運道5號,高層,C室,9800000.0,720.0,13611.0,667,14693,2021-04-01,
21,九龍,何文田,雅士花園,1座,亞皆老街198號,中層,A室,15800000.0,1156.0,13668.0,924,17100,2021-04-01,
22,九龍,何文田,,正平大廈,太平道4號,高層,A室,8790000.0,650.0,13523.0,590,14898,2021-04-01,
23,九龍,何文田,,太平閣,太平道8號,高層,A室,7480000.0,642.0,11651.0,429,17436,2021-04-01,
24,九龍,何文田,,建豐閣,勝利道13號,低層,A室,6180000.0,585.0,10564.0,370,16703,2021-04-01,
25,九龍,京士柏,爵士花園,3座,京士柏道33號,高層,A室,17000000.0,1075.0,15814.0,859,19790,2021-04-01,
26,九龍,何文田,,128 WATERLOO,窩打老道128號,3樓,E室,9103000.0,,,0,0,2021-04-01,
27,九龍,何文田,傲玟,2座,常盛街17號,11樓,A室,43647330.0,,,1403,31110,2021-04-01,
28,九龍,何文田,傲玟,2座,常盛街17號,12樓,A室,43661360.0,,,1403,31120,2021-04-01,
29,九龍,何文田,翠華大廈,3座,亞皆老街142-144號,3樓,D室,15000000.0,,,1238,12116,2021-04-01,
30,九龍,何文田,2期 富甲半山,半山徑21號,常盛街80號,52樓,21號,33000000.0,2052.0,16082.0,1579,20899,2021-04-01,4.0
31,九龍,何文田,,界限街188-190號,界限街188-190號,二樓,5號,12462559.0,,,890,14003,2021-04-01,
32,九龍,何文田,,界限街188-190號,界限街188-190號,五樓,188號,13306457.0,,,950,14007,2021-04-01,
33,九龍,何文田,欣圖軒,2座,忠孝街93號,高層,G室,7300000.0,604.0,12086.0,482,15145,2021-03-31,
34,九龍,何文田,傲玟,2座,常盛街17號,3樓,A室,39309000.0,,,1403,28018,2021-03-31,
35,九龍,何文田,露明花園大廈,B座,亞皆老街149號,8樓,149號,17000000.0,,,1292,13158,2021-03-31,4.0
36,九龍,何文田,1期,半山徑28號,常盛街80號,中層,28號,24500000.0,1643.0,14912.0,1259,19460,2021-03-30,3.0
37,九龍,何文田,,文怡閣,界限街161-163號,10-11樓,B室,35800000.0,2476.0,14459.0,1938,18473,2021-03-30,
38,九龍,何文田,,怡景大廈,窩打老道67E號,9樓,C室,7600000.0,560.0,13571.0,502,15139,2021-03-30,
39,九龍,何文田,,君逸山,迦密村街9號,9樓,G室,8000000.0,658.0,12158.0,478,16736,2021-03-30,2.0
40,九龍,何文田,欣圖軒,2座,忠孝街93號,15樓,F室,6800000.0,613.0,11093.0,490,13878,2021-03-30,
41,九龍,何文田,欣圖軒,3座,忠孝街93號,5樓,D室,7500000.0,607.0,12356.0,482,15560,2021-03-30,
42,九龍,何文田,,海倫苑,太子道西257-263號,2樓,C室,18000000.0,1438.0,12517.0,1145,15721,2021-03-30,3.0
43,九龍,何文田,皓畋,9座,常盛街28號,低層,C室,12000000.0,,,586,20478,2021-03-29,2.0
44,九龍,何文田,,文園,何文田街6號,4樓,B室,8000000.0,660.0,12121.0,661,12102,2021-03-29,
45,九龍,何文田,恆信園,6期,文運道10號,高層,C室,15000000.0,,,987,15198,2021-03-26,
46,九龍,何文田,,龍柏花園,何文田山道3號,高層,B室,13800000.0,914.0,15098.0,687,20087,2021-03-26,
47,九龍,何文田,,常康園,常康街1號,中層,D室,27200000.0,1782.0,15264.0,1615,16842,2021-03-26,
48,九龍,何文田,巴富花園,嘉富閣,巴富街9號,18樓,E室,15800000.0,1135.0,13921.0,994,15895,2021-03-26,
49,九龍,何文田,1期,7座,佛光街23號,28樓,A室,158991000.0,,,2273,69948,2021-03-26,4.0
50,九龍,何文田,,界限街188-190號,界限街188-190號,一樓,188號,13781687.0,,,950,14507,2021-03-26,
51,九龍,何文田,,界限街188-190號,界限街188-190號,三樓,190號,13190636.0,,,891,14804,2021-03-26,
52,九龍,何文田,,界限街188-190號,界限街188-190號,一樓,7號,11754288.0,,,840,13993,2021-03-26,
53,九龍,何文田,,冠熹苑,常樂街3號,22樓,1室,3820000.0,285.0,13404.0,212,18019,2021-03-26,
54,九龍,何文田,,嘉多利豪園,窩打老道83號,低層,D室,22680000.0,1286.0,17636.0,920,24652,2021-03-25,3.0
55,九龍,京士柏,爵士花園,3座,京士柏道33號,2樓,C室,19500000.0,1323.0,14739.0,1059,18414,2021-03-25,
56,九龍,何文田,,文雅閣,何文田街14-16號,10樓,C室,8550000.0,646.0,13235.0,460,18587,2021-03-25,
57,九龍,京士柏,帝庭園,3座,京士柏道1號,13樓,A室,19900000.0,1394.0,14275.0,1184,16807,2021-03-25,
58,九龍,何文田,,勝利道1號,勝利道1號,10樓,A室,9700000.0,883.0,10985.0,556,17446,2021-03-25,2.0
59,九龍,何文田,俊民苑,文雄閣 (G座),忠孝街66號,六樓,4室,6600000.0,623.0,10594.0,519,12717,2021-03-24,
