,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,紅磡站,都會軒,2座,都會道8-9號,15樓,5室,8470000.0,630.0,13444.0,0,0,2021-04-12,1.0
1,九龍,紅磡,,獲利家大廈,獲嘉道7號,七樓,A室,3400000.0,360.0,9444.0,241,14108,2021-04-12,
2,九龍,紅磡,,崇愛樓,崇潔街41號,十三樓,F室,5180000.0,,,0,0,2021-04-12,
3,九龍,紅磡,,蕪湖居,蕪湖街111號,21樓,D室,4200000.0,320.0,13125.0,224,18750,2021-04-12,
4,九龍,紅磡,,悅目,利工街9號,18樓,E室,8200000.0,,,429,19114,2021-04-12,2.0
5,九龍,紅磡,,源成大廈,機利士南路17號,九樓,H室,3000000.0,,,0,0,2021-04-12,
6,九龍,紅磡,,悅目,利工街9號,高層,C室,8340000.0,,,423,19716,2021-04-09T00:00:00,2.0
7,九龍,紅磡站,都會軒,2座,都會道8-9號,低層,20室,9280000.0,626.0,14824.0,477,19455,2021-04-09T00:00:00,1.0
8,九龍,紅磡站,都會軒,1座,都會道8-9號,17樓,8室,8880000.0,634.0,14006.0,479,18539,2021-04-09,1.0
9,九龍,紅磡,,保其利大廈,漆咸道北264-268號,3樓,A室,5000000.0,,,566,8834,2021-04-09,
10,九龍,紅磡站,都會軒,2座,都會道8-9號,12樓,17室,9480000.0,600.0,15800.0,454,20881,2021-04-08,1.0
11,九龍,紅磡,,崇仁樓,崇潔街10號,十一樓,F室,4000000.0,450.0,8889.0,347,11527,2021-04-08,
12,九龍,紅磡,陽光廣埸,2座,崇安街17號,9樓,G室,6990000.0,625.0,11184.0,480,14563,2021-04-08,
13,九龍,紅磡,昇御門,1座,漆咸道北388號,16樓,F室,9950000.0,811.0,12269.0,606,16419,2021-04-07,2.0
14,九龍,紅磡,,長樂大廈,必嘉街1G-1K號,六樓,D室,3000000.0,,,336,8929,2021-03-31,
15,九龍,紅磡,聯盛大廈,鳳儀閣,湖光街3號,十二樓,10室,3620000.0,,,287,12613,2021-03-31,
16,九龍,紅磡,,蔚景樓,漆咸道北275號,十五樓,C室,5000000.0,,,340,14706,2021-03-31,
17,九龍,紅磡站,都會軒,1座,都會道8-9號,17樓,1室,8538000.0,629.0,13574.0,473,18051,2021-03-30,2.0
18,九龍,紅磡,,興華大廈,蕪湖街157-171號,十四樓,E室,3950000.0,330.0,11970.0,350,11286,2021-03-30,
19,九龍,紅磡站,都會軒,2座,都會道8-9號,低層,17室,9480000.0,600.0,15800.0,454,20881,2021-03-26T00:00:00,1.0
20,九龍,紅磡,,崇富洋樓,北拱街22-32號,4樓,A室,4360000.0,360.0,12111.0,274,15912,2021-03-26,
21,九龍,紅磡站,都會軒,1座,都會道8-9號,12樓,9室,8600000.0,630.0,13651.0,480,17917,2021-03-25,1.0
22,九龍,紅磡,,崇儉樓,崇潔街81號,十四樓,D室,6800000.0,,,616,11039,2021-03-25,
23,九龍,紅磡,,薈點,北拱街8號,25樓,A室,4410000.0,356.0,12388.0,237,18608,2021-03-25,
24,九龍,紅磡,福年新樓,A座,必嘉圍7-21號,10樓,A2室,4350000.0,,,413,10533,2021-03-25,
25,九龍,紅磡,,大利大廈,寶其利街81號,6樓,B室,4050000.0,493.0,8215.0,276,14674,2021-03-24,
26,九龍,紅磡,,俊暉華庭,蕪湖街118號,11樓,C室,5168000.0,441.0,11719.0,256,20188,2021-03-24,2.0
27,九龍,紅磡,陽光廣埸,2座,崇安街17號,18樓,C室,5880000.0,445.0,13213.0,356,16517,2021-03-24,
28,九龍,紅磡,昇御門,1座,漆咸道北388號,中層,F室,9950000.0,811.0,12269.0,606,16419,2021-03-23T00:00:00,2.0
29,九龍,紅磡,聯盛大廈,鴻運閣,湖光街7號,十二樓,7室,3980000.0,,,287,13868,2021-03-19,
30,九龍,紅磡,,華麗大廈,老龍坑街2號,12樓,E室,3830000.0,428.0,8949.0,325,11785,2021-03-19,
31,九龍,紅磡,紅磡花園,1座,青州街3號,13樓,C室,7838000.0,596.0,13151.0,480,16329,2021-03-18,
32,九龍,紅磡,昇御門,1座,漆咸道北388號,6樓,D室,11000000.0,941.0,11690.0,708,15537,2021-03-18,2.0
33,九龍,紅磡,,俊暉華庭,蕪湖街118號,20樓,A室,5750000.0,482.0,11929.0,286,20105,2021-03-18,2.0
34,九龍,紅磡,紅磡灣中心,鴻年閣 (C座),必嘉街96號,4樓,6室,7380000.0,565.0,13062.0,477,15472,2021-03-18,3.0
35,九龍,紅磡,,光明閣,蕪湖街68號,12樓,A室,4250000.0,394.0,10787.0,224,18973,2021-03-18,
36,九龍,紅磡,富運大廈,A座,漆咸道北436-450號,八樓,7室,3300000.0,263.0,12548.0,198,16667,2021-03-16,
37,九龍,紅磡,,溫思勞街35號,溫思勞街35號,三樓,35號,5180000.0,,,638,8119,2021-03-16,
38,九龍,紅磡,,東海雅園,必嘉街66號,25樓,D室,5750000.0,600.0,9583.0,382,15052,2021-03-11,2.0
39,九龍,紅磡,,悅目,利工街9號,6樓,C室,7700000.0,,,423,18203,2021-03-11,2.0
40,九龍,紅磡,,獲利家大廈,獲嘉道7號,九樓,C室,2300000.0,235.0,9787.0,155,14839,2021-03-10,
41,九龍,紅磡,,悅目,利工街9號,21樓,H室,8080000.0,,,429,18834,2021-03-10,2.0
42,九龍,紅磡,,城中匯,寶其利街121號,15樓,C室,7680000.0,,,410,18732,2021-03-09,2.0
43,九龍,紅磡,聯盛大廈,鳳儀閣,湖光街3號,八樓,3室,3900000.0,,,296,13176,2021-03-09,
44,九龍,紅磡站,都會軒,1座,都會道8-9號,18樓,3室,8500000.0,638.0,13323.0,494,17206,2021-03-05,1.0
45,九龍,紅磡,,慶祥大廈,漆咸道北417號,7樓,C室,4780000.0,443.0,10790.0,308,15519,2021-03-05,
46,九龍,紅磡,,源成大廈,機利士南路17號,七樓,E室,4100000.0,,,424,9670,2021-03-05,
47,九龍,紅磡,,獲利家大廈,獲嘉道7號,八樓,A室,3200000.0,,,241,13278,2021-03-04,
48,九龍,紅磡,聯盛大廈,燕安閣,湖光街5號,十樓,15室,3850000.0,,,287,13415,2021-03-04,
49,九龍,紅磡,,崇義樓,崇潔街24號,四樓,B室,4500000.0,,,462,9740,2021-03-04,
50,九龍,紅磡,,悅目,利工街9號,9樓,G室,7600000.0,,,429,17716,2021-03-04,2.0
51,九龍,紅磡,,華麗大廈,老龍坑街2號,12樓,B室,3680000.0,,,290,12690,2021-03-03,
52,九龍,紅磡,紅磡灣中心,鴻興閣 (K座),必嘉街110號,1樓,3室,6000000.0,500.0,12000.0,411,14599,2021-03-03,
53,九龍,紅磡站,都會軒,2座,都會道8-9號,19樓,2室,8450000.0,619.0,13651.0,466,18133,2021-03-03,1.0
54,九龍,紅磡站,都會軒,1座,都會道8-9號,19樓,7室,8700000.0,634.0,13722.0,479,18163,2021-03-02,1.0
55,九龍,紅磡,,悅目,利工街9號,高層,H室,8080000.0,,,429,18834,2021-03-01T00:00:00,2.0
56,九龍,紅磡,聯盛大廈,鴻運閣,湖光街7號,十四樓,14室,3900000.0,,,278,14029,2021-03-01,
57,九龍,紅磡,,蕪湖居,蕪湖街111號,25樓,D室,4200000.0,320.0,13125.0,224,18750,2021-03-01,
58,九龍,紅磡站,都會軒,2座,都會道8-9號,26樓,16室,9080000.0,628.0,14459.0,474,19156,2021-02-26,1.0
59,九龍,紅磡站,都會軒,2座,都會道8-9號,11樓,16室,8330000.0,628.0,13264.0,474,17574,2021-02-26,1.0
60,九龍,紅磡,,嘉麗閣,必嘉街18號,25樓,A室,4680000.0,518.0,9035.0,296,15811,2021-02-25,2.0
61,九龍,紅磡,紅磡花園,1座,青州街3號,11樓,A室,6500000.0,481.0,13514.0,386,16839,2021-02-25,
62,九龍,紅磡站,都會軒,1座,都會道8-9號,18樓,8室,8500000.0,634.0,13407.0,479,17745,2021-02-24,1.0
63,九龍,紅磡,,蕪湖居,蕪湖街111號,20樓,B室,4250000.0,355.0,11972.0,246,17276,2021-02-24,
64,九龍,紅磡站,都會軒,1座,都會道8-9號,12樓,11室,8830000.0,620.0,14242.0,467,18908,2021-02-24,1.0
65,九龍,紅磡,,金達閣,蕪湖街58號,5樓,A室,4300000.0,403.0,10670.0,274,15693,2021-02-24,
66,九龍,紅磡,,海德豪苑,蕪湖街121-127號,14樓,A室,5100000.0,500.0,10200.0,287,17770,2021-02-24,2.0
67,九龍,紅磡,,悅目,利工街9號,23樓,D室,8250000.0,,,429,19231,2021-02-23,2.0
68,九龍,紅磡,昇御門,1座,漆咸道北388號,11樓,G室,5750000.0,392.0,14668.0,300,19167,2021-02-23,
69,九龍,紅磡,寶石戲院大廈,B座,明安街20號,十樓,3室,6420000.0,,,625,10272,2021-02-23,
70,九龍,紅磡,,悅目,利工街9號,低層,C室,7700000.0,,,423,18203,2021-02-19T00:00:00,2.0
71,九龍,紅磡,,蕪湖居,蕪湖街111號,高層,D室,4200000.0,320.0,13125.0,224,18750,2021-02-19T00:00:00,
