,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,啟德新區,I,大廈第2座,沐寧街2號,高層,H室,8450000.0,,,376,22473,2021-04-13T00:00:00,1.0
1,九龍,啟德新區,II,大廈第5座,沐寧街8號,低層,C室,7800000.0,,,375,20800,2021-04-12T00:00:00,1.0
2,九龍,啟德新區,嘉峯匯,1B座,沐泰街9號,18樓,D室,10953000.0,,,466,23504,2021-04-12,
3,九龍,啟德新區,尚‧珒溋,低座D座,沐泰街11號,3樓,B室,53427000.0,,,1619,33000,2021-04-12,
4,九龍,啟德新區,龍譽,1B座,沐寧街9號,10樓,D室,8100000.0,,,358,22626,2021-04-12,1.0
5,九龍,啟德新區,嘉峯匯,1B座,沐泰街9號,39樓,F室,7729000.0,,,287,26930,2021-04-09,
6,九龍,啟德新區,龍譽,2B座,沐寧街9號,37樓,D室,8000000.0,,,306,26144,2021-04-09,1.0
7,九龍,啟德新區,嘉匯,1座,沐寧街7號,11樓,F室,8228000.0,,,0,0,2021-04-09,1.0
8,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,8樓,C室,11573000.0,,,499,23192,2021-04-09,
9,九龍,啟德新區,嘉峯匯,1B座,沐泰街9號,6樓,F室,7323000.0,,,287,25516,2021-04-08,1.0
10,九龍,啟德新區,2期 GRANDE MONACO,1A座,沐泰街12號,8樓,C室,10861000.0,,,446,24352,2021-04-08,
11,九龍,啟德新區,2期 GRANDE MONACO,1A座,沐泰街12號,12樓,C室,11459000.0,,,446,25693,2021-04-08,
12,九龍,啟德新區,嘉峯匯,1B座,沐泰街9號,5樓,F室,7316000.0,,,287,25491,2021-04-08,1.0
13,九龍,啟德新區,OASIS KAI TAK,3座,沐寧街10號,19樓,E室,8240000.0,,,339,24307,2021-04-08,1.0
14,九龍,啟德新區,嘉峯匯,1B座,沐泰街9號,33樓,F室,7667000.0,,,287,26714,2021-04-08,1.0
15,九龍,啟德新區,嘉峯匯,1B座,沐泰街9號,1樓,B室,10002000.0,,,453,22079,2021-04-08,2.0
16,九龍,啟德新區,OASIS KAI TAK,1座,沐寧街10號,33樓,D室,13431000.0,,,485,27693,2021-04-07,2.0
17,九龍,啟德新區,嘉峯匯,2A座,沐泰街9號,17樓,A室,11068000.0,,,459,24113,2021-04-07,2.0
18,九龍,啟德新區,2期 GRANDE MONACO,1A座,沐泰街12號,21樓,B室,25480000.0,,,961,26514,2021-04-07,
19,九龍,啟德新區,龍譽,1B座,沐寧街9號,低層,D室,8100000.0,,,358,22626,2021-04-01T00:00:00,1.0
20,九龍,啟德新區,嘉匯,1座,沐寧街7號,低層,G室,8300000.0,,,372,22312,2021-04-01T00:00:00,1.0
21,九龍,啟德新區,II,大廈第3座,沐寧街8號,中層,H室,8080000.0,,,375,21547,2021-04-01T00:00:00,1.0
22,九龍,啟德新區,尚‧珒溋,1座,沐泰街11號,31樓,D室,17763100.0,,,657,27037,2021-04-01,3.0
23,九龍,啟德新區,尚‧珒溋,1座,沐泰街11號,23樓,C室,21315100.0,,,0,0,2021-04-01,3.0
24,九龍,啟德新區,嘉峯匯,都會城邸1,沐泰街9號,2樓,H室,8405000.0,,,325,25862,2021-04-01,1.0
25,九龍,啟德新區,I,大廈第2座,沐寧街2號,16樓,A室,10000000.0,,,584,17123,2021-04-01,3.0
26,九龍,啟德新區,I,大廈第2座,沐寧街2號,7樓,C室,12120000.0,,,567,21376,2021-04-01,3.0
27,九龍,啟德新區,尚‧珒溋,2座,沐泰街11號,37樓,D室,14589000.0,,,557,26192,2021-04-01,2.0
28,九龍,啟德新區,I,大廈第2座,沐寧街2號,低層,B室,10850000.0,,,516,21027,2021-03-31T00:00:00,2.0
29,九龍,啟德新區,龍譽,2A座,沐寧街9號,低層,C室,12500000.0,,,548,22810,2021-03-31T00:00:00,2.0
30,九龍,啟德新區,嘉峯匯,2A座,沐泰街9號,22樓,A室,11144000.0,,,459,24279,2021-03-31,2.0
31,九龍,啟德新區,尚‧珒溋,1座,沐泰街11號,31樓,E室,17122500.0,,,657,26062,2021-03-31,3.0
32,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,25樓,B室,11924000.0,,,501,23800,2021-03-31,
33,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,28樓,C室,12238000.0,,,499,24525,2021-03-31,
34,九龍,啟德新區,龍譽,1A座,沐寧街9號,1樓,E室,8432900.0,,,349,24163,2021-03-31,1.0
35,九龍,啟德新區,天寰,天海匯2座,沐寧街1號,22樓,F室,10000000.0,,,461,21692,2021-03-31,2.0
36,九龍,啟德新區,嘉峯匯,都會城邸1,沐泰街9號,3樓,B室,12045000.0,,,519,23208,2021-03-31,2.0
37,九龍,啟德新區,嘉峯匯,1B座,沐泰街9號,38樓,F室,7820000.0,,,287,27247,2021-03-31,1.0
38,九龍,啟德新區,尚‧珒溋,1座,沐泰街11號,25樓,D室,17239800.0,,,657,26240,2021-03-30,3.0
39,九龍,啟德新區,嘉峯匯,1A座,沐泰街9號,29樓,G室,10924000.0,,,459,23800,2021-03-30,2.0
40,九龍,啟德新區,嘉峯匯,1B座,沐泰街9號,35樓,F室,7973000.0,,,287,27780,2021-03-30,1.0
41,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,11樓,A室,14474000.0,,,573,25260,2021-03-30,
42,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,8樓,B室,11699000.0,,,501,23351,2021-03-30,
43,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,20樓,A室,14736000.0,,,573,25717,2021-03-30,
44,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,21樓,B室,12338000.0,,,501,24627,2021-03-30,
45,九龍,啟德新區,嘉峯匯,1A座,沐泰街9號,30樓,G室,10963000.0,,,459,23885,2021-03-30,2.0
46,九龍,啟德新區,煥然壹居,H1座,沐翠街3號,1樓,C室,9000000.0,,,568,15845,2021-03-30,2.0
47,九龍,啟德新區,嘉匯,2座,沐寧街7號,中層,A室,11800000.0,,,509,23183,2021-03-29T00:00:00,2.0
48,九龍,啟德新區,嘉匯,9座,沐寧街7號,6樓,E室,14550000.0,,,632,23022,2021-03-29,3.0
49,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,25樓,C室,12092000.0,,,499,24232,2021-03-29,
50,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,27樓,B室,12448000.0,,,501,24846,2021-03-29,
51,九龍,啟德新區,龍譽,1A座,沐寧街9號,17樓,C室,5950000.0,,,245,24286,2021-03-29,
52,九龍,啟德新區,尚‧珒溋,1座,沐泰街11號,29樓,D室,17586800.0,,,657,26768,2021-03-29,3.0
53,九龍,啟德新區,OASIS KAI TAK,3座,沐寧街10號,22樓,E室,7500000.0,,,339,22124,2021-03-26,1.0
54,九龍,啟德新區,嘉峯匯,1B座,沐泰街9號,38樓,B室,11448000.0,,,453,25272,2021-03-26,2.0
55,九龍,啟德新區,尚‧珒溋,1座,沐泰街11號,30樓,E室,17054300.0,,,657,25958,2021-03-26,3.0
56,九龍,啟德新區,尚‧珒溋,1座,沐泰街11號,35樓,E室,17611800.0,,,657,26806,2021-03-26,3.0
57,九龍,啟德新區,2期 GRANDE MONACO,1A座,沐泰街12號,25樓,A室,22450000.0,,,827,27146,2021-03-26,
58,九龍,啟德新區,2期 GRANDE MONACO,1A座,沐泰街12號,25樓,B室,25226250.0,,,961,26250,2021-03-26,
59,九龍,啟德新區,2期 GRANDE MONACO,1A座,沐泰街12號,32樓,A室,24608000.0,,,827,29756,2021-03-26,
60,九龍,啟德新區,2期 GRANDE MONACO,1A座,沐泰街12號,32樓,B室,28194000.0,,,961,29338,2021-03-26,
61,九龍,啟德新區,尚‧珒溋,2座,沐泰街11號,35樓,D室,14594100.0,,,557,26201,2021-03-26,2.0
62,九龍,啟德新區,尚‧珒溋,1座,沐泰街11號,27樓,D室,17412600.0,,,657,26503,2021-03-26,3.0
63,九龍,啟德新區,嘉峯匯,2A座,沐泰街9號,11樓,A室,10851000.0,,,459,23641,2021-03-25,2.0
64,九龍,啟德新區,嘉峯匯,2A座,沐泰街9號,16樓,B室,19482000.0,,,765,25467,2021-03-25,3.0
65,九龍,啟德新區,2期 GRANDE MONACO,1A座,沐泰街12號,23樓,B室,25644000.0,,,961,26685,2021-03-25,
66,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,22樓,C室,12020000.0,,,499,24088,2021-03-25,
67,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,17樓,A室,14384000.0,,,573,25103,2021-03-25,
68,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,18樓,A室,14115000.0,,,573,24634,2021-03-25,
69,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,19樓,A室,14158000.0,,,573,24709,2021-03-25,
70,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,21樓,C室,12512000.0,,,499,25074,2021-03-25,
71,九龍,啟德新區,2期 GRANDE MONACO,1B座,沐泰街12號,23樓,C室,12587000.0,,,499,25224,2021-03-25,
