,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,九龍灣,德福花園,U座,偉業街33號,高層,9室,8428000.0,672.0,12542.0,588,14333,2021-04-14T00:00:00,2.0
1,九龍,九龍灣,德福花園,M座,偉業街33號,中層,10室,7760000.0,603.0,12869.0,538,14424,2021-04-13T00:00:00,2.0
2,九龍,九龍灣,麗晶花園,11座,宏光道80號,低層,E室,5580000.0,527.0,10588.0,452,12345,2021-04-12T00:00:00,2.0
3,九龍,九龍灣,3期,O座,牛頭角道77號,中層,5室,5800000.0,480.0,12083.0,356,16292,2021-04-12T00:00:00,2.0
4,九龍,牛頭角,樂雅苑,雅意閣 (D座),振華道50號,二樓,7室,4600000.0,523.0,8795.0,431,10673,2021-04-12,2.0
5,九龍,九龍灣,麗晶花園,20座,宏光道80號,12樓,E室,5860000.0,527.0,11120.0,0,0,2021-04-12,2.0
6,九龍,牛頭角,,百富閣,定裕坊3號,26樓,D室,4800000.0,460.0,10435.0,297,16162,2021-04-12,
7,九龍,九龍灣,麗晶花園,6座,宏光道80號,21樓,H室,6080000.0,516.0,11783.0,0,0,2021-04-12,2.0
8,九龍,九龍灣,麗晶花園,15座,宏光道80號,高層,G室,5580000.0,474.0,11772.0,407,13710,2021-04-10T00:00:00,2.0
9,九龍,九龍灣,3B期,R座,牛頭角道77號,高層,1室,6380000.0,442.0,14434.0,357,17871,2021-04-09T00:00:00,1.0
10,九龍,九龍灣,得寶花園,E座,牛頭角道3號,低層,E6室,4800000.0,395.0,12152.0,282,17021,2021-04-09T00:00:00,1.0
11,九龍,九龍灣,3B期,R座,牛頭角道77號,26樓,8室,8320000.0,607.0,13707.0,489,17014,2021-04-09,2.0
12,九龍,九龍灣,麗晶花園,15座,宏光道80號,25樓,H室,5540000.0,474.0,11688.0,407,13612,2021-04-09,2.0
13,九龍,九龍灣,得寶花園,D座,牛頭角道3號,32樓,D8室,4620000.0,344.0,13430.0,265,17434,2021-04-09,1.0
14,九龍,九龍灣,麗晶花園,3座,宏光道80號,5樓,F室,5480000.0,470.0,11660.0,407,13464,2021-04-09,2.0
15,九龍,九龍灣,宏光樓,A座,牛頭角道33號,18樓,A8室,5150000.0,480.0,10729.0,386,13342,2021-04-09,2.0
16,九龍,九龍灣,彩霞邨,彩星樓 (C座),彩霞道18號,26樓,3室,3100000.0,,,443,6998,2021-04-08,
17,九龍,九龍灣,德福花園,A座,偉業街33號,12樓,14室,7150000.0,597.0,11977.0,538,13290,2021-04-08,2.0
18,九龍,牛頭角,樂雅苑,雅靜閣 (B座),振華道50號,二十五樓,2室,5150000.0,568.0,9067.0,467,11028,2021-04-08,2.0
19,九龍,九龍灣,3期,O座,牛頭角道77號,22樓,7室,5150000.0,371.0,13881.0,285,18070,2021-04-08,1.0
20,九龍,九龍灣,麗晶花園,20座,宏光道80號,9樓,F室,5320000.0,474.0,11224.0,407,13071,2021-04-08,2.0
21,九龍,九龍灣,3期,O座,牛頭角道77號,15樓,6室,5760000.0,480.0,12000.0,356,16180,2021-04-08,2.0
22,九龍,九龍灣,麗晶花園,4座,宏光道80號,高層,A室,6120000.0,516.0,11860.0,447,13691,2021-04-07T00:00:00,2.0
23,九龍,九龍灣,德福花園,P座,偉業街33號,7樓,14室,7320000.0,603.0,12139.0,538,13606,2021-04-07,2.0
