,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,九龍站,君臨天下,3座,柯士甸道西1號,低層,F室,23800000.0,1082.0,21996.0,794,29975,2021-04-13,2.0
1,九龍,九龍站,御金‧國峰,6座,友翔道1號,中層,F室,6580000.0,403.0,16328.0,322,20435,2021-04-12,
2,九龍,九龍站,御金‧國峰,7座,友翔道1號,低層,B室,7600000.0,510.0,14902.0,400,19000,2021-04-08,1.0
3,九龍,九龍站,1期,3座,柯士甸道西1號,46樓,A室,18500000.0,836.0,22129.0,632,29272,2021-04-08,2.0
4,九龍,九龍站,天璽,21座 - 5區 (星鑽),柯士甸道西1號,17樓,C室,17480000.0,711.0,24585.0,531,32919,2021-04-08,2.0
5,九龍,九龍站,君臨天下,3座,柯士甸道西1號,48樓,B室,46500000.0,1455.0,31959.0,1061,43827,2021-04-08,3.0
6,九龍,九龍站,1期,5座,柯士甸道西1號,61樓,E室,24000000.0,1125.0,21333.0,856,28037,2021-04-08,3.0
7,九龍,九龍站,2期,2座,柯士甸道西1號,高層,G室,27300000.0,1188.0,22980.0,915,29836,2021-04-07,3.0
8,九龍,九龍站,2期,1座,柯士甸道西1號,26樓,C室,42380000.0,1805.0,23479.0,1344,31533,2021-04-07,4.0
9,九龍,九龍站,1期,5座,柯士甸道西1號,28樓,D室,21300000.0,998.0,21343.0,748,28476,2021-04-07,3.0
10,九龍,九龍站,2期,1座,柯士甸道西1號,41樓,D室,42500000.0,1805.0,23546.0,1347,31552,2021-04-07,4.0
11,九龍,九龍站,2期,2座,柯士甸道西1號,中層,H室,23000000.0,1156.0,19896.0,876,26256,2021-04-01,3.0
12,九龍,九龍站,1期,3座,柯士甸道西1號,60樓,G室,21500000.0,1037.0,20733.0,781,27529,2021-04-01,3.0
13,九龍,九龍站,君臨天下,1座,柯士甸道西1號,29樓,E室,21600000.0,1032.0,20930.0,743,29071,2021-04-01,2.0
14,九龍,九龍站,凱旋門,朝日閣 (1A座),柯士甸道西1號,66樓,E室,36080000.0,1331.0,27107.0,1010,35723,2021-04-01,3.0
15,九龍,九龍站,凱旋門,朝日閣 (1A座),柯士甸道西1號,中層,C室,13920000.0,602.0,23123.0,420,33143,2021-03-31,1.0
16,九龍,九龍站,天璽,21座 - 2區 (月鑽),柯士甸道西1號,中層,A室,55000000.0,1902.0,28917.0,1394,39455,2021-03-31,4.0
17,九龍,九龍站,天璽,21座 - 5區 (星鑽),柯士甸道西1號,20樓,D室,19530000.0,739.0,26428.0,555,35189,2021-03-31,2.0
18,九龍,九龍站,御金‧國峰,5座,友翔道1號,高層,C室,10600000.0,676.0,15680.0,513,20663,2021-03-30,2.0
19,九龍,九龍站,天璽,21座 - 5區 (星鑽),柯士甸道西1號,高層,G室,25500000.0,894.0,28523.0,677,37666,2021-03-29,2.0
20,九龍,九龍站,1期,3座,柯士甸道西1號,低層,D室,22500000.0,1071.0,21008.0,803,28020,2021-03-27,3.0
21,九龍,九龍站,御金‧國峰,7座,友翔道1號,中層,E室,8600000.0,607.0,14168.0,469,18337,2021-03-26,1.0
22,九龍,九龍站,1期,3座,柯士甸道西1號,27樓,G室,20480000.0,1037.0,19749.0,772,26528,2021-03-26,3.0
23,九龍,九龍站,1期,5座,柯士甸道西1號,51樓,H室,20250000.0,998.0,20291.0,755,26821,2021-03-23,3.0
24,九龍,九龍站,天璽,21座 - 5區 (星鑽),柯士甸道西1號,低層,D室,19530000.0,739.0,26428.0,555,35189,2021-03-22,2.0
25,九龍,九龍站,1期,5座,柯士甸道西1號,高層,H室,20250000.0,998.0,20291.0,755,26821,2021-03-16,3.0
26,九龍,九龍站,御金‧國峰,7座,友翔道1號,低層,B室,7600000.0,510.0,14902.0,400,19000,2021-04-08,1.0
27,九龍,九龍站,1期,3座,柯士甸道西1號,46樓,A室,18500000.0,836.0,22129.0,632,29272,8/4/2021,2.0
28,九龍,九龍站,天璽,21座 - 5區 (星鑽),柯士甸道西1號,17樓,C室,17480000.0,711.0,24585.0,531,32919,8/4/2021,2.0
29,九龍,九龍站,1期,5座,柯士甸道西1號,61樓,E室,24000000.0,1125.0,21333.0,856,28037,8/4/2021,3.0
30,九龍,九龍站,2期,2座,柯士甸道西1號,高層,G室,27300000.0,1188.0,22980.0,915,29836,2021-04-07,3.0
31,九龍,九龍站,2期,1座,柯士甸道西1號,26樓,C室,42380000.0,1805.0,23479.0,1344,31533,7/4/2021,4.0
32,九龍,九龍站,1期,5座,柯士甸道西1號,28樓,D室,21300000.0,998.0,21343.0,748,28476,7/4/2021,3.0
33,九龍,九龍站,2期,1座,柯士甸道西1號,41樓,D室,42500000.0,1805.0,23546.0,1347,31552,7/4/2021,4.0
34,九龍,九龍站,2期,2座,柯士甸道西1號,中層,H室,23000000.0,1156.0,19896.0,876,26256,2021-04-01,3.0
35,九龍,九龍站,1期,3座,柯士甸道西1號,60樓,G室,21500000.0,1037.0,20733.0,781,27529,1/4/2021,3.0
36,九龍,九龍站,君臨天下,1座,柯士甸道西1號,29樓,E室,21600000.0,1032.0,20930.0,743,29071,1/4/2021,2.0
37,九龍,九龍站,凱旋門,朝日閣 (1A座),柯士甸道西1號,66樓,E室,36080000.0,1331.0,27107.0,1010,35723,1/4/2021,3.0
38,九龍,九龍站,凱旋門,朝日閣 (1A座),柯士甸道西1號,中層,C室,13920000.0,602.0,23123.0,420,33143,2021-03-31,1.0
39,九龍,九龍站,天璽,21座 - 5區 (星鑽),柯士甸道西1號,20樓,D室,19530000.0,739.0,26428.0,555,35189,31/3/2021,2.0
40,九龍,九龍站,御金‧國峰,5座,友翔道1號,高層,C室,10600000.0,676.0,15680.0,513,20663,2021-03-30,2.0
41,九龍,九龍站,1期,5座,柯士甸道西1號,30樓,D室,18000000.0,998.0,18036.0,748,24064,30/3/2021,3.0
42,九龍,九龍站,天璽,21座 - 5區 (星鑽),柯士甸道西1號,高層,G室,25500000.0,894.0,28523.0,677,37666,2021-03-29,2.0
43,九龍,九龍站,1期,6座,柯士甸道西1號,15樓,B室,16000000.0,848.0,18868.0,625,25600,29/3/2021,2.0
44,九龍,九龍站,1期,3座,柯士甸道西1號,低層,D室,22500000.0,1071.0,21008.0,803,28020,2021-03-27,3.0
45,九龍,九龍站,御金‧國峰,7座,友翔道1號,中層,E室,8600000.0,607.0,14168.0,469,18337,2021-03-26,1.0
46,九龍,九龍站,1期,3座,柯士甸道西1號,27樓,G室,20480000.0,1037.0,19749.0,772,26528,26/3/2021,3.0
47,九龍,九龍站,GRAND AUSTIN,3座,柯士甸道西9號,8樓,C室,37800000.0,,,1251,30216,24/3/2021,4.0
48,九龍,九龍站,1期,3座,柯士甸道西1號,18樓,A室,21680000.0,1170.0,18530.0,934,23212,24/3/2021,3.0
49,九龍,九龍站,1期,5座,柯士甸道西1號,51樓,H室,20250000.0,998.0,20291.0,755,26821,23/3/2021,3.0
50,九龍,九龍站,凱旋門,朝日閣 (1A座),柯士甸道西1號,28樓,E室,14650000.0,533.0,27486.0,398,36809,23/3/2021,1.0
51,九龍,九龍站,天璽,21座 - 5區 (星鑽),柯士甸道西1號,低層,D室,19530000.0,739.0,26428.0,555,35189,2021-03-22,2.0
52,九龍,九龍站,2期,2座,柯士甸道西1號,41樓,G室,24680000.0,1182.0,20880.0,891,27699,22/3/2021,3.0
53,九龍,九龍站,1期,6座,柯士甸道西1號,47樓,B室,18100000.0,848.0,21344.0,633,28594,19/3/2021,2.0
54,九龍,九龍站,凱旋門,映月閣 (2A座),柯士甸道西1號,26樓,E室,12680000.0,528.0,24015.0,398,31859,18/3/2021,1.0
55,九龍,九龍站,1期,5座,柯士甸道西1號,46樓,G室,20600000.0,1037.0,19865.0,781,26376,17/3/2021,3.0
56,九龍,九龍站,天璽,20座 - 2區 (海鑽),柯士甸道西1號,36樓,D室,21880000.0,,,672,32560,17/3/2021,2.0
