,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,龍坪,爾登華庭,7座,大埔道369號,高層,A室,36200000.0,,,1341,26994,2021-04-12T00:00:00,2.0
1,九龍,九龍塘,碧華花園,6座,喇沙利道16號,高層,A室,27000000.0,1742.0,15499.0,1609,16781,2021-04-12T00:00:00,4.0
2,九龍,九龍塘,映月臺,B座,安域道2號,三樓,B2室,19350000.0,,,1211,15979,2021-04-12,
3,九龍,九龍塘,,劍橋花園,蘭開夏道1號,地下及1樓,1室,85000000.0,,,4568,18608,2021-04-12,
4,九龍,龍坪,帝景居,3座,延坪道8號,10樓,D室,15020000.0,886.0,16953.0,681,22056,2021-04-09,
5,九龍,龍坪,郝德傑山,1座,郝德傑道2號,10樓,E室,14650000.0,1282.0,11427.0,955,15340,2021-04-08,3.0
6,九龍,九龍塘,,瀚名,喇沙利道10號,18樓,A室,35881200.0,,,1132,31697,2021-04-08,
7,九龍,九龍塘,碧麗閣,D座,馬可尼道10號,高層,D1室,11780000.0,794.0,14836.0,689,17097,2021-04-07T00:00:00,
8,九龍,九龍塘,,嘉福閣,嘉林邊道44-46號,2樓,B室,8380000.0,527.0,15901.0,455,18418,2021-04-07,
9,九龍,龍坪,緹山,1座,龍駒道9號,6樓,A室,90180000.0,,,1760,51239,2021-04-07,3.0
10,九龍,龍坪,畢架山花園,6座,龍坪道6號,3樓,F室,12330000.0,979.0,12594.0,809,15241,2021-04-01,3.0
11,九龍,九龍塘,,晟林,喇沙利道6號,7樓,E室,7446000.0,,,297,25071,2021-04-01,1.0
12,九龍,九龍塘,2期,5座,筆架山道1號,6樓,C室,29800000.0,1489.0,20013.0,1112,26799,2021-03-31,3.0
13,九龍,九龍塘,,嘉林邊道35號,嘉林邊道35號,地下,35號,12000000.0,,,1399,8578,2021-03-31,
14,九龍,九龍塘,碧華花園,10座,喇沙利道16號,中層,C室,22280000.0,1308.0,17034.0,1211,18398,2021-03-26T00:00:00,3.0
15,九龍,九龍塘,,富景台,衙前圍道59號,3樓,B室,11000000.0,810.0,13580.0,712,15449,2021-03-26,
16,九龍,龍坪,帝景居,3座,延坪道8號,10樓,A室,32080000.0,,,1155,27775,2021-03-26,
17,九龍,龍坪,畢架山花園,12座,龍坪道12號,5樓,B室,17000000.0,1497.0,11356.0,1312,12957,2021-03-26,3.0
18,九龍,龍坪,畢架山花園,4座,龍坪道4號,13樓,F室,14500000.0,1022.0,14188.0,844,17180,2021-03-26,3.0
19,九龍,九龍塘,,歌和台,歌和老街2H號,地下,2G號,28200000.0,,,1758,16041,2021-03-25,
20,九龍,九龍塘,4期,15座,筆架山道1號,低層,A室,42280000.0,1954.0,21638.0,1456,29038,2021-03-24T00:00:00,4.0
21,九龍,九龍塘,,嘉翠園,廣播道40號,3樓,G室,9650000.0,585.0,16496.0,531,18173,2021-03-24,
22,九龍,九龍塘,,晟林,喇沙利道6號,10樓,D室,9956000.0,,,400,24890,2021-03-23,2.0
23,九龍,龍坪,畢架山花園,4座,龍坪道4號,11樓,A室,13380000.0,1022.0,13092.0,844,15853,2021-03-23,3.0
24,九龍,龍坪,畢架山花園,6座,龍坪道6號,低層,F室,12330000.0,979.0,12594.0,809,15241,2021-03-19T00:00:00,3.0
25,九龍,龍坪,郝德傑山,1座,郝德傑道2號,高層,E室,14650000.0,1282.0,11427.0,955,15340,2021-03-19T00:00:00,3.0
26,九龍,九龍塘,,晟林,喇沙利道6號,8樓,E室,7661000.0,,,297,25795,2021-03-17,1.0
27,九龍,龍坪,帝景軒,3座,延坪道2號,3樓,E室,18520000.0,1247.0,14852.0,962,19252,2021-03-16,
28,九龍,九龍塘,,劍橋花園,蘭開夏道1號,1樓及2樓,2室,66000000.0,,,4517,14611,2021-03-16,
29,九龍,龍坪,畢架山花園,2座,龍坪道2號,7樓,E室,13600000.0,1051.0,12940.0,807,16853,2021-03-16,3.0
30,九龍,龍坪,帝景軒,2座,延坪道2號,8樓,B室,10000000.0,818.0,12225.0,620,16129,2021-03-16,
31,九龍,九龍塘,,新餘邨,安域道1號,6樓,D7室,15000000.0,,,950,15789,2021-03-16,
32,九龍,九龍塘,2期,5座,筆架山道1號,中層,C室,29800000.0,1489.0,20013.0,1112,26799,2021-03-15T00:00:00,3.0
33,九龍,九龍塘,霞明閣,D座,義本道9號,5樓,D2室,11000000.0,,,758,14512,2021-03-15,3.0
34,九龍,九龍塘,尚御,1座,廣播道81號,高層,B室,29380000.0,1767.0,16627.0,1355,21683,2021-03-12T00:00:00,4.0
35,九龍,九龍塘,,金巴倫道3號,金巴倫道3號,3號,3號,168200000.0,,,3391,49602,2021-03-11,
36,九龍,九龍塘,金翠苑,B座,廣播道36號,地下,B1室,14200000.0,821.0,17296.0,725,19586,2021-03-11,
37,九龍,龍坪,畢架山花園,1座,龍坪道1號,5樓,C室,13380000.0,1160.0,11534.0,1000,13380,2021-03-11,3.0
38,九龍,九龍塘,,新餘邨,安域道1號,4樓,F5室,14000000.0,1200.0,11667.0,1004,13944,2021-03-10,
39,九龍,九龍塘,,陶源,衙前圍道51號,28樓,A室,18000000.0,1020.0,17647.0,774,23256,2021-03-10,3.0
40,九龍,九龍塘,翠麗苑,A座,馬可尼道4號,3樓,A2室,11080000.0,765.0,14484.0,624,17756,2021-03-02,
41,九龍,九龍塘,翠麗苑,B座,馬可尼道4號,5樓,B3室,9120000.0,613.0,14878.0,487,18727,2021-02-25,
42,九龍,龍坪,緹山,洋房8,龍駒道9號,9號,8號屋,159500000.0,,,2913,54755,2021-02-25,4.0
