,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,觀塘,,月威大廈,月華街48號,6樓,G室,7020000.0,,,620,11323,2021-04-12,
1,九龍,觀塘,,寶峰大廈,馬蹄徑5號,6樓,D室,5220000.0,510.0,10235.0,352,14830,2021-04-12,
2,九龍,觀塘,,觀景閣,月華街20號,8樓,B室,6880000.0,530.0,12981.0,0,0,2021-04-09,
3,九龍,觀塘,,康寧閣,康寧道55號,3樓,B室,4480000.0,464.0,9655.0,358,12514,2021-04-09,
4,九龍,觀塘,凱德大廈,A座,功樂道21號,十五樓,A7室,6180000.0,650.0,9508.0,547,11298,2021-04-09,
5,九龍,觀塘,順緻苑,順美閣 (D座),順緻街3號,地下,9室,5050000.0,663.0,7617.0,560,9018,2021-04-08,
6,九龍,觀塘,康濤閣,A座,康寧道149-151號,26樓,7室,6000000.0,628.0,9554.0,481,12474,2021-04-08,
7,九龍,觀塘,瑞寧樓,C座,瑞寧街24-50號,七樓,C19室,2000000.0,265.0,7547.0,276,7246,2021-04-08,
8,九龍,觀塘,,萬和花園大廈,月華街38號,4樓,O室,5700000.0,,,550,10364,2021-04-08,
9,九龍,安達臣,曉麗苑,曉安閣 (E座),曉光街21號,二樓,6室,4800000.0,600.0,8000.0,436,11009,2021-04-08,
10,九龍,觀塘,,合和大廈,協和街169-197號,19樓,B室,4000000.0,,,400,10000,2021-04-08,
11,九龍,觀塘,凱德大廈,A座,功樂道21號,四樓,A3室,5700000.0,650.0,8769.0,547,10420,2021-04-07,
12,九龍,觀塘,,觀月‧樺峰,月華街8號,5樓,K室,10938000.0,,,695,15738,2021-04-07,3.0
13,九龍,觀塘,泰康樓,B座,月華街28-30號,八樓,B9室,3838000.0,550.0,6978.0,410,9361,2021-04-07,
14,九龍,觀塘,華苑大廈,B座,月華街42號,高層,D室,5210000.0,550.0,9473.0,420,12405,2021-04-01T00:00:00,
15,九龍,安達臣,,曉光閣,曉光街32號,二十三樓,8室,4500000.0,666.0,6757.0,455,9890,2021-04-01,
