,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,四小龍,1期,2座,荔枝角道863號,52樓,A室,8000000.0,639.0,12520.0,466,17167,2021-04-12,2.0
1,九龍,四小龍,碧海藍天,2座,深盛路8號,42樓,E室,9510000.0,680.0,13985.0,510,18647,2021-04-12,2.0
2,九龍,四小龍,碧海藍天,6座,深盛路8號,45樓,H室,11000000.0,784.0,14031.0,588,18707,2021-04-12,3.0
3,九龍,四小龍,昇悅居,3座,荔枝角道833號,低層,E室,8448000.0,605.0,13964.0,459,18405,2021-04-09,2.0
4,九龍,四小龍,1期,2座,荔枝角道863號,低層,H室,8550000.0,631.0,13550.0,441,19388,2021-04-09,2.0
5,九龍,四小龍,昇悅居,6座,荔枝角道833號,55樓,E室,9100000.0,647.0,14065.0,492,18496,2021-04-09,2.0
6,九龍,四小龍,昇悅居,1座,荔枝角道833號,22樓,A室,9150000.0,647.0,14142.0,491,18635,2021-04-09,2.0
7,九龍,四小龍,昇悅居,3座,荔枝角道833號,低層,E室,8448000.0,605.0,13964.0,459,18405,2021-04-09,2.0
8,九龍,四小龍,昇悅居,6座,荔枝角道833號,48樓,G室,9450000.0,689.0,13716.0,522,18103,2021-04-08,2.0
9,九龍,四小龍,星匯居,1座,通州街500號,29樓,F室,12180000.0,1058.0,11512.0,776,15696,2021-04-08,3.0
10,九龍,四小龍,碧海藍天,3座,深盛路8號,19樓,A室,10680000.0,783.0,13640.0,581,18382,2021-04-08,3.0
11,九龍,四小龍,1期,2座,深盛路9號,高層,E室,9338000.0,696.0,13417.0,507,18418,2021-04-07,2.0
12,九龍,四小龍,昇悅居,1座,荔枝角道833號,低層,E室,8850000.0,655.0,13511.0,511,17319,2021-04-07,2.0
13,九龍,四小龍,星匯居,2座,通州街500號,42樓,F室,13360000.0,1064.0,12556.0,788,16954,2021-04-07,3.0
14,九龍,四小龍,昇悅居,3座,荔枝角道833號,53樓,H室,9900000.0,658.0,15046.0,513,19298,2021-04-07,2.0
15,九龍,四小龍,1期,2座,深盛路9號,12樓,B室,8050000.0,624.0,12901.0,441,18254,2021-04-07,2.0
16,九龍,四小龍,2期,8座,荔枝角道863號,中層,F室,8750000.0,683.0,12811.0,508,17224,2021-04-01,2.0
17,九龍,四小龍,昇悅居,8座,荔枝角道833號,22樓,F室,11000000.0,886.0,12415.0,670,16418,2021-04-01,3.0
18,九龍,四小龍,一號‧西九龍,2座,荔枝角道873號,42樓,A室,16660000.0,1303.0,12786.0,970,17175,2021-04-01,4.0
19,九龍,四小龍,2期,7座,深盛路9號,45樓,B室,10500000.0,755.0,13907.0,554,18953,2021-04-01,3.0
20,九龍,四小龍,2期,6座 (海翡翠),深盛路9號,11樓,A室,10000000.0,759.0,13175.0,554,18051,2021-04-01,3.0
21,九龍,四小龍,昇悅居,7座,荔枝角道833號,高層,A室,8900000.0,643.0,13841.0,491,18126,2021-03-31,2.0
22,九龍,四小龍,1期,3座,深盛路9號,中層,A室,8350000.0,624.0,13381.0,441,18934,2021-03-31,2.0
23,九龍,四小龍,3期,5座,荔枝角道863號,55樓,H室,9530000.0,675.0,14119.0,495,19253,2021-03-31,2.0
24,九龍,四小龍,1期,2座,深盛路9號,45樓,A室,8450000.0,631.0,13391.0,464,18211,2021-03-31,2.0
25,九龍,四小龍,1期,3座,荔枝角道863號,51樓,F室,9420000.0,671.0,14039.0,477,19748,2021-03-30,2.0
26,九龍,四小龍,1期,2座,荔枝角道863號,56樓,B室,12500000.0,928.0,13470.0,685,18248,2021-03-30,3.0
27,九龍,四小龍,1期,1座,荔枝角道863號,低層,D室,8080000.0,666.0,12132.0,468,17265,2021-03-29,2.0
28,九龍,四小龍,星匯居,2座,通州街500號,高層,F室,13360000.0,1064.0,12556.0,788,16954,2021-03-29,3.0
29,九龍,四小龍,2期,7座,深盛路9號,低層,B室,10000000.0,755.0,13245.0,554,18051,2021-03-29,3.0
30,九龍,四小龍,碧海藍天,6座,深盛路8號,高層,A室,13380000.0,784.0,17066.0,588,22755,2021-03-29,3.0
31,九龍,四小龍,碧海藍天,3座,深盛路8號,中層,A室,10680000.0,783.0,13640.0,581,18382,2021-03-26,3.0
32,九龍,四小龍,1期,3座,荔枝角道863號,低層,E室,8380000.0,666.0,12583.0,468,17906,2021-03-26,2.0
33,九龍,四小龍,1期,3座,荔枝角道863號,高層,E室,9380000.0,678.0,13835.0,492,19065,2021-03-26,2.0
34,九龍,四小龍,碧海藍天,3座,深盛路8號,8樓,G室,8600000.0,667.0,12894.0,494,17409,2021-03-26,2.0
35,九龍,四小龍,昇悅居,2座,荔枝角道833號,29樓,E室,8700000.0,643.0,13530.0,489,17791,2021-03-26,2.0
36,九龍,四小龍,一號‧西九龍,2座,荔枝角道873號,高層,A室,16660000.0,1303.0,12786.0,970,17175,2021-03-25,4.0
37,九龍,四小龍,3期,6座,荔枝角道863號,低層,D室,8590000.0,665.0,12917.0,478,17971,2021-03-25,2.0
38,九龍,四小龍,2期,1座,深盛路9號,25樓,E室,7200000.0,631.0,11410.0,447,16107,2021-03-25,2.0
39,九龍,四小龍,1期,2座,荔枝角道863號,20樓,D室,8000000.0,645.0,12403.0,447,17897,2021-03-25,2.0
40,九龍,四小龍,1期,2座,深盛路9號,高層,A室,8450000.0,631.0,13391.0,464,18211,2021-03-24,2.0
41,九龍,四小龍,碧海藍天,6座,深盛路8號,高層,H室,11000000.0,784.0,14031.0,588,18707,2021-03-23,3.0
42,九龍,四小龍,2期,7座,荔枝角道863號,50樓,A室,8830000.0,644.0,13711.0,473,18668,2021-03-23,2.0
43,九龍,四小龍,2期,7座,深盛路9號,23樓,D室,8065000.0,649.0,12427.0,463,17419,2021-03-23,2.0
44,九龍,四小龍,一號‧西九龍,1座,荔枝角道873號,低層,B室,13100000.0,1160.0,11293.0,867,15110,2021-03-22,3.0
45,九龍,四小龍,1期,2座,荔枝角道863號,39樓,G室,11750000.0,928.0,12662.0,682,17229,2021-03-22,3.0
46,九龍,四小龍,昇悅居,6座,荔枝角道833號,高層,G室,9450000.0,689.0,13716.0,522,18103,2021-03-19,2.0
47,九龍,四小龍,1期,3座,荔枝角道863號,高層,F室,9420000.0,671.0,14039.0,477,19748,2021-03-19,2.0
48,九龍,四小龍,昇悅居,3座,荔枝角道833號,高層,H室,9900000.0,658.0,15046.0,513,19298,2021-03-19,2.0
49,九龍,四小龍,昇悅居,8座,荔枝角道833號,19樓,F室,10500000.0,886.0,11851.0,670,15672,2021-03-19,3.0
50,九龍,四小龍,1期,2座,荔枝角道863號,31樓,C室,8500000.0,647.0,13138.0,490,17347,2021-03-19,2.0
51,九龍,四小龍,碧海藍天,2座,深盛路8號,12樓,B室,8630000.0,667.0,12939.0,494,17470,2021-03-18,2.0
52,九龍,四小龍,昇悅居,2座,荔枝角道833號,中層,E室,8700000.0,643.0,13530.0,489,17791,2021-03-17,2.0
53,九龍,四小龍,昇悅居,3座,荔枝角道833號,55樓,E室,8830000.0,605.0,14595.0,460,19196,2021-03-17,2.0
54,九龍,四小龍,2期,7座,荔枝角道863號,17樓,C室,12880000.0,978.0,13170.0,735,17524,2021-03-17,3.0
55,九龍,四小龍,昇悅居,3座,荔枝角道833號,22樓,G室,10880000.0,802.0,13566.0,603,18043,2021-03-17,3.0
56,九龍,四小龍,昇悅居,7座,荔枝角道833號,42樓,H室,8820000.0,643.0,13717.0,491,17963,2021-03-17,2.0
57,九龍,四小龍,昇悅居,3座,荔枝角道833號,16樓,E室,8400000.0,605.0,13884.0,459,18301,2021-03-17,2.0
58,九龍,四小龍,1期,2座,荔枝角道863號,29樓,C室,8500000.0,647.0,13138.0,490,17347,2021-03-16,2.0
59,九龍,四小龍,1期,5座,深盛路9號,49樓,A室,8400000.0,631.0,13312.0,464,18103,2021-03-16,2.0
60,九龍,四小龍,1期,5座,深盛路9號,15樓,E室,8500000.0,658.0,12918.0,462,18398,2021-03-15,2.0
61,九龍,四小龍,1期,2座,荔枝角道863號,中層,C室,8500000.0,647.0,13138.0,490,17347,2021-03-12,2.0
62,九龍,四小龍,3期,5座,荔枝角道863號,10樓,C室,11330000.0,910.0,12451.0,660,17167,2021-03-11,3.0
63,九龍,四小龍,1期,3座,荔枝角道863號,41樓,H室,8880000.0,695.0,12777.0,506,17549,2021-03-11,2.0
64,九龍,四小龍,昇悅居,3座,荔枝角道833號,52樓,F室,9501000.0,689.0,13790.0,522,18201,2021-03-11,2.0
65,九龍,四小龍,2期,6座 (海翡翠),深盛路9號,低層,A室,10000000.0,759.0,13175.0,554,18051,2021-03-10,3.0
66,九龍,四小龍,昇悅居,7座,荔枝角道833號,30樓,F室,9000000.0,684.0,13158.0,517,17408,2021-03-10,2.0
67,九龍,四小龍,1期,1座,荔枝角道863號,40樓,H室,9000000.0,695.0,12950.0,507,17751,2021-03-10,2.0
68,九龍,四小龍,昇悅居,5座,荔枝角道833號,17樓,E室,12130000.0,920.0,13185.0,698,17378,2021-03-09,3.0
69,九龍,四小龍,昇悅居,3座,荔枝角道833號,35樓,H室,9400000.0,658.0,14286.0,512,18359,2021-03-08,2.0
70,九龍,四小龍,3期,5座,荔枝角道863號,22樓,B室,9700000.0,840.0,11548.0,611,15876,2021-03-08,3.0
71,九龍,四小龍,昇悅居,3座,荔枝角道833號,高層,F室,9501000.0,689.0,13790.0,522,18201,2021-03-06,2.0
72,九龍,四小龍,碧海藍天,5座,深盛路8號,17樓,C室,8600000.0,664.0,12952.0,494,17409,2021-03-05,2.0
73,九龍,四小龍,碧海藍天,5座,深盛路8號,32樓,E室,9480000.0,679.0,13962.0,505,18772,2021-03-05,2.0
74,九龍,四小龍,2期,7座,深盛路9號,低層,D室,8065000.0,649.0,12427.0,463,17419,2021-03-04,2.0
75,九龍,四小龍,1期,2座,深盛路9號,58樓,B室,8520000.0,631.0,13502.0,464,18362,2021-03-04,2.0
76,九龍,四小龍,昇悅居,6座,荔枝角道833號,35樓,C室,10700000.0,801.0,13358.0,602,17774,2021-03-04,3.0
77,九龍,四小龍,1期,5座,深盛路9號,高層,A室,8400000.0,631.0,13312.0,464,18103,2021-03-03,2.0
78,九龍,四小龍,2期,7座,荔枝角道863號,低層,C室,12880000.0,978.0,13170.0,735,17524,2021-03-03,3.0
79,九龍,四小龍,2期,6座 (海翡翠),深盛路9號,65樓,A室,11880000.0,759.0,15652.0,0,0,2021-03-03,3.0
80,九龍,四小龍,1期,2座,荔枝角道863號,中層,C室,8500000.0,647.0,13138.0,490,17347,2021-03-02,2.0
81,九龍,四小龍,昇悅居,5座,荔枝角道833號,低層,E室,12130000.0,920.0,13185.0,698,17378,2021-03-01,3.0
82,九龍,四小龍,3期,5座,荔枝角道863號,11樓,F室,10500000.0,906.0,11589.0,658,15957,2021-03-01,3.0
83,九龍,四小龍,2期,6座 (海翡翠),深盛路9號,61樓,D室,8000000.0,628.0,12739.0,449,17817,2021-03-01,2.0
84,九龍,四小龍,2期,6座 (海翡翠),深盛路9號,10樓,B室,9480000.0,759.0,12490.0,554,17112,2021-03-01,3.0
85,九龍,四小龍,1期,1座,荔枝角道863號,11樓,F室,8000000.0,663.0,12066.0,455,17582,2021-03-01,2.0
86,九龍,四小龍,昇悅居,6座,荔枝角道833號,中層,C室,10700000.0,801.0,13358.0,602,17774,2021-02-26,3.0
87,九龍,四小龍,昇悅居,3座,荔枝角道833號,低層,E室,8400000.0,605.0,13884.0,459,18301,2021-02-26,2.0
88,九龍,四小龍,昇悅居,7座,荔枝角道833號,高層,H室,8820000.0,643.0,13717.0,491,17963,2021-02-26,2.0
89,九龍,四小龍,碧海藍天,5座,深盛路8號,中層,E室,9480000.0,679.0,13962.0,505,18772,2021-02-26,2.0
90,九龍,四小龍,昇悅居,5座,荔枝角道833號,31樓,F室,8800000.0,668.0,13174.0,508,17323,2021-02-26,2.0
91,九龍,四小龍,1期,5座,深盛路9號,56樓,D室,8580000.0,635.0,13512.0,454,18899,2021-02-26,2.0
92,九龍,四小龍,1期,2座,深盛路9號,19樓,C室,8330000.0,679.0,12268.0,484,17211,2021-02-25,2.0
93,九龍,四小龍,1期,2座,深盛路9號,19樓,D室,8041000.0,653.0,12314.0,464,17330,2021-02-25,2.0
94,九龍,四小龍,碧海藍天,6座,深盛路8號,7樓,F室,8420000.0,664.0,12681.0,494,17045,2021-02-24,2.0
95,九龍,四小龍,碧海藍天,6座,深盛路8號,27樓,G室,8630000.0,667.0,12939.0,497,17364,2021-02-24,2.0
96,九龍,四小龍,昇悅居,6座,荔枝角道833號,43樓,C室,10800000.0,801.0,13483.0,602,17940,2021-02-24,3.0
97,九龍,四小龍,昇悅居,1座,荔枝角道833號,11樓,E室,8620000.0,655.0,13160.0,511,16869,2021-02-23,2.0
98,九龍,四小龍,3期,6座,荔枝角道863號,32樓,D室,9000000.0,690.0,13043.0,512,17578,2021-02-23,2.0
99,九龍,四小龍,2期,8座,荔枝角道863號,40樓,H室,8400000.0,683.0,12299.0,512,16406,2021-02-23,2.0
100,九龍,四小龍,昇悅居,5座,荔枝角道833號,36樓,D室,7280000.0,498.0,14618.0,378,19259,2021-02-23,1.0
101,九龍,四小龍,昇悅居,6座,荔枝角道833號,8樓,B室,10000000.0,806.0,12407.0,607,16474,2021-02-22,3.0
102,九龍,四小龍,1期,2座,深盛路9號,高層,B室,8520000.0,631.0,13502.0,464,18362,2021-02-19,2.0
103,九龍,四小龍,碧海藍天,5座,深盛路8號,低層,C室,8600000.0,664.0,12952.0,494,17409,2021-02-19,2.0
104,九龍,四小龍,星匯居,1座,通州街500號,32樓,C室,8180000.0,732.0,11175.0,522,15670,2021-02-19,2.0
105,九龍,四小龍,碧海藍天,5座,深盛路8號,23樓,G室,8860000.0,667.0,13283.0,497,17827,2021-02-18,2.0
106,九龍,四小龍,1期,3座,深盛路9號,8樓,E室,9480000.0,640.0,14813.0,462,20519,2021-02-18,2.0
107,九龍,四小龍,2期,6座 (海翡翠),深盛路9號,低層,B室,9480000.0,759.0,12490.0,554,17112,2021-02-16,3.0
108,九龍,四小龍,星匯居,1座,通州街500號,中層,C室,8180000.0,732.0,11175.0,522,15670,2021-02-12,2.0
109,九龍,四小龍,昇悅居,1座,荔枝角道833號,低層,E室,8620000.0,655.0,13160.0,511,16869,2021-02-11,2.0
110,九龍,四小龍,1期,3座,荔枝角道863號,51樓,B室,12538000.0,945.0,13268.0,676,18547,2021-02-11,3.0
111,九龍,四小龍,2期,7座,荔枝角道863號,43樓,A室,8600000.0,644.0,13354.0,473,18182,2021-02-11,2.0
112,九龍,四小龍,星匯居,1座,通州街500號,12樓,A室,10000000.0,986.0,10142.0,713,14025,2021-02-11,3.0
113,九龍,四小龍,3期,5座,荔枝角道863號,30樓,E室,9150000.0,736.0,12432.0,539,16976,2021-02-10,2.0
114,九龍,四小龍,2期,8座,荔枝角道863號,47樓,E室,8700000.0,630.0,13810.0,468,18590,2021-02-09,2.0
