,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,藍田,康華苑,怡康閣 (B座),連德道2號,中層,3室,5100000.0,574.0,8885.0,423,12057,2021-04-14T00:00:00,
1,九龍,藍田,康雅苑,荔雅閣 (B座),碧雲道189號,低層,6室,5600000.0,438.0,12785.0,438,12785,2021-04-12T00:00:00,
2,九龍,藍田,2期,26座,麗港東街12號,中層,C室,7990000.0,664.0,12033.0,522,15307,2021-04-12T00:00:00,2.0
3,九龍,藍田,2期,24座,麗港東街16號,低層,A室,11280000.0,932.0,12103.0,748,15080,2021-04-12T00:00:00,3.0
4,九龍,藍田,1期,8座,麗港街25號,1樓,D室,8000000.0,857.0,9335.0,687,11645,2021-04-12,3.0
5,九龍,藍田,匯景花園,16座,匯景道8號,26樓,H室,12000000.0,910.0,13187.0,720,16667,2021-04-12,3.0
6,九龍,藍田,匯景花園,3座,匯景道8號,33樓,A室,8450000.0,680.0,12426.0,537,15736,2021-04-12,2.0
7,九龍,藍田,康逸苑,康景閣 (A座),德田街1號,11樓,2室,7190000.0,846.0,8499.0,650,11062,2021-04-12,
8,九龍,藍田,1期,17座,麗港街3號,18樓,B室,7950000.0,639.0,12441.0,517,15377,2021-04-12,2.0
9,九龍,藍田,康田苑,祈康閣 (C座),啟田道31號,二十三樓,7室,6468000.0,488.0,13254.0,420,15400,2021-04-12,
10,九龍,藍田,3期,35座,麗港南街5號,7樓,C室,7398000.0,644.0,11488.0,517,14309,2021-04-12,2.0
11,九龍,油塘,曦臺,2座,崇山街8號,25樓,C室,14991000.0,,,715,20966,2021-04-12,
12,九龍,藍田,4期,18座,麗港街15號,20樓,F室,7200000.0,639.0,11268.0,517,13926,2021-04-12,2.0
13,九龍,藍田,匯景花園,4座,匯景道8號,中層,A室,8150000.0,680.0,11985.0,537,15177,2021-04-09T00:00:00,2.0
14,九龍,藍田,匯景花園,9座,匯景道8號,中層,B室,9600000.0,785.0,12229.0,612,15686,2021-04-09T00:00:00,3.0
15,九龍,藍田,匯景花園,1座,匯景道8號,25樓,B室,8100000.0,680.0,11912.0,537,15084,2021-04-09,2.0
16,九龍,油塘,海傲灣,2座,鯉魚門徑1號,16樓,C室,5850000.0,,,0,0,2021-04-09,1.0
17,九龍,藍田,3期,37座,麗港南街9號,2樓,F室,7280000.0,644.0,11304.0,517,14081,2021-04-09,2.0
18,九龍,藍田,匯景花園,1座,匯景道8號,25樓,D室,8238000.0,680.0,12115.0,537,15341,2021-04-09,2.0
19,九龍,藍田,康雅苑,荔雅閣 (B座),碧雲道189號,三十三樓,5室,6770000.0,737.0,9186.0,538,12584,2021-04-09,
20,九龍,油塘,蔚藍東岸,5座,崇信街18號,23樓,H室,5368100.0,,,237,22650,2021-04-09,
21,九龍,藍田,康逸苑,康裕閣 (C座),德田街1號,12樓,7室,5130000.0,,,506,10138,2021-04-09,
22,九龍,藍田,康逸苑,康景閣 (A座),德田街1號,14樓,4室,5188000.0,,,506,10253,2021-04-09,
23,九龍,藍田,2期,31座,麗港東街2號,5樓,A室,9980000.0,932.0,10708.0,748,13342,2021-04-09,3.0
