,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,美孚,3期,百老匯街41-43號,百老匯街41-43號,高層,43號B室,6850000.0,676.0,10133.0,509,13458,2021-04-14,
1,九龍,美孚,2期,吉利徑9-11號,吉利徑9-11號,高層,9號A室,8136000.0,943.0,8628.0,705,11540,2021-04-14,
2,九龍,荔景,浩景臺,4座,荔崗街11號,中層,E室,6120000.0,617.0,9919.0,487,12567,2021-04-12,2.0
3,九龍,美孚,6期,蘭秀道26-28號,蘭秀道26-28號,中層,28號C室,13680000.0,1233.0,11095.0,908,15066,2021-04-12,
4,九龍,華景,華景山莊,16座,華景山路9號,低層,A室,9070000.0,1000.0,9070.0,706,12847,2021-04-12,3.0
5,九龍,美孚,3期,百老匯街49-51號,百老匯街49-51號,11樓,49號B室,7550000.0,676.0,11169.0,511,14775,2021-04-12,
6,九龍,美孚,6期,蘭秀道30-32號,蘭秀道30-32號,1樓,30號C室,7830000.0,848.0,9233.0,615,12732,2021-04-12,
7,九龍,美孚,4期,百老匯街105-107號,百老匯街105-107號,6樓,105號B室,7900000.0,786.0,10051.0,588,13435,2021-04-12,
8,九龍,美孚,2期,百老匯街48-50號,百老匯街48-50號,3樓,48號A室,13920000.0,1280.0,10875.0,968,14380,2021-04-12,
9,九龍,美孚,1期,百老匯街19-21號,百老匯街19-21號,18樓,21號D室,6380000.0,620.0,10290.0,454,14053,2021-04-12,
10,九龍,荔景,浩景臺,1座,荔崗街11號,低層,E室,7500000.0,813.0,9225.0,655,11450,2021-04-09,3.0
11,九龍,美孚,5期,蘭秀道5-7號,蘭秀道5-7號,中層,7號D室,8880000.0,876.0,10137.0,657,13516,2021-04-09,
12,九龍,荔灣,荔欣苑,荔林閣 (C座),荔景山路278號,27樓,7室,5800000.0,572.0,10140.0,431,13457,2021-04-09,
13,九龍,美孚,2期,吉利徑9-11號,吉利徑9-11號,19樓,9號B室,7650000.0,850.0,9000.0,638,11991,2021-04-09,
14,九龍,美孚,8期,百老匯街114-116號,百老匯街114-116號,20樓,116號C室,7400000.0,893.0,8287.0,614,12052,2021-04-09,2.0
