,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,大角咀,,亮賢居,詩歌舞街83號,中層,B室,9500000.0,783.0,12133.0,555,17117.0,2021-04-12,2.0
1,九龍,大角咀,,亮賢居,詩歌舞街83號,中層,H室,14500000.0,1175.0,12340.0,845,17160.0,2021-04-12,2.0
2,九龍,旺角,,長旺大廈,長旺道17號,十樓,K室,2790000.0,,,238,11723.0,2021-04-12,
3,九龍,太子,萬盛閣,1座,荔枝角道168號,15樓,B室,5080000.0,459.0,11068.0,322,15776.0,2021-04-12,1.0
4,九龍,太子,,寶興大樓,界限街10L-12號,十一樓,F室,4670000.0,,,420,11119.0,2021-04-12,
5,九龍,大角咀,2期,富麗樓 (1座),櫸樹街66號,十三樓,E室,4280000.0,342.0,12515.0,271,15793.0,2021-04-12,
6,九龍,旺角,,朗廷軒,煙廠街33-37號,18樓,A室,5600000.0,498.0,11245.0,307,18241.0,2021-04-12,2.0
7,九龍,大角咀,,櫻桃大廈,橡樹街39A號,二樓,Q室(25A號),3080000.0,,,292,10548.0,2021-04-12,
8,九龍,油麻地,,昌發大廈,德昌里2號,25樓,B室,4930000.0,505.0,9762.0,324,15216.0,2021-04-12,
9,九龍,大角咀,利奧坊‧曦岸,2座,福澤街38號,16樓,F室,6367560.0,,,257,24776.0,2021-04-12,
10,九龍,旺角,順景大廈,A座,渡船街325-334號,九樓,A1室,3950000.0,,,259,15251.0,2021-04-12,
11,九龍,旺角,,甘芳大廈,甘芳街10-20號,23樓,D室,4800000.0,425.0,11294.0,321,14953.0,2021-04-12,
12,九龍,大角咀,,長輝大廈,塘尾道22號,九樓,D室,2945000.0,,,211,13957.0,2021-04-12,
13,九龍,大角咀,福群樓,C座,角祥街2K號,六樓,C13室,4318000.0,,,360,11994.0,2021-04-12,
14,九龍,大角咀,利奧坊‧曦岸,2座,福澤街38號,6樓,D室,6019890.0,,,257,23424.0,2021-04-12,
15,九龍,油麻地,,祥興大廈,碧街44-48號,8樓,1室,5800000.0,,,550,10545.0,2021-04-12,
16,九龍,大角咀,2期,9座,福利街8號,41樓,C室,9850000.0,705.0,13972.0,512,19238.0,2021-04-09,3.0
17,九龍,油麻地,,寶寧大廈,彌敦道525-543號,15樓,19室,4380000.0,,,0,0.0,2021-04-09,
18,九龍,大角咀,1期,富鑾樓 (B座),櫸樹街8號,十一樓,D室,5100000.0,426.0,11972.0,352,14489.0,2021-04-09,
19,九龍,大角咀,,亮賢居,詩歌舞街83號,35樓,C室,9188000.0,783.0,11734.0,555,16555.0,2021-04-09,2.0
20,九龍,旺角,麥花臣匯,1A座,奶路臣街38號,12樓,A室,12380000.0,,,688,17994.0,2021-04-09,2.0
21,九龍,大角咀,2期,8座,福利街8號,中層,F室,7520000.0,601.0,12512.0,420,17905.0,2021-04-08,2.0
22,九龍,大角咀,1期,3座,福利街8號,中層,E室,6920000.0,504.0,13730.0,340,20353.0,2021-04-08,2.0
23,九龍,大角咀,富榮花園,10座,海庭道8號,高層,D室,7480000.0,694.0,10778.0,592,12635.0,2021-04-08,2.0
24,九龍,大角咀,奧柏‧御峰,2座,櫸樹街88號,中層,G室,4980000.0,342.0,14561.0,274,18175.0,2021-04-08,
25,九龍,旺角,,遠東銀行旺角大廈,奶路臣街11號,二十二樓,D室,4150000.0,,,405,10247.0,2021-04-08,
