,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,南昌站,2A期,1B座,深旺道28號,中層,C室,8520000.0,,,360,23667,2021-04-12,1.0
1,九龍,南昌站,2A期,1B座,深旺道28號,39樓,D室,6650000.0,,,270,24630,2021-04-12,
2,九龍,南昌站,1期,3B座,荔盈街6號,19樓,F室,7776800.0,,,320,24303,2021-04-12,
3,九龍,南昌站,1期,3A座,荔盈街6號,20樓,C室,13188000.0,,,493,26751,2021-04-12,
4,九龍,南昌站,1期,3A座,荔盈街6號,17樓,D室,13982900.0,,,532,26284,2021-04-12,
5,九龍,南昌站,1期,5座,荔盈街6號,9樓,C室,11528000.0,,,448,25732,2021-04-12,
6,九龍,南昌站,1期,3A座,荔盈街6號,22樓,A室,23848400.0,,,835,28561,2021-04-12,
7,九龍,南昌站,1期,3B座,荔盈街6號,7樓,C室,8006800.0,,,320,25021,2021-04-12,
8,九龍,南昌站,1期,3B座,荔盈街6號,18樓,E室,7844000.0,,,319,24589,2021-04-12,
9,九龍,南昌站,1期,3A座,荔盈街6號,25樓,A室,24135600.0,,,835,28905,2021-04-12,
10,九龍,南昌站,1期,3B座,荔盈街6號,5樓,C室,7950000.0,,,320,24844,2021-04-12,
11,九龍,南昌站,1期,3B座,荔盈街6號,3樓,E室,7636900.0,,,319,23940,2021-04-12,
12,九龍,南昌站,1期,3B座,荔盈街6號,5樓,F室,7239200.0,,,320,22623,2021-04-12,
13,九龍,南昌站,1期,3B座,荔盈街6號,5樓,A室,13188000.0,,,597,22090,2021-04-12,
14,九龍,南昌站,1期,5座,荔盈街6號,23樓,B室,11999200.0,,,448,26784,2021-04-12,
15,九龍,南昌站,1期,3B座,荔盈街6號,20樓,C室,8192000.0,,,320,25600,2021-04-12,
16,九龍,南昌站,1期,3B座,荔盈街6號,25樓,F室,8406700.0,,,320,26271,2021-04-12,
17,九龍,南昌站,1期,3A座,荔盈街6號,16樓,D室,13318400.0,,,532,25035,2021-04-12,
18,九龍,南昌站,1期,3B座,荔盈街6號,12樓,G室,7801400.0,,,319,24456,2021-04-12,
19,九龍,南昌站,5期 匯璽III,6座,深旺道28號,40樓,B室,31204800.0,,,1047,29804,2021-04-12,
20,九龍,南昌站,1期,5座,荔盈街6號,26樓,C室,12535800.0,,,448,27982,2021-04-12,
21,九龍,南昌站,1期,3B座,荔盈街6號,25樓,C室,8800900.0,,,320,27503,2021-04-12,
22,九龍,南昌站,1期,3B座,荔盈街6號,27樓,E室,8365900.0,,,319,26225,2021-04-12,
23,九龍,南昌站,1期,3B座,荔盈街6號,28樓,A室,15128800.0,,,597,25341,2021-04-12,
24,九龍,南昌站,1期,3B座,荔盈街6號,11樓,A室,13668800.0,,,597,22896,2021-04-12,
25,九龍,南昌站,1期,3B座,荔盈街6號,21樓,C室,8645500.0,,,320,27017,2021-04-12,
26,九龍,南昌站,1期,3A座,荔盈街6號,12樓,C室,13042100.0,,,493,26455,2021-04-12,
27,九龍,南昌站,1期,3B座,荔盈街6號,7樓,B室,8187100.0,,,308,26581,2021-04-12,
28,九龍,南昌站,1期,3B座,荔盈街6號,23樓,E室,8385900.0,,,319,26288,2021-04-12,
29,九龍,南昌站,1期,3A座,荔盈街6號,28樓,C室,13999200.0,,,493,28396,2021-04-12,
30,九龍,南昌站,1期,3B座,荔盈街6號,19樓,E室,8187100.0,,,319,25665,2021-04-12,
31,九龍,南昌站,1期,5座,荔盈街6號,17樓,A室,13855100.0,,,522,26542,2021-04-12,
32,九龍,南昌站,1期,2座,荔盈街6號,17樓,A室,22182400.0,,,794,27938,2021-04-12,
33,九龍,南昌站,2A期,1A座,深旺道28號,低層,A室,35000000.0,,,1503,23287,2021-04-09,4.0
34,九龍,南昌站,1期,2座,荔盈街6號,17樓,C室,22405500.0,,,784,28578,2021-04-09,
35,九龍,南昌站,1期,2座,荔盈街6號,19樓,C室,22673500.0,,,784,28920,2021-04-09,
36,九龍,南昌站,1期,5座,荔盈街6號,3樓,B室,11258300.0,,,448,25130,2021-04-09,
37,九龍,南昌站,1期,3B座,荔盈街6號,22樓,F室,8306500.0,,,320,25958,2021-04-09,
38,九龍,南昌站,1期,3A座,荔盈街6號,16樓,C室,12876800.0,,,493,26119,2021-04-09,
39,九龍,南昌站,1期,5座,荔盈街6號,19樓,B室,11948200.0,,,448,26670,2021-04-09,
40,九龍,南昌站,1期,3B座,荔盈街6號,15樓,G室,7518400.0,,,319,23569,2021-04-09,
41,九龍,南昌站,1期,5座,荔盈街6號,27樓,C室,12433600.0,,,448,27754,2021-04-09,
42,九龍,南昌站,1期,3A座,荔盈街6號,7樓,C室,12889000.0,,,493,26144,2021-04-09,
43,九龍,南昌站,1期,5座,荔盈街6號,9樓,B室,11598900.0,,,448,25890,2021-04-09,
44,九龍,南昌站,1期,3B座,荔盈街6號,8樓,B室,8286500.0,,,308,26904,2021-04-09,
