,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,奧運站,凱帆軒,2座,海帆道11號,高層,D室,8480000.0,617.0,13744.0,455,18637,2021-04-14,2.0
1,九龍,奧運站,2期 帝柏海灣,5座,海庭道18號,低層,F室,10600000.0,645.0,16434.0,469,22601,2021-04-14,2.0
2,九龍,奧運站,一號銀海,3座,海輝道18號,高層,A室,30300000.0,1295.0,23398.0,1019,29735,2021-04-12,3.0
3,九龍,奧運站,2期 帝柏海灣,5座,海庭道18號,低層,B室,14380000.0,906.0,15872.0,668,21527,2021-04-12,3.0
4,九龍,奧運站,2期 帝柏海灣,1座,海庭道18號,中層,F室,24500000.0,1336.0,18338.0,1006,24354,2021-04-12,3.0
5,九龍,奧運站,君匯港,6座,深旺道8號,41樓,B室,10000000.0,617.0,16207.0,474,21097,2021-04-12,2.0
6,九龍,奧運站,凱帆軒,2座,海帆道11號,10樓,F室,7900000.0,608.0,12993.0,426,18545,2021-04-12,2.0
7,九龍,奧運站,凱帆軒,2座,海帆道11號,高層,F室,8900000.0,608.0,14638.0,429,20746,2021-04-09,2.0
8,九龍,奧運站,維港灣,5座,海輝道11號,高層,A室,14800000.0,932.0,15880.0,713,20757,2021-04-09,3.0
9,九龍,奧運站,君匯港,5座,深旺道8號,16樓,G室,9500000.0,617.0,15397.0,474,20042,8/4/2021,2.0
10,九龍,奧運站,凱帆軒,3座,海帆道11號,48樓,C室,9200000.0,641.0,14353.0,449,20490,8/4/2021,2.0
11,九龍,奧運站,君匯港,名匯 (3座),深旺道8號,30樓,C室,11380000.0,702.0,16211.0,541,21035,8/4/2021,3.0
12,九龍,奧運站,瓏璽,6B座,海輝道10號,16樓,B室,16000000.0,857.0,18670.0,667,23988,8/4/2021,2.0
13,九龍,奧運站,1期,6座,海庭道18號,18樓,D室,16000000.0,1011.0,15826.0,756,21164,8/4/2021,3.0
14,九龍,奧運站,維港灣,10座,海輝道11號,低層,H室,9680000.0,645.0,15008.0,467,20728,2021-04-07,2.0
15,九龍,奧運站,浪澄灣,8座,海輝道8號,中層,A室,11600000.0,744.0,15591.0,550,21091,2021-04-07,2.0
16,九龍,奧運站,凱帆軒,2座,海帆道11號,高層,B室,9720000.0,626.0,15527.0,466,20858,2021-04-07,2.0
17,九龍,奧運站,帝峰‧皇殿,6座,海泓道1號,30樓,D室,7800000.0,415.0,18795.0,333,23423,7/4/2021,
18,九龍,奧運站,2期 帝柏海灣,3座,海庭道18號,12樓,F室,10500000.0,645.0,16279.0,469,22388,7/4/2021,2.0
19,九龍,奧運站,維港灣,10座,海輝道11號,8樓,E室,9290000.0,642.0,14470.0,457,20328,7/4/2021,2.0
20,九龍,奧運站,1期,6座,海庭道18號,中層,G室,10300000.0,645.0,15969.0,466,22103,2021-04-01,2.0
21,九龍,奧運站,維港灣,7座,海輝道11號,8樓,F室,18420000.0,1215.0,15160.0,904,20376,1/4/2021,3.0
22,九龍,奧運站,君匯港,6座,深旺道8號,8樓,D室,9800000.0,621.0,15781.0,477,20545,1/4/2021,2.0
23,九龍,奧運站,君匯港,名匯 (3座),深旺道8號,25樓,G室,9640000.0,617.0,15624.0,474,20338,1/4/2021,2.0
24,九龍,奧運站,維港灣,2座,海輝道11號,19樓,A室,12980000.0,866.0,14988.0,647,20062,1/4/2021,3.0
25,九龍,奧運站,海桃灣,3座,櫻桃街38號,41樓,D室,9950000.0,599.0,16611.0,447,22260,31/3/2021,2.0
26,九龍,奧運站,1期,10座,海庭道18號,20樓,F室,10000000.0,645.0,15504.0,466,21459,31/3/2021,2.0
27,九龍,奧運站,維港灣,10座,海輝道11號,33樓,G室,10000000.0,609.0,16420.0,457,21882,31/3/2021,2.0
28,九龍,奧運站,維港灣,1座,海輝道11號,中層,B室,13500000.0,872.0,15482.0,647,20866,2021-03-30,3.0
29,九龍,奧運站,浪澄灣,8座,海輝道8號,12樓,C室,10450000.0,747.0,13989.0,549,19035,30/3/2021,2.0
30,九龍,奧運站,帝峰‧皇殿,8座,海泓道1號,63樓,B室,30300000.0,1326.0,22851.0,1015,29852,30/3/2021,3.0
31,九龍,奧運站,君匯港,6座,深旺道8號,13樓,E室,9880000.0,621.0,15910.0,478,20669,30/3/2021,2.0
32,九龍,奧運站,浪澄灣,3座,海輝道8號,50樓,D室,11280000.0,741.0,15223.0,549,20546,30/3/2021,2.0
33,九龍,奧運站,凱帆軒,3座,海帆道11號,高層,C室,9200000.0,641.0,14353.0,449,20490,2021-03-29,2.0
34,九龍,奧運站,維港灣,6座,海輝道11號,高層,F室,9960000.0,609.0,16355.0,459,21699,2021-03-29,2.0
35,九龍,奧運站,維港灣,6座,海輝道11號,9樓,D室,13500000.0,929.0,14532.0,695,19424,29/3/2021,3.0
36,九龍,奧運站,凱帆軒,3座,海帆道11號,56樓,C室,9180000.0,641.0,14321.0,449,20445,29/3/2021,2.0
37,九龍,奧運站,維港灣,6座,海輝道11號,6樓,B室,16000000.0,1052.0,15209.0,786,20356,29/3/2021,3.0
38,九龍,奧運站,維港灣,5座,海輝道11號,低層,D室,13500000.0,928.0,14547.0,692,19509,2021-03-26,3.0
39,九龍,奧運站,維港灣,2座,海輝道11號,中層,A室,12980000.0,866.0,14988.0,647,20062,2021-03-26,3.0
40,九龍,奧運站,浪澄灣,5座,海輝道8號,低層,C室,10000000.0,752.0,13298.0,564,17730,2021-03-26,2.0
41,九龍,奧運站,帝峰‧皇殿,1座,海泓道1號,中層,A室,40000000.0,1882.0,21254.0,1424,28090,2021-03-26,4.0
42,九龍,奧運站,1期,8座,海庭道18號,低層,E室,9480000.0,618.0,15340.0,449,21114,2021-03-26,2.0
43,九龍,奧運站,2期 帝柏海灣,1座,海庭道18號,中層,F室,22900000.0,1336.0,17141.0,1006,22763,2021-03-26,3.0
44,九龍,奧運站,君匯港,名匯 (3座),深旺道8號,39樓,A室,9680000.0,625.0,15488.0,482,20083,26/3/2021,2.0
45,九龍,奧運站,浪澄灣,2座,海輝道8號,33樓,B室,11150000.0,742.0,15027.0,558,19982,26/3/2021,2.0
46,九龍,奧運站,君匯港,6座,深旺道8號,23樓,E室,9850000.0,621.0,15862.0,478,20607,26/3/2021,2.0
47,九龍,奧運站,君匯港,名匯 (3座),深旺道8號,30樓,H室,9830000.0,625.0,15728.0,482,20394,25/3/2021,2.0
48,九龍,奧運站,君匯港,6座,深旺道8號,高層,B室,10000000.0,617.0,16207.0,474,21097,2021-03-24,2.0
49,九龍,奧運站,1期,10座,海庭道18號,11樓,C室,18900000.0,1127.0,16770.0,848,22288,24/3/2021,3.0
50,九龍,奧運站,維港灣,6座,海輝道11號,17樓,A室,14150000.0,929.0,15231.0,695,20360,24/3/2021,3.0
51,九龍,奧運站,2期 帝柏海灣,3座,海庭道18號,37樓,G室,10600000.0,645.0,16434.0,473,22410,24/3/2021,2.0
52,九龍,奧運站,海桃灣,3座,櫻桃街38號,高層,D室,9950000.0,599.0,16611.0,447,22260,2021-03-23,2.0
53,九龍,奧運站,帝峰‧皇殿,8座,海泓道1號,25樓,B室,26600000.0,1328.0,20030.0,1014,26233,23/3/2021,3.0
54,九龍,奧運站,維港灣,9座,海輝道11號,高層,G室,10000000.0,609.0,16420.0,459,21786,2021-03-22,2.0
55,九龍,奧運站,維港灣,6座,海輝道11號,低層,B室,16000000.0,1052.0,15209.0,786,20356,2021-03-22,3.0
56,九龍,奧運站,1期,6座,海庭道18號,中層,F室,10380000.0,645.0,16093.0,466,22275,2021-03-22,2.0
57,九龍,奧運站,維港灣,10座,海輝道11號,高層,G室,10000000.0,609.0,16420.0,457,21882,2021-03-22,2.0
58,九龍,奧運站,浪澄灣,8座,海輝道8號,20樓,E室,9990000.0,728.0,13723.0,547,18263,22/3/2021,2.0
59,九龍,奧運站,一號銀海,5座,海輝道18號,9樓,A室,26000000.0,1230.0,21138.0,963,26999,22/3/2021,3.0
60,九龍,奧運站,浪澄灣,9座,海輝道8號,11樓,A室,18800000.0,1117.0,16831.0,816,23039,22/3/2021,3.0
61,九龍,奧運站,君匯港,5座,深旺道8號,39樓,E室,10200000.0,621.0,16425.0,478,21339,22/3/2021,2.0
62,九龍,奧運站,維港灣,6座,海輝道11號,29樓,B室,17200000.0,1052.0,16350.0,788,21827,22/3/2021,3.0
