,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,土瓜灣,翔龍灣,3座,新碼頭街38號,中層,A室,6880000.0,501.0,13733.0,361,19058,2021-04-12,2.0
1,九龍,土瓜灣,偉景閣,G座,偉景街8號,10樓,6室,5550000.0,444.0,12500.0,372,14919,2021-04-12,2.0
2,九龍,土瓜灣,偉景閣,C座,偉景街4號,4樓,4室,5200000.0,394.0,13198.0,335,15522,2021-04-12,2.0
3,九龍,土瓜灣,,華發大廈,馬坑涌道6號,2樓,D室,4000000.0,,,350,11429,2021-04-12,
4,九龍,土瓜灣,嘉景花園,C座,炮仗街71號,十一樓,C室,5800000.0,468.0,12393.0,354,16384,2021-04-12,
5,九龍,土瓜灣,偉景閣,H座,朗月街7號,12樓,3室,6280000.0,490.0,12816.0,0,0,2021-04-12,2.0
6,九龍,土瓜灣,昌景閣,H座,美景街103號,十樓,5室,5900000.0,507.0,11637.0,0,0,2021-04-12,
7,九龍,土瓜灣,,鴻英大廈,九龍城道34-40號,五樓,1室,3380000.0,,,320,10563,2021-04-12,
8,九龍,土瓜灣,欣榮花園,4座,炮仗街99號,10樓,B室,11200000.0,944.0,11864.0,773,14489,2021-04-12,3.0
9,九龍,馬頭圍,帝庭豪園,2座,農圃道11號,22樓,B室,13000000.0,970.0,13402.0,773,16818,2021-04-12,3.0
10,九龍,馬頭圍,帝庭豪園,2座,農圃道11號,18樓,G室,14380000.0,1025.0,14029.0,813,17688,2021-04-12,3.0
11,九龍,土瓜灣,,環海．東岸,崇安街23號,31樓,B 室(T1c),4900000.0,,,229,21397,2021-04-12,
12,九龍,土瓜灣,翔龍灣,1座,新碼頭街38號,20樓,C室,8300000.0,585.0,14188.0,427,19438,2021-04-12,2.0
13,九龍,土瓜灣,,環海．東岸,崇安街23號,中層,F 室(T1b),7030000.0,,,351,20028,2021-04-09,1.0
14,九龍,土瓜灣,,迎豐,馬頭角道50號,31樓,E室,4550000.0,,,196,23214,2021-04-09,
15,九龍,土瓜灣,定安大廈,H座,長寧街38號,九樓,H5室,3938000.0,,,311,12662,2021-04-09,
16,九龍,土瓜灣,傲雲峰,7座,宋皇臺道38號,50樓,B室,13000000.0,885.0,14689.0,664,19578,2021-04-09,3.0
17,九龍,土瓜灣,傲雲峰,3座,宋皇臺道38號,55樓,B室,9800000.0,689.0,14224.0,520,18846,2021-04-09,2.0
18,九龍,土瓜灣,,迎豐,馬頭角道50號,低層,M室,3980000.0,,,169,23550,2021-04-08,0.0
19,九龍,土瓜灣,昌景閣,H座,美景街103號,六樓,6室,6000000.0,507.0,11834.0,426,14085,2021-04-08,
20,九龍,土瓜灣,,麗明閣,長寧街21號,5樓,C室,4100000.0,,,313,13099,2021-04-08,
21,九龍,土瓜灣,,嘉運閣,譚公道104號,2樓,B室,5300000.0,583.0,9091.0,422,12559,2021-04-08,
22,九龍,馬頭圍,福安大廈,A座,馬頭涌道90-98號,八樓,A6室,4880000.0,,,378,12910,2021-04-08,
23,九龍,馬頭圍,帝庭豪園,1座,農圃道11號,10樓,G室,13880000.0,1025.0,13541.0,813,17073,2021-04-08,3.0
24,九龍,土瓜灣,定安大廈,C座,土瓜灣道78T號,十樓,C1室,5580000.0,555.0,10054.0,461,12104,2021-04-08,
25,九龍,土瓜灣,翔龍灣,1座,新碼頭街38號,46樓,E室,10000000.0,757.0,13210.0,552,18116,2021-04-08,3.0
26,九龍,土瓜灣,,港圖灣,旭日街9號,15樓,C室,14300000.0,,,890,16067,2021-04-08,3.0
27,九龍,土瓜灣,傲雲峰,1座,宋皇臺道38號,中層,C室,9880000.0,717.0,13780.0,539,18330,2021-04-07,2.0
28,九龍,土瓜灣,傲雲峰,3座,宋皇臺道38號,高層,B室,9830000.0,689.0,14267.0,520,18904,2021-04-07,2.0
29,九龍,土瓜灣,,環海．東岸,崇安街23號,31樓,H 室(T1a),6800000.0,,,322,21118,2021-04-07,1.0
30,九龍,土瓜灣,1期,1座,美景街2號,四樓,20室,3000000.0,,,357,8403,2021-04-07,
31,九龍,土瓜灣,,明月大廈,炮仗街47號,六樓,E室,3500000.0,,,315,11111,2021-04-07,
32,九龍,馬頭圍,,晨樂大廈,靠背壟道141-143號,中層,H室,4750000.0,383.0,12402.0,305,15574,2021-04-01,
33,九龍,土瓜灣,翔龍灣,1座,新碼頭街38號,中層,A室,7000000.0,501.0,13972.0,361,19391,2021-04-01,2.0
34,九龍,土瓜灣,傲雲峰,1座,宋皇臺道38號,55樓,B室,9750000.0,689.0,14151.0,520,18750,2021-04-01,2.0
35,九龍,土瓜灣,,明倫街16號,明倫街16號,七樓,16號,4500000.0,,,497,9054,2021-04-01,
36,九龍,土瓜灣,,駿發街4號,駿發街4號,五樓,4號,4350000.0,,,530,8208,2021-04-01,
37,九龍,土瓜灣,,鶴齡街2-4號,鶴齡街2-4號,3樓,112號,5680000.0,,,596,9530,2021-04-01,
38,九龍,土瓜灣,翔龍灣,2座,新碼頭街38號,37樓,F室,7850000.0,585.0,13419.0,427,18384,2021-04-01,2.0
39,九龍,土瓜灣,傲雲峰,2座,宋皇臺道38號,9樓,E室,8000000.0,617.0,12966.0,454,17621,2021-04-01,2.0
40,九龍,土瓜灣,新城中心,2座,炮仗街96-110號,12樓,C室,4900000.0,386.0,12694.0,287,17073,2021-04-01,
41,九龍,土瓜灣,,麟祥街8號,麟祥街8號,七樓,8號,4280000.0,,,530,8075,2021-04-01,
42,九龍,土瓜灣,,明倫街2號,明倫街2號,三樓,2號,6250000.0,,,659,9484,2021-04-01,
43,九龍,土瓜灣,,喜點,北帝街123號,27樓,G室,5180000.0,,,259,20000,2021-04-01,
44,九龍,馬頭圍,,翰畋,美善同道80號,中層,C室,6330000.0,,,268,23619,2021-03-31,1.0
45,九龍,土瓜灣,,迎豐,馬頭角道50號,5樓,G室,5050000.0,,,266,18985,2021-03-31,1.0
46,九龍,土瓜灣,,環海．東岸,崇安街23號,9樓,H 室(T1a),6170000.0,,,322,19161,2021-03-31,1.0
47,九龍,土瓜灣,偉景閣,C座,偉景街4號,2樓,4室,5100000.0,394.0,12944.0,335,15224,2021-03-31,2.0
48,九龍,土瓜灣,,環海．東岸,崇安街23號,33樓,B 室(T1c),5000000.0,,,229,21834,2021-03-31,
49,九龍,馬頭圍,,中南大廈,馬頭涌道68-88號,四樓,N室 (72A號),3300000.0,,,329,10030,2021-03-31,
50,九龍,土瓜灣,傲雲峰,2座,宋皇臺道38號,56樓,D室,7800000.0,605.0,12893.0,452,17257,2021-03-31,2.0
51,九龍,土瓜灣,傲雲峰,5座,宋皇臺道38號,低層,B室,8900000.0,687.0,12955.0,521,17083,2021-03-30,2.0
52,九龍,土瓜灣,,傲形,馬頭圍道200號,低層,E室,5000000.0,,,282,17730,2021-03-30,1.0
53,九龍,土瓜灣,翔龍灣,6座,新碼頭街38號,7樓,F室,9800000.0,758.0,12929.0,550,17818,2021-03-30,3.0
54,九龍,土瓜灣,傲雲峰,7座,宋皇臺道38號,39樓,G室,9500000.0,682.0,13930.0,519,18304,2021-03-30,2.0
55,九龍,馬頭圍,,晨樂大廈,靠背壟道141-143號,13樓,G室,4750000.0,383.0,12402.0,302,15728,2021-03-30,
56,九龍,土瓜灣,,富民閣,北帝街39號,11樓,A室,4950000.0,502.0,9861.0,326,15184,2021-03-30,
