,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,將軍澳,IIIA,1B座,唐賢街19號,高層,A室,10000000,,,511,19569,2021-04-14T00:00:00,2
1,九龍,將軍澳,海翩匯,7座,唐俊街21號,低層,C室,8880000,,,518,17143,2021-04-13T00:00:00,2
2,九龍,坑口,南豐廣場,2座,培成路8號,中層,F室,8860000,819,10818,607,14596,2021-04-13T00:00:00,
3,九龍,坑口,新寶城,6座,銀澳路1號,高層,H室,9800000,872,11239,636,15409,2021-04-13T00:00:00,3
4,九龍,坑口,東港城,3座,重華路8號,低層,A室,7880000,666,11832,524,15038,2021-04-13T00:00:00,2
5,九龍,坑口,安寧花園,6座,常寧路10號,低層,K室,6500000,691,9407,583,11149,2021-04-13T00:00:00,
6,九龍,調景嶺,3期,15 座,澳景路88號,低層,C室,6450000,546,11813,399,16165,2021-04-12T00:00:00,1
7,九龍,調景嶺,2期 城中駅,10座,彩明街,高層,C室,12200000,974,12526,731,16689,2021-04-12T00:00:00,3
8,九龍,將軍澳,寶明苑,寶松閣 (A座),唐明街8號,高層,11室,3490000,,,212,16462,2021-04-12T00:00:00,1
9,九龍,將軍澳,2期,10座,唐德街9號,中層,E室,7500000,527,14231,384,19531,2021-04-12T00:00:00,2
10,九龍,將軍澳,1期,3A座,唐德街1號,中層,D室,7550000,595,12689,434,17396,2021-04-12T00:00:00,2
11,九龍,將軍澳,1期,8座,唐德街9號,高層,H室,9300000,726,12810,547,17002,2021-04-12T00:00:00,3
12,九龍,將軍澳,富康花園,10座,唐明街1號,中層,F室,4630000,,,484,9566,2021-04-12T00:00:00,2
13,九龍,將軍澳,帝景灣,3座,唐賢街23號,中層,E室,9800000,,,546,17949,2021-04-12T00:00:00,2
14,九龍,將軍澳,彩明苑,彩楊閣 (A座),彩明街11A號,中層,5室,6680000,,,0,0,2021-04-12T00:00:00,3
15,九龍,將軍澳,帝景灣,7座,唐賢街23號,低層,E室,10000000,,,590,16949,2021-04-12T00:00:00,2
16,九龍,將軍澳,寶明苑,寶柏閣 (B座),唐明街8號,低層,16室,3390000,,,213,15915,2021-04-12T00:00:00,
17,九龍,坑口,南豐廣場,3座,培成路8號,高層,E室,7480000,619,12084,457,16368,2021-04-12T00:00:00,
18,九龍,坑口,和明苑,和暉閣 (B座),銀澳路8號,高層,10室,5530000,,,594,9310,2021-04-12T00:00:00,
19,九龍,坑口,南豐廣場,3座,培成路8號,高層,F室,6900000,549,12568,400,17250,2021-04-12T00:00:00,
20,九龍,坑口,蔚藍灣畔,2座,培成路15號,高層,D室,11300000,877,12885,654,17278,2021-04-12T00:00:00,3
21,九龍,寶琳,2期,1座,欣景路8號,中層,H室,6800000,749,9079,538,12639,2021-04-12T00:00:00,3
22,九龍,寶琳,1期,1座,運亨路1號,低層,G室,6550000,510,12843,364,17995,2021-04-12T00:00:00,2
23,九龍,康城,5期A MALIBU,3A座,康城路1號,高層,E室,9900000,,,575,17217,2021-04-12T00:00:00,2
24,九龍,康城,II,3座,石角路6號,中層,F室,7650000,,,525,14571,2021-04-12T00:00:00,2
25,九龍,康城,1期 首都,威尼斯 (5座-右翼),康城路1號,中層,D室,9320000,943,9883,704,13239,2021-04-12T00:00:00,3
26,九龍,調景嶺,1期,1座,澳景路88號,低層,F室,8350000,692,12066,505,16535,2021-04-09T00:00:00,2
27,九龍,調景嶺,2期,8座,澳景路88號,低層,F室,8400000,683,12299,498,16867,2021-04-09T00:00:00,2
28,九龍,調景嶺,1期,6座,澳景路88號,中層,A室,8847600,690,12823,515,17180,2021-04-09T00:00:00,2
29,九龍,將軍澳,藍塘傲,5座,唐賢街29號,中層,J室,9480000,,,575,16487,2021-04-09T00:00:00,2
30,九龍,將軍澳,1期,9座,唐德街9號,中層,E室,7430000,527,14099,384,19349,2021-04-09T00:00:00,2
31,九龍,將軍澳,1期,6座,唐德街9號,高層,A室,8550000,617,13857,465,18387,2021-04-09T00:00:00,2
32,九龍,將軍澳,2期,1座,唐德街9號,中層,H室,8000000,617,12966,465,17204,2021-04-09T00:00:00,2
33,九龍,將軍澳,君傲灣,1座,唐德街,高層,H室,8300000,626,13259,470,17660,2021-04-09T00:00:00,2
34,九龍,將軍澳,1期,1座,唐德街1號,高層,E室,8100000,569,14236,414,19565,2021-04-09T00:00:00,2
35,九龍,將軍澳,藍塘傲,7座,唐賢街29號,中層,K室,7380000,,,417,17698,2021-04-09T00:00:00,1
36,九龍,將軍澳,THE PARKSIDE,3座,唐俊街18號,低層,E室,9380000,,,551,17024,2021-04-09T00:00:00,2
37,九龍,將軍澳,THE PARKSIDE,2座,唐俊街18號,高層,D室,13400000,,,726,18457,2021-04-09T00:00:00,3
38,九龍,將軍澳,廣明苑,廣賢閣 (C座),寶康路108號,中層,16室,5600000,,,646,8669,2021-04-09T00:00:00,
39,九龍,將軍澳,海翩匯,3座,唐俊街21號,低層,C室,8800000,,,518,16988,2021-04-09T00:00:00,2
40,九龍,將軍澳,天晉,8座,唐賢街9號,中層,D室,10500000,692,15173,533,19700,2021-04-09T00:00:00,2
41,九龍,坑口,海悅豪園,2座,培成路18號,中層,F室,7130000,588,12126,427,16698,2021-04-09T00:00:00,2
42,九龍,坑口,蔚藍灣畔,5座,培成路15號,高層,D室,8350000,678,12316,510,16373,2021-04-09T00:00:00,2
43,九龍,坑口,蔚藍灣畔,7座,培成路15號,高層,G室,8500000,652,13037,488,17418,2021-04-09T00:00:00,2
44,九龍,坑口,2期,6座,蓬萊路8號,高層,G室,7350000,632,11630,483,15217,2021-04-09T00:00:00,2
45,九龍,坑口,東港城,5座,重華路8號,中層,E室,8380000,666,12583,524,15992,2021-04-09T00:00:00,2
46,九龍,坑口,2期,5座,蓬萊路8號,高層,C室,7900000,695,11367,526,15019,2021-04-09T00:00:00,2
47,九龍,坑口,東港城,8座,重華路8號,低層,E室,9200000,790,11646,619,14863,2021-04-09T00:00:00,3
48,九龍,寶琳,1期,2座,運亨路1號,高層,F室,6728000,511,13166,364,18484,2021-04-09T00:00:00,2
49,九龍,寶琳,叠翠軒,4座,運亨路8號,中層,G室,8450000,,,660,12803,2021-04-09T00:00:00,
50,九龍,寶琳,旭輝臺,2座,毓雅里1號,高層,C室,7560000,775,9755,601,12579,2021-04-09T00:00:00,3
51,九龍,寶琳,叠翠軒,1座,運亨路8號,中層,E室,7880000,,,591,13333,2021-04-09T00:00:00,
52,九龍,寶琳,1期,3座,運亨路1號,低層,C室,6600000,511,12916,364,18132,2021-04-09T00:00:00,2
53,九龍,康城,1期,6座,石角路8號,高層,B室,7700000,658,11702,499,15431,2021-04-09T00:00:00,2
54,九龍,康城,5期A MALIBU,2A座,康城路1號,中層,B室,11780000,,,652,18067,2021-04-09T00:00:00,3
55,九龍,康城,5期A MALIBU,3A座,康城路1號,中層,A室,13080000,,,754,17347,2021-04-09T00:00:00,3
56,九龍,康城,5期A MALIBU,3A座,康城路1號,高層,C室,8700000,,,460,18913,2021-04-09T00:00:00,2
57,九龍,康城,3期A 緻藍天,翠堤 (2座),康城路1號,中層,LC室,9900000,,,750,13200,2021-04-09T00:00:00,3
58,九龍,康城,1期,1座,石角路8號,高層,H室,8880000,916,9694,694,12795,2021-04-09T00:00:00,3
59,九龍,康城,2期B 領峰,8座 (左翼),康城路1號,中層,D室,9030000,887,10180,670,13478,2021-04-09T00:00:00,3
60,九龍,調景嶺,1期,3座,景嶺路8號,中層,A室,8515000,658,12941,492,17307,2021-04-08T00:00:00,2
61,九龍,將軍澳,君傲灣,3座,唐德街,中層,A室,10650000,869,12255,651,16359,2021-04-08T00:00:00,3
62,九龍,將軍澳,天晉,6座,唐賢街9號,中層,B室,18150000,1128,16090,873,20790,2021-04-08T00:00:00,3
63,九龍,坑口,1期,2座,蓬萊路8號,高層,C室,10960000,998,10982,769,14252,2021-04-08T00:00:00,3
64,九龍,寶琳,3期 都會豪庭,1座,貿業路8號,高層,D室,7880000,644,12236,470,16766,2021-04-08T00:00:00,2
65,九龍,寶琳,1期,4座,運亨路1號,高層,A室,8268000,698,11845,526,15719,2021-04-08T00:00:00,3
66,九龍,康城,1期,6座,石角路8號,低層,F室,7530000,662,11375,503,14970,2021-04-08T00:00:00,2
67,九龍,康城,5期A MALIBU,2A座,康城路1號,中層,A室,11780000,,,660,17848,2021-04-08T00:00:00,3
68,九龍,康城,5期A MALIBU,3B座,康城路1號,低層,B室,9700000,,,552,17572,2021-04-08T00:00:00,2
69,九龍,康城,2期A 領都,2座 (左翼),康城路1號,高層,B室,10000000,1080,9259,822,12165,2021-04-08T00:00:00,3
70,九龍,康城,1期 首都,奧斯陸 (5座-左翼),康城路1號,低層,B室,11000000,1115,9865,840,13095,2021-04-08T00:00:00,4
71,九龍,調景嶺,1期,1座,景嶺路8號,低層,F室,10800000,938,11514,677,15953,2021-04-07T00:00:00,3
72,九龍,調景嶺,2期,7座,澳景路88號,中層,A室,11200000,879,12742,639,17527,2021-04-07T00:00:00,3
73,九龍,將軍澳,2期,7座,唐德街1號,中層,B室,7600000,603,12604,441,17234,2021-04-07T00:00:00,2
74,九龍,將軍澳,1期,9座,唐德街9號,中層,C室,7450000,546,13645,406,18350,2021-04-07T00:00:00,2
75,九龍,將軍澳,富康花園,2座,唐明街1號,高層,G室,7528000,,,592,12716,2021-04-07T00:00:00,3
