,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,尖沙咀,港景峰,3座,廣東道188號,高層,F室,12400000.0,791.0,15676.0,552,22464,2021-04-12,2.0
1,九龍,尖沙咀,,秀華閣,金巴利道55號,8樓,B室,6630000.0,552.0,12011.0,0,0,2021-04-12,
2,九龍,尖沙咀,,永業大廈,漆咸道南121-123號,九樓,D室,6000000.0,870.0,6897.0,633,9479,2021-04-12,
3,九龍,尖沙咀,,亞士厘道20-20A號,亞士厘道20-20A號,三樓,20號,8150000.0,,,813,10025,2021-04-12,
4,九龍,佐敦,,匯萃,官涌街7號,高層,A室,5100000.0,,,220,23182,2021-04-09,
5,九龍,佐敦,,上海街102號,上海街102號,二樓,102號,9000000.0,,,560,16071,2021-04-09,
6,九龍,佐敦,,上海街102號,上海街102號,三樓,102號,8000000.0,,,560,14286,2021-04-09,
7,九龍,佐敦,,上海街102號,上海街102號,四樓,102號,6000000.0,,,560,10714,2021-04-09,
8,九龍,佐敦,,上海街102號,上海街102號,五樓,102號,6000000.0,,,560,10714,2021-04-09,
9,九龍,佐敦,,上海街102號,上海街102號,六樓,102號,6000000.0,,,560,10714,2021-04-09,
10,九龍,尖沙咀,,豐樂大廈,柯士甸路17號,三樓,F室,5300000.0,527.0,10057.0,502,10558,2021-04-08,
11,九龍,佐敦,,德成軒,德興街18號,10樓,B室,4780000.0,372.0,12849.0,253,18893,2021-04-08,1.0
12,九龍,佐敦,,翠匯軒,廣東道600號,21樓,C室,5180000.0,401.0,12918.0,266,19474,2021-04-08,1.0
13,九龍,尖沙咀,,麗東大廈,麼地道32-48號,4樓,44號(A室),13000000.0,,,1367,9510,2021-04-08,
14,九龍,佐敦,康源閣,B座,德成街1-5號,12樓,B2室,8720000.0,691.0,12619.0,597,14606,2021-04-07,
15,九龍,佐敦,,德昌大廈,炮台街107-117號,7樓,A室,3130000.0,210.0,14905.0,202,15495,2021-04-07,
16,九龍,尖沙咀,,南海大廈,漆咸道南81號,1樓,D室,4200000.0,580.0,7241.0,504,8333,2021-04-07,
17,九龍,佐敦,,金寶樓,白加士街42-50號,8樓,A室,5280000.0,462.0,11429.0,349,15129,2021-04-01,
18,九龍,尖沙咀,華源大廈,B座,彌敦道87號,五樓,B1室,8220000.0,,,735,11184,2021-04-01,
19,九龍,佐敦,,文輝樓,文苑街25-47號,七樓,14室  (36號),5550000.0,,,565,9823,2021-04-01,
20,九龍,尖沙咀,港景峰,1座,廣東道188號,26樓,A室,10780000.0,714.0,15098.0,457,23589,2021-04-01,2.0
21,九龍,佐敦,,吳松街143號,吳松街143號,六樓,143號,3900000.0,,,569,6854,2021-04-01,
22,九龍,佐敦,,上海街133號,上海街133號,五樓,133號(B室),4800000.0,,,513,9357,2021-04-01,
23,九龍,佐敦,,華偉大廈,偉晴街72號,4樓,A室,4350000.0,420.0,10357.0,321,13551,2021-04-01,
24,九龍,佐敦,,百誠大廈,佐敦道31-37號,11樓,C室,5390000.0,,,515,10466,2021-03-31,
25,九龍,尖沙咀,,協和大廈,山林道45-47號,8樓,B室,7600000.0,640.0,11875.0,482,15768,2021-03-31,
26,九龍,尖沙咀,,山林閣,山林道10-12號,11樓,B室,6000000.0,752.0,7979.0,565,10619,2021-03-30,
27,九龍,佐敦,,富麗閣,德興街4-6號,8樓,H室,4000000.0,282.0,14184.0,214,18692,2021-03-30,
28,九龍,尖沙咀,,幸運大廈,柯士甸道65號,五樓,C室,6500000.0,526.0,12357.0,424,15330,2021-03-30,
29,九龍,佐敦,,華豐大廈,佐敦道15號,5樓,D室,4730000.0,,,584,8099,2021-03-30,
30,九龍,佐敦,,康寧大廈,白加士街1-11號,8樓,G室,4500000.0,450.0,10000.0,340,13235,2021-03-30,
31,九龍,佐敦,,鴻運大樓,佐敦道22號,十樓,D室,5638000.0,900.0,6264.0,597,9444,2021-03-29,
32,九龍,尖沙咀,,金柏閣,金巴利道79-81號,6樓,D室,5380000.0,471.0,11423.0,342,15731,2021-03-29,
33,九龍,尖沙咀,,天文閣,金巴利街2A號,17樓,C室,4080000.0,450.0,9067.0,293,13925,2021-03-26,
34,九龍,佐敦,,怡興閣,德興街13號,8樓,A室,6980000.0,463.0,15076.0,624,11185,2021-03-25,
35,九龍,尖沙咀,,天文閣,金巴利街2A號,13樓,B室,4380000.0,,,314,13949,2021-03-24,
36,九龍,佐敦,,寶樂大樓,吳松街156號,5樓,A室,5280000.0,,,492,10732,2021-03-23,
37,九龍,佐敦,,本木,德成街2號,19樓,A2室,22263000.0,,,752,29605,2021-03-23,
