,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,海逸,1期 綠庭軒,4座,海逸道8號,低層,F室,19800000.0,1369.0,14463.0,1082,18299,2021-04-12,3.0
1,九龍,黃埔,9期 百合苑,5座,德豐街8號,中層,C室,12100000.0,825.0,14667.0,728,16621,2021-04-12,3.0
2,九龍,黃埔,半島豪庭,2座,紅荔道8號,高層,E室,7358000.0,481.0,15297.0,384,19161,2021-04-12,
3,九龍,黃埔,半島豪庭,4座,紅荔道8號,39樓,G室,11680000.0,735.0,15891.0,565,20673,2021-04-12,2.0
4,九龍,海逸,5期(IVB) 翠堤灣,23座,海逸道8號,18樓,B室,18280000.0,1168.0,15651.0,874,20915,2021-04-12,3.0
5,九龍,黃埔,黃埔新邨,遠富樓 (S座),船澳街99C號,八樓,3室,5350000.0,450.0,11889.0,321,16667,2021-04-12,2.0
6,九龍,黃埔,黃埔新邨,嘉富樓 (Z座),船澳街99U號,13樓,2室,5640000.0,450.0,12533.0,321,17570,2021-04-12,2.0
7,九龍,黃埔,7期 紅棉苑,5座,德安街11號,高層,D室,14560000.0,1107.0,13153.0,962,15135,2021-04-10,3.0
8,九龍,黃埔,9期 百合苑,3座,德豐街8號,低層,A室,9500000.0,692.0,13728.0,617,15397,2021-04-09,3.0
9,九龍,黃埔,黃埔新邨,永貴樓 (A座),船澳街129號,高層,1室,6880000.0,620.0,11097.0,442,15566,2021-04-09,3.0
10,九龍,黃埔,黃埔新邨,可榮樓 (Q座),民泰街69號,十三樓,2室,6700000.0,550.0,12182.0,0,0,2021-04-09,2.0
11,九龍,黃埔,5期 青樺苑,4座,德豐街7號,11樓,E室,8780000.0,577.0,15217.0,0,0,2021-04-09,2.0
12,九龍,海逸,3期 悅濤灣,8座,海逸道8號,9樓,E室,14830000.0,1024.0,14482.0,818,18130,2021-04-09,3.0
13,九龍,黃埔,9期 百合苑,7座,德豐街8號,6樓,F室,17180000.0,1002.0,17146.0,891,19282,2021-04-09,3.0
14,九龍,黃埔,黃埔新邨,永貴樓 (A座),船澳街129號,高層,1室,6880000.0,620.0,11097.0,442,15566,2021-04-09,3.0
15,九龍,黃埔,半島豪庭,3座,紅荔道8號,7樓,C室,10000000.0,783.0,12771.0,590,16949,2021-04-08,2.0
16,九龍,黃埔,半島豪庭,2座,紅荔道8號,29樓,C室,13750000.0,1033.0,13311.0,784,17538,2021-04-08,3.0
17,九龍,黃埔,11期 紫荊苑,11座,德康街6號,13樓,E室,8220000.0,551.0,14918.0,470,17489,2021-04-08,2.0
18,九龍,黃埔,2期 錦桃苑,15座,船景街9號,8樓,E室,8200000.0,558.0,14695.0,466,17597,2021-04-08,2.0
19,九龍,黃埔,4期 棕櫚苑,1座,船景街7號,15樓,C室,9940000.0,743.0,13378.0,647,15363,2021-04-08,3.0
20,九龍,黃埔,10期 綠榕苑,2座,環海街8號,8樓,F室,17400000.0,1033.0,16844.0,910,19121,2021-04-08,3.0
21,九龍,黃埔,海濱南岸,2座,愛景街8號,6樓,H室,10520000.0,770.0,13662.0,590,17831,2021-04-08,3.0
22,九龍,黃埔,12期 銀竹苑,3座,德康街3號,3樓,H室,11880000.0,898.0,13229.0,797,14906,2021-04-08,3.0
23,九龍,黃埔,2期 錦桃苑,8座,船景街9號,高層,C室,7570000.0,469.0,16141.0,389,19460,2021-04-07,2.0
24,九龍,黃埔,2期 錦桃苑,7座,船景街9號,2樓,G室,6100000.0,469.0,13006.0,389,15681,2021-04-07,2.0
25,九龍,黃埔,5期 青樺苑,9座,德豐街7號,11樓,D室,8680000.0,577.0,15043.0,503,17256,2021-04-07,2.0
26,九龍,黃埔,海濱南岸,4座,愛景街8號,28樓,D室,11380000.0,770.0,14779.0,589,19321,2021-04-07,3.0
27,九龍,黃埔,2期 錦桃苑,11座,船景街9號,11樓,H室,6980000.0,469.0,14883.0,389,17943,2021-04-07,2.0
28,九龍,黃埔,海濱南岸,7座,愛景街8號,28樓,D室,11500000.0,770.0,14935.0,589,19525,2021-04-07,3.0
29,九龍,黃埔,黃埔新邨,遠貴樓 (B座),船澳街119號,十五樓,6室,5000000.0,520.0,9615.0,342,14620,2021-04-07,2.0
30,九龍,黃埔,海濱南岸,3座,愛景街8號,中層,B室,10950000.0,770.0,14221.0,593,18465,2021-04-02,3.0
31,九龍,黃埔,5期 青樺苑,5座,德豐街7號,4樓,E室,8380000.0,577.0,14523.0,503,16660,2021-04-01,2.0
32,九龍,黃埔,海濱南岸,3座,愛景街8號,30樓,F室,8450000.0,559.0,15116.0,432,19560,2021-04-01,2.0
33,九龍,黃埔,11期 紫荊苑,11座,德康街6號,5樓,B室,10580000.0,750.0,14107.0,639,16557,2021-04-01,3.0
34,九龍,海逸,3期 悅濤灣,11座,海逸道8號,26樓,G室,10820000.0,696.0,15546.0,558,19391,2021-04-01,2.0
35,九龍,黃埔,1期 金柏苑,4座,必嘉街121號,16樓,A室,9200000.0,746.0,12332.0,687,13392,2021-04-01,3.0
36,九龍,黃埔,海濱南岸,3座,愛景街8號,29樓,J室,12000000.0,770.0,15584.0,589,20374,2021-03-31,3.0
37,九龍,黃埔,海濱南岸,4座,愛景街8號,17樓,E室,9450000.0,630.0,15000.0,481,19647,2021-03-31,2.0
38,九龍,海逸,1期 綠庭軒,4座,海逸道8號,23樓,A室,10980000.0,685.0,16029.0,545,20147,2021-03-31,2.0
39,九龍,黃埔,黃埔新邨,可富樓 (X座),船澳街99N號,八樓,6室,5600000.0,450.0,12444.0,321,17445,2021-03-31,2.0
40,九龍,海逸,1期 綠庭軒,3座,海逸道8號,15樓,A室,9250000.0,662.0,13973.0,522,17720,2021-03-31,2.0
41,九龍,黃埔,海濱南岸,1座,愛景街8號,4樓,J室,10000000.0,770.0,12987.0,589,16978,2021-03-30,3.0
42,九龍,海逸,3期 悅濤灣,12A座,海逸道8號,3樓,D室,20780000.0,1413.0,14706.0,1124,18488,2021-03-30,3.0
