,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,九龍,又一村,花圃別墅,B座,花圃街12-14號,,B2室,10000000.0,900.0,11111.0,658,15198,2021-04-14T00:00:00,
1,九龍,又一村,又一居,27座,瑰麗路35號,中層,B室,13450000.0,846.0,15898.0,674,19955,2021-04-12T00:00:00,3.0
2,九龍,又一村,2期,B3座(21號),花圃街21號,2樓,C室,31800000.0,1797.0,17696.0,1533,20744,2021-04-12,3.0
3,九龍,又一村,1期,B8座(49號),花圃街49號,高層,B室,36350000.0,1773.0,20502.0,1516,23978,2021-04-09T00:00:00,
4,九龍,又一村,,玉蘭閣,玉蘭路19號,,D室,16000000.0,,,789,20279,2021-04-08T00:00:00,
5,九龍,又一村,又一居,20座,達之路45號,3樓,A室,11000000.0,725.0,15172.0,584,18836,2021-04-08,3.0
6,九龍,又一村,又一居,32座,瑰麗路23號,8樓,A室,18000000.0,1033.0,17425.0,792,22727,2021-04-08,3.0
7,九龍,又一村,又一居,25座,瑰麗路34號,中層,C室,11300000.0,703.0,16074.0,559,20215,2021-04-01T00:00:00,3.0
8,九龍,又一村,又一居,14座,又一居道17號,高層,D室,11700000.0,725.0,16138.0,584,20034,2021-04-01T00:00:00,3.0
9,九龍,又一村,又一居,5座,達之路35號,6樓,A室,15880000.0,915.0,17355.0,737,21547,2021-04-01,3.0
10,九龍,又一村,,馨石苑,石竹路1號,地下,B室,23930000.0,,,1003,23858,2021-04-01,3.0
11,九龍,又一村,又一居,11座,又一居道11號,地下,B室,16500000.0,817.0,20196.0,657,25114,2021-04-01,3.0
12,九龍,又一村,又一居,23座,瑰麗路32號,中層,F室,11000000.0,703.0,15647.0,561,19608,2021-03-31T00:00:00,3.0
13,九龍,又一村,又一居,3座,達之路39號,7樓,D室,22000000.0,1230.0,17886.0,1020,21569,2021-03-31,3.0
14,九龍,又一村,又一居,29座,瑰麗路29號,高層,E室,10690000.0,658.0,16246.0,527,20285,2021-03-29T00:00:00,3.0
15,九龍,又一村,又一居,2座,達之路41號,中層,F室,11480000.0,705.0,16284.0,568,20211,2021-03-26T00:00:00,3.0
16,九龍,又一村,又一居,22座,瑰麗路28號,9樓,F室,11220000.0,703.0,15960.0,561,20000,2021-03-25,3.0
