,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界東,火炭,銀禧花園,2座,樂景街2-18號,低層,D室,7100000.0,644.0,11025.0,506,14032,2021-04-14,
1,新界東,火炭,豐景花園,A座,穗禾路21-29號,中層,2室,12500000.0,1241.0,10073.0,1008,12401,2021-04-14,
2,新界東,火炭,御龍山,9座,樂景街28號,22樓,A室,33000000.0,2379.0,13871.0,1845,17886,2021-04-12,4.0
3,新界東,火炭,穗禾苑,詠興閣 (J座),穗禾路10號,15樓,11室,5580000.0,702.0,7949.0,0,0,2021-04-12,3.0
4,新界東,九肚山,綠怡居,洋房15,綠怡徑6號,1樓,15號屋,7150000.0,,,0,0,2021-04-12,
5,新界東,火炭,穗禾苑,慶宏閣 (D座),穗禾路15號,36樓,11室,6275000.0,703.0,8926.0,617,10170,2021-04-12,3.0
6,新界東,火炭,穗禾苑,詠昌閣 (H座),穗禾路8號,4樓,4室,4400000.0,468.0,9402.0,411,10706,2021-04-12,2.0
7,新界東,火炭,華翠園,30座,穗禾路26-28號,高層,B室,21000000.0,1668.0,12590.0,1381,15206,2021-04-09,
8,新界東,火炭,1期,6座,駿景路1號,17樓,E室,20900000.0,1623.0,12877.0,1373,15222,2021-04-09,
9,新界東,火炭,穗禾苑,豐逸閣 (B座),穗禾路7號,13樓,9室,4500000.0,537.0,8380.0,471,9554,2021-04-09,2.0
10,新界東,九肚山,玖瓏山,月瓏閣 第3座,麗坪路33號,6樓,E室,9265000.0,,,692,13389,2021-04-09,2.0
11,新界東,火炭,御龍山,3座,樂景街28號,27樓,C室,12300000.0,888.0,13851.0,689,17852,2021-04-09,3.0
12,新界東,火炭,銀禧花園,1座,樂景街2-18號,18樓,A室,6810000.0,644.0,10575.0,506,13458,2021-04-09,
13,新界東,火炭,沙田渣甸山花園,B2座,穗禾路33-35號,33-35號                      3,B2洋房,24800000.0,2375.0,10442.0,1827,13574,2021-04-09,
14,新界東,火炭,穗禾苑,慶宏閣 (D座),穗禾路15號,13樓,2室,5500000.0,626.0,8786.0,0,0,2021-04-09,2.0
