,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界東,馬鞍山,錦泰苑,錦興閣 (C座),寧泰路33號,高層,5室,6988000.0,828.0,8440.0,650,10751,2021-04-13,3.0
1,新界東,馬鞍山,翠擁華庭,12座,沙安街9號,高層,A室,8900000.0,897.0,9922.0,696,12787,2021-04-12,3.0
2,新界東,馬鞍山,海柏花園,4座,西沙路608號,高層,G室,8000000.0,561.0,14260.0,412,19417,2021-04-12,
3,新界東,馬鞍山,錦禧苑,錦歡閣 (A座),恆康街6號,中層,8室,5170000.0,515.0,10039.0,401,12893,2021-04-12,
4,新界東,馬鞍山,1期,A座,鞍誠街18號,低層,6室,5980000.0,425.0,14071.0,348,17184,2021-04-12,
5,新界東,馬鞍山,海典灣,6座,保泰街1號,中層,B室,7638000.0,655.0,11661.0,490,15588,2021-04-12,2.0
6,新界東,馬鞍山,迎濤灣,1座 (A座),鞍駿街23號,11樓,D室,6750000.0,683.0,9883.0,506,13340,2021-04-12,2.0
7,新界東,馬鞍山,海典灣,2座,保泰街1號,31樓,G室,7500000.0,633.0,11848.0,473,15856,2021-04-12,2.0
8,新界東,馬鞍山,迎濤灣,1座 (A座),鞍駿街23號,36樓,F室,7050000.0,664.0,10617.0,487,14476,2021-04-12,2.0
9,新界東,馬鞍山,5期 海濤居,4座,西沙路628號,28樓,C室,7380000.0,529.0,13951.0,404,18267,2021-04-12,
10,新界東,馬鞍山,嵐岸,5座,沃泰街1號,17樓,E室,9100000.0,813.0,11193.0,590,15424,2021-04-12,3.0
11,新界東,馬鞍山,薈晴,1座,恆光街15號,1樓,B03室,5800000.0,,,319,18182,2021-04-12,1.0
12,新界東,馬鞍山,3期 迎海‧星灣御,17座,烏溪沙路8號,19樓,G室,9170000.0,,,509,18016,2021-04-12,1.0
13,新界東,馬鞍山,曉峰灣畔,2座,沃泰街8號,20樓,F室,6940000.0,666.0,10420.0,501,13852,2021-04-12,2.0
