,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界東,白沙灣,1期,"52座 (HOUSE B,BLOCK 6)",西貢公路380號,,52號洋房,26200000.0,1002.0,26148.0,1048,25000,2021-04-13,
1,新界東,大網仔,逸瓏園,1座,大網仔路8號,2樓,M室,9680000.0,,,0,0,2021-04-12,2.0
2,新界東,西貢市中心,西貢苑,F座,福民路22-40號,7樓,C室,4360000.0,398.0,10955.0,294,14830,2021-04-12,
3,新界東,大網仔,逸瓏園,1座,大網仔路8號,3樓,E室,14080000.0,,,995,14151,2021-04-12,3.0
4,新界東,西貢市中心,NO. 133 PORTOFINO,洋房2,康健路133號,133號,2號屋,72921000.0,,,2586,28198,2021-04-09,
5,新界東,西沙,凱琴居,11座,西沙路533號,3樓,A室,12500000.0,1390.0,8993.0,1110,11261,2021-04-09,3.0
6,新界東,西貢市中心,翠塘花園,3座,翠塘路1號,8樓,C室,3720000.0,,,448,8304,2021-04-09,
7,新界東,西貢市中心,逸瓏海匯,2座,康村路9號,低層,E室,6925000.0,,,433,15993,2021-04-07,1.0
8,新界東,大網仔,逸瓏園,1座,大網仔路8號,3樓,J室,12380000.0,,,1003,12343,2021-04-07,3.0
9,新界東,西沙,凱琴居,6座,西沙路533號,7樓,B室,15120000.0,1663.0,9092.0,1323,11429,2021-04-07,3.0
10,新界東,大網仔,逸瓏園,1座,大網仔路8號,低層,M室,9680000.0,,,700,13829,2021-03-30,2.0
11,新界東,大網仔,逸瓏園,1座,大網仔路8號,8樓,E室,40500000.0,,,1540,26299,2021-03-30,4.0
12,新界東,大網仔,逸瓏園,1座,大網仔路8號,中層,E室,14080000.0,,,995,14151,2021-03-29,3.0
13,新界東,西貢市中心,西貢大廈,B座,福民路42-56號,11樓,B1室,5500000.0,548.0,10036.0,457,12035,2021-03-29,
14,新界東,西貢市中心,翠塘花園,1座,翠塘路1號,5樓,B室,3580000.0,,,448,7991,2021-03-26,
15,新界東,西貢市中心,NO. 133 PORTOFINO,1座,康健路133號,1樓,B室,22080000.0,,,1107,19946,2021-03-26,
16,新界東,西貢市中心,,普通道50號,普通道50號,4樓,50號,6100000.0,,,691,8828,2021-03-26,
17,新界東,西貢市中心,,萬年街21號,萬年街21號,3樓,21號,5600000.0,,,691,8104,2021-03-26,
18,新界東,清水灣,飛鵝山莊,9座,飛鵝山道18號,18號,9號洋房,55000000.0,,,4528,12147,2021-03-26,
19,新界東,西貢市中心,西貢苑,B座,福民路22-40號,11樓,C室,7900000.0,885.0,8927.0,657,12024,2021-03-24,
20,新界東,清水灣,海寧居,洋房1,大坑口115號,115號,1號屋,20500000.0,,,0,0,2021-03-24,
21,新界東,白沙灣,御庭園,洋房 C5,窩美紅棉路,2樓,C5號屋,6680000.0,,,0,0,2021-03-24,
22,新界東,白沙灣,御采‧河堤,ORANGE HOUSE (洋房5),南圍500號,NAM WAI,5號屋,33380000.0,4028.0,8287.0,2109,15827,2021-03-24,
23,新界東,西貢市中心,翠塘花園,3座,翠塘路1號,7樓,E室,5550000.0,,,427,12998,2021-03-23,
24,新界東,西貢市中心,逸瓏海匯,3座,康村路9號,8樓,L室,6750000.0,,,409,16504,2021-03-22,1.0
25,新界東,大網仔,逸瓏園,1座,大網仔路8號,3樓,K室,12780000.0,,,1023,12493,2021-03-19,3.0
26,新界東,大網仔,逸瓏園,1座,大網仔路8號,中層,J室,12380000.0,,,1003,12343,2021-03-18,3.0
27,新界東,西沙,凱琴居,13座,西沙路533號,2樓,B室,16380000.0,1672.0,9797.0,1326,12353,2021-03-17,3.0
28,新界東,大網仔,早禾居,18座(C2座),早禾路18號,18號, 18號屋,32800000.0,2162.0,15171.0,1692,19385,2021-03-16,
29,新界東,清水灣,玥廬,洋房1,碧沙路18號,18號,1號屋,82500000.0,,,2937,28090,2021-03-16,
30,新界東,清水灣,傲瀧,2座,清水灣道663號,1樓,B室,36315034.0,,,1834,19801,2021-03-16,4.0
31,新界東,西沙,凱琴居,13座,西沙路533號,6樓,A室,13500000.0,1622.0,8323.0,1285,10506,2021-03-12,3.0
32,新界東,清水灣,傲瀧,3座,清水灣道663號,7樓,A室,64304000.0,,,1837,35005,2021-03-12,4.0
33,新界東,清水灣,傲瀧,2座,清水灣道663號,7樓,A室,69966000.0,,,1836,38108,2021-03-11,4.0
34,新界東,西沙,凱弦居,8座,西沙路530號,8樓,G室,14050000.0,1180.0,11907.0,1031,13628,2021-03-11,3.0
35,新界東,西貢市中心,西貢苑,F座,福民路22-40號,6樓,B室,4000000.0,398.0,10050.0,292,13699,2021-03-05,2.0
36,新界東,大網仔,逸瓏園,5座,大網仔路8號,2樓,C室,9230000.0,,,691,13357,2021-03-03,2.0
37,新界東,清水灣,碧翠苑,3座,碧翠路29號,地下,A室,13800000.0,1371.0,10066.0,1147,12031,2021-03-02,
38,新界東,清水灣,玥廬,洋房8,碧沙路18號,18號,8號屋,108000000.0,,,3518,30699,2021-03-01,
39,新界東,白沙灣,柏濤軒,洋房11,蠔涌路,蠔涌路,11號屋,15280000.0,,,0,0,2021-03-01,
40,新界東,清水灣,傲瀧,5座,清水灣道663號,地下,A室,52240000.0,,,1819,28719,2021-03-01,4.0
41,新界東,西沙,凱弦居,10座,西沙路530號,3樓,G室,12500000.0,1180.0,10593.0,1031,12124,2021-02-26,3.0
42,新界東,西貢市中心,逸瓏海匯,3座,康村路9號,5樓,M室,5880000.0,,,391,15038,2021-02-25,1.0
43,新界東,清水灣,傲瀧,2座,清水灣道663號,2樓,B室,35003000.0,,,1834,19086,2021-02-24,4.0
44,新界東,清水灣,傲瀧,9座,清水灣道663號,5樓,A室,42300000.0,,,1836,23039,2021-02-24,4.0
45,新界東,清水灣,玥廬,洋房9,碧沙路18號,18號,9號屋,120000000.0,,,3518,34110,2021-02-24,
46,新界東,白沙灣,4期,G26座,西貢公路380號,G26號洋房,G26號洋房,26380000.0,1920.0,13740.0,1323,19940,2021-02-23,
47,新界東,西貢市中心,逸瓏海匯,2座,康村路9號,6樓,J室,6430000.0,,,459,14009,2021-02-23,1.0
48,新界東,白沙灣,1期,"65座 (HOUSE J,BLOCK 7)",西貢公路380號,65號洋房,65號洋房,28480000.0,1001.0,28452.0,1048,27175,2021-02-22,
49,新界東,大網仔,逸瓏園,5座,大網仔路8號,低層,C室,9230000.0,,,691,13357,2021-02-19,2.0
50,新界東,清水灣,傲瀧,11座,清水灣道663號,3樓,B室,33430000.0,,,1836,18208,2021-02-19,4.0
51,新界東,清水灣,華富花園,A10座,銀巒路7號,7號,A10號洋房,24000000.0,1452.0,16529.0,1449,16563,2021-02-18,
