,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界東,沙田,偉華中心,3座,沙田正街11-17號,中層,C室,5650000.0,417.0,13549.0,308,18344,2021-04-12,2.0
1,新界東,沙田,,皇御居,崗背街5號,高層,D室,7700000.0,693.0,11111.0,469,16418,2021-04-12,1.0
2,新界東,小瀝源,廣林苑,興林閣 (A座),小瀝源路64號,中層,4室,4700000.0,534.0,8801.0,404,11634,2021-04-12,
3,新界東,沙田,3期,紅棉閣 (5座),沙田正街2-8號,高層,A室,11280000.0,753.0,14980.0,640,17625,2021-04-12,3.0
4,新界東,石門,濱景花園,4座,安景街1-3號,低層,C室,8360000.0,660.0,12667.0,543,15396,2021-04-12,3.0
5,新界東,石門,2期,F座,安景街15-17號,低層,6室,7800000.0,744.0,10484.0,616,12662,2021-04-12,3.0
6,新界東,沙田,好運中心,椰林閣 (B2座),橫壆街1-15號,中層,A室,7960000.0,647.0,12303.0,505,15762,2021-04-12,3.0
7,新界東,小瀝源,帝堡城,3座,小瀝源路69號,低層,F室,9750000.0,970.0,10052.0,753,12948,2021-04-12,
8,新界東,沙田,希爾頓中心,D座,沙田正街3-9號,中層,4室,5360000.0,440.0,12182.0,283,18940,2021-04-12,1.0
9,新界東,沙田,河畔花園,F座,大涌橋路20-30號,二十三樓,7室,4900000.0,368.0,13315.0,242,20248,2021-04-12,2.0
10,新界東,沙田,河畔花園,C座,大涌橋路20-30號,三十六樓,3室,4900000.0,368.0,13315.0,242,20248,2021-04-12,2.0
11,新界東,沙田,富豪花園,文禧閣 (M座),大涌橋路52號,6樓,G室,7290000.0,808.0,9022.0,560,13018,2021-04-12,
12,新界東,沙田第一城,1期,11座,得利街2號,2樓,F室,6500000.0,570.0,11404.0,484,13430,2021-04-12,3.0
13,新界東,沙田第一城,5期,51座,得怡街1號,25樓,G室,6000000.0,410.0,14634.0,304,19737,2021-04-12,2.0
14,新界東,沙田,1期,雅麗苑 (3座),沙角街8-12號,十四樓,A室,4850000.0,457.0,10613.0,297,16330,2021-04-12,1.0
15,新界東,小瀝源,愉翠苑,愉能閣 (M座),牛皮沙街6號,12樓,5室,6000000.0,944.0,6356.0,663,9050,2021-04-12,3.0
16,新界東,小瀝源,愉田苑,愉健閣 (C座),銀城街15號,二十二樓,6室,5000000.0,591.0,8460.0,0,0,2021-04-12,
17,新界東,沙田,翠華花園,A座,沙角街7-11號,四樓,8室,3840000.0,330.0,11636.0,215,17860,2021-04-12,2.0
18,新界東,沙田第一城,2期,22座,百得街8號,低層,A室,7920000.0,634.0,12492.0,515,15379,2021-04-11,3.0
19,新界東,沙田,沙田中心,廣寧大廈 (H座),橫壆街2-16號,高層,C室,5780000.0,405.0,14272.0,310,18645,2021-04-10,1.0
20,新界東,沙田第一城,2期,21座,百得街6號,低層,C室,5650000.0,395.0,14304.0,327,17278,2021-04-09,2.0
21,新界東,沙田第一城,4期,38座,樂城街11號,高層,B室,5700000.0,395.0,14430.0,284,20070,2021-04-09,2.0
22,新界東,沙田第一城,6期,24座,長城街1號,高層,F室,8000000.0,562.0,14235.0,447,17897,2021-04-09,3.0
23,新界東,沙田,希爾頓中心,B座,沙田正街3-9號,低層,6室,6700000.0,659.0,10167.0,412,16262,2021-04-09,2.0
24,新界東,小瀝源,帝堡城,3座,小瀝源路69號,高層,B室,10000000.0,1063.0,9407.0,836,11962,2021-04-09,
25,新界東,沙田,1期,雅芳苑 (2座),沙角街8-12號,低層,E室,4360000.0,435.0,10023.0,286,15245,2021-04-09,2.0
26,新界東,沙田,河畔花園,E座,大涌橋路20-30號,二十五樓,4室,4630000.0,368.0,12582.0,242,19132,2021-04-09,2.0
27,新界東,小瀝源,廣林苑,馥林閣 (C座),小瀝源路66號,四樓,11室,4080000.0,497.0,8209.0,0,0,2021-04-09,
28,新界東,沙田第一城,4期,40座,百得街14號,12樓,F室,5450000.0,395.0,13797.0,284,19190,2021-04-09,2.0
29,新界東,石門,1期,雅碧閣 (1座),安景街19-21號,,,7480000.0,,,662,11299,2021-04-09,
30,新界東,石門,3期,雅芝閣 (2座),安景街25號,7樓,B室,8800000.0,978.0,8998.0,702,12536,2021-04-09,
31,新界東,石門,濱景花園,2座,安景街1-3號,25樓,C室,8600000.0,659.0,13050.0,544,15809,2021-04-09,3.0
32,新界東,石門,濱景花園,1座,安景街1-3號,5樓,H室,6200000.0,476.0,13025.0,394,15736,2021-04-09,2.0
33,新界東,石門,1期,百利閣 (2座),安景街19-21號,3樓,D室,9280000.0,1217.0,7625.0,849,10931,2021-04-09,
34,新界東,沙田第一城,5期,47座,得寶街4號,5樓,E室,5200000.0,395.0,13165.0,284,18310,2021-04-09,2.0
35,新界東,沙田,1期,雅麗苑 (3座),沙角街8-12號,中層,E室,4800000.0,423.0,11348.0,286,16783,2021-04-08,1.0
36,新界東,沙田第一城,5期,52座,銀城街5號,高層,B室,5580000.0,395.0,14127.0,284,19648,2021-04-08,2.0
37,新界東,沙田,2期,雅翠苑 (2座),崗背街1-3號,中層,G室,4600000.0,421.0,10926.0,269,17100,2021-04-08,1.0
38,新界東,沙田,翠華花園,C座,沙角街7-11號,二十六樓,6室,4600000.0,421.0,10926.0,280,16429,2021-04-08,2.0
39,新界東,石門,1期,金蘭閣 (3座),安景街19-21號,3樓,G室,7300000.0,937.0,7791.0,646,11300,2021-04-08,
40,新界東,沙田,博康邨,博裕樓 (4座),沙角街6號,9樓,13室,1400000.0,,,277,5054,2021-04-08,
41,新界東,沙田,河畔花園,B座,大涌橋路20-30號,十七樓,2室,4000000.0,385.0,10390.0,269,14870,2021-04-08,2.0
42,新界東,沙田第一城,2期,16座,百利街4號,3樓,B室,6000000.0,562.0,10676.0,451,13304,2021-04-08,3.0
43,新界東,沙田,沙田中心,新寧大廈 (G座),橫壆街2-16號,10樓,H室,5260000.0,356.0,14775.0,292,18014,2021-04-08,1.0
44,新界東,沙田第一城,5期,49座,得怡街7號,18樓,B室,5768000.0,395.0,14603.0,284,20310,2021-04-08,2.0
45,新界東,石門,1期,C座,安景街11-13號,2樓,3室,11330000.0,992.0,11421.0,819,13834,2021-04-08,3.0
46,新界東,石門,1期,雅碧閣 (1座),安景街19-21號,29樓,A室,10300000.0,1217.0,8463.0,849,12132,2021-04-08,3.0
47,新界東,沙田第一城,2期,17座,得榮街4號,3樓,H室,5380000.0,395.0,13620.0,327,16453,2021-04-08,2.0
48,新界東,小瀝源,愉田苑,愉逸閣 (E座),銀城街13號,二十五樓,7室,5680000.0,531.0,10697.0,434,13088,2021-04-08,
49,新界東,沙田,希爾頓中心,C座,沙田正街3-9號,十樓,3室,6730000.0,659.0,10212.0,427,15761,2021-04-08,2.0
50,新界東,沙田,曉翠山莊,5座,百樂徑18號,6樓,D室,12150000.0,985.0,12335.0,811,14982,2021-04-08,3.0
51,新界東,沙田,沙田中心,東寧大廈 (A座),橫壆街2-16號,低層,C室,5430000.0,385.0,14104.0,310,17516,2021-04-07,1.0
52,新界東,沙田,好運中心,桂林閣 (D2座),橫壆街1-15號,高層,E室,5280000.0,440.0,12000.0,348,15172,2021-04-07,1.0
53,新界東,石門,濱景花園,5座,安景街1-3號,高層,D室,7070000.0,480.0,14729.0,395,17899,2021-04-07,2.0
