,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界東,粉嶺,牽晴間,5座,一鳴路23號,低層,H室,5660000.0,528.0,10720.0,384,14740,2021-04-14,2.0
1,新界東,粉嶺,景盛苑,歡景閣 (A座),一鳴路8號,低層,16室,5788000.0,748.0,7738.0,546,10601,2021-04-13,
2,新界東,粉嶺,綠悠軒,4座,馬適路3號,高層,G室,7180000.0,878.0,8178.0,612,11732,2021-04-12,3.0
3,新界東,上水,彩蒲苑,彩晶閣 (B座),彩園路2號,低層,9室,4180000.0,483.0,8654.0,363,11515,2021-04-12,2.0
4,新界東,粉嶺,御皇庭,2座,清曉路18號,中層,C室,6060000.0,618.0,9806.0,452,13407,2021-04-12,2.0
5,新界東,粉嶺,昌盛苑,昌兆閣 (B座),華明路20號,中層,7室,4130000.0,,,506,8162,2021-04-12,
6,新界東,粉嶺,碧湖花園,3座,一鳴路15號,高層,H室,5320000.0,515.0,10330.0,400,13300,2021-04-12,
7,新界東,粉嶺,1期,3座,和滿街8號,27樓,E室,5400000.0,598.0,9030.0,419,12888,2021-04-12,2.0
8,新界東,粉嶺,威尼斯花園,1座,保榮路1號,6樓,F室,5300000.0,659.0,8042.0,494,10729,2021-04-12,2.0
9,新界東,粉嶺,欣盛苑,欣悅閣 (D座),華明路15號,24樓,8室,3080000.0,514.0,5992.0,401,7681,2021-04-12,
10,新界東,粉嶺,1期,5座,和滿街8號,1樓,D室,5220000.0,598.0,8729.0,419,12458,2021-04-12,2.0
11,新界東,粉嶺,昌盛苑,昌濤閣 (C座),華明路20號,低層,8室,4500000.0,848.0,5307.0,650,6923,2021-04-09,
12,新界東,粉嶺,榮輝中心,3座,聯捷街6號,中層,A室,4280000.0,703.0,6088.0,588,7279,2021-04-09,
13,新界東,粉嶺,1期,B座,新運路33號,高層,5室,5298000.0,465.0,11394.0,368,14397,2021-04-09,
14,新界東,上水,天平邨,天喜樓 (6座),天平路48號,高層,3室,3480000.0,,,443,7856,2021-04-09,
15,新界東,上水,新都廣場,2座,龍運街8號,低層,D室,6430000.0,595.0,10807.0,490,13122,2021-04-09,2.0
16,新界東,粉嶺,欣翠花園,3座,吉祥街8號,低層,D室,6750000.0,777.0,8687.0,657,10274,2021-04-09,3.0
17,新界東,上水,皇府山,1座,馬適路38號,16樓,C室,6560000.0,633.0,10363.0,490,13388,2021-04-09,2.0
18,新界東,粉嶺,榮福中心,2座,聯捷街1號,8樓,K室,4288000.0,517.0,8294.0,431,9949,2021-04-09,2.0
19,新界東,粉嶺,花都廣場,3座,百和路88號,19樓,B室,6560000.0,711.0,9226.0,526,12471,2021-04-09,
20,新界東,粉嶺,牽晴間,7座,一鳴路23號,13樓,C室,9750000.0,984.0,9909.0,719,13561,2021-04-09,3.0
21,新界東,上水,高爾夫．御苑,7座,青山公路古洞段88號,17樓,E室,6310000.0,,,372,16962,2021-04-09,1.0
22,新界東,粉嶺,1期,C座,新運路33號,20樓,3室,6680000.0,688.0,9709.0,535,12486,2021-04-09,
23,新界東,粉嶺,花都廣場,3座,百和路88號,24樓,G室,6450000.0,711.0,9072.0,526,12262,2021-04-09,
24,新界東,粉嶺,碧湖花園,3座,一鳴路15號,25樓,C室,5750000.0,568.0,10123.0,441,13039,2021-04-09,
25,新界東,上水,皇府山,5座,馬適路38號,6樓,F室,9380000.0,1002.0,9361.0,785,11949,2021-04-09,3.0
26,新界東,上水,高爾夫．御苑,洋房A9,青山公路古洞段88號,88號,A9號屋,51000000.0,,,2608,19555,2021-04-09,
27,新界東,上水,龍豐花園,B座,龍琛路33號,中層,B1室,4900000.0,430.0,11395.0,336,14583,2021-04-08,2.0
28,新界東,上水,天平邨,天美樓 (5座),天平路48號,24樓,1室,3650000.0,,,381,9580,2021-04-08,
29,新界東,粉嶺,逸峰,2座,馬適路1號,30樓,A室,9050000.0,864.0,10475.0,642,14097,2021-04-08,3.0
30,新界東,上水,翠麗花園,6座,鳳南路9號,20樓,M室,4350000.0,484.0,8988.0,427,10187,2021-04-08,
31,新界東,粉嶺,牽晴間,7座,一鳴路23號,21樓,E室,5488000.0,537.0,10220.0,386,14218,2021-04-08,2.0
32,新界東,粉嶺,碧湖花園,6座,一鳴路15號,1樓,G室,5240000.0,518.0,10116.0,400,13100,2021-04-08,2.0
33,新界東,粉嶺,御皇庭,3座,清曉路18號,高層,A室,5450000.0,510.0,10686.0,377,14456,2021-04-07,2.0
34,新界東,粉嶺,嘉盛苑,嘉耀閣 (C座),百和路33號,高層,13室,5380000.0,737.0,7300.0,538,10000,2021-04-07,
35,新界東,粉嶺,御皇庭,3座,清曉路18號,37樓,A室,5500000.0,510.0,10784.0,377,14589,2021-04-07,2.0
36,新界東,粉嶺,邁爾豪園,洋房 25,粉嶺公路328號,328號,25號屋,20000000.0,2693.0,7427.0,1795,11142,2021-04-07,
37,新界東,粉嶺,1期,3座,和滿街8號,7樓,F室,6090000.0,862.0,7065.0,607,10033,2021-04-07,3.0
38,新界東,粉嶺,牽晴間,5座,一鳴路23號,10樓,B室,5800000.0,587.0,9881.0,428,13551,2021-04-07,2.0
