,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界東,大埔墟,4期 御峰豪園,25座,馬窩路9號,高層,F室,8650000.0,922.0,9382.0,736,11753,2021-04-13,3.0
1,新界東,太和,太和中心,2座,大埔太和路15號,12樓,E室,4760000.0,390.0,12205.0,294,16190,2021-04-12,2.0
2,新界東,大埔市中心,翠屏花園,A座,安慈路3號,15樓,4室,4300000.0,394.0,10914.0,274,15693,2021-04-12,2.0
3,新界東,太和,翠林閣,2座,翠樂街9號,20樓,H室,6335000.0,622.0,10185.0,485,13062,2021-04-12,2.0
4,新界東,大埔市中心,2期,4座,安邦路10號,26樓,B室,5250000.0,433.0,12125.0,313,16773,2021-04-12,2.0
5,新界東,太和,1期,6座,梅樹坑路8號,低層,D室,13300000.0,1183.0,11243.0,1005,13234,2021-04-09,2.0
6,新界東,大埔墟,富雅花園,2座,南運路3號,高層,D室,5300000.0,707.0,7496.0,592,8953,2021-04-09,
7,新界東,大埔市中心,怡雅苑,怡順閣 (B座),安埔路15號,高層,7室,4650000.0,710.0,6549.0,554,8394,2021-04-09,3.0
8,新界東,大埔市中心,八號花園,3座,安慈路2號,高層,B室,5880000.0,522.0,11264.0,431,13643,2021-04-09,2.0
9,新界東,大埔市中心,1期,6座,鳳園路9號,16樓,C室,8790000.0,,,849,10353,2021-04-09,3.0
10,新界東,大埔市中心,明雅苑,明凱閣 (A座),安埔里7號,26樓,15室,5520000.0,593.0,9309.0,0,0,2021-04-09,2.0
11,新界東,大埔市中心,明雅苑,明欣閣 (B座),安埔里9號,24樓,5室,4760000.0,492.0,9675.0,363,13113,2021-04-09,1.0
12,新界東,大埔墟,4期 御峰豪園,29座,馬窩路9號,10樓,A室,9180000.0,922.0,9957.0,736,12473,2021-04-09,3.0
13,新界東,大埔市中心,昌運中心,華昌閣 (4座),安慈路4號,6樓,G室,4500000.0,451.0,9978.0,339,13274,2021-04-09,2.0
14,新界東,大埔市中心,宏福苑,宏盛閣 (G座),大埔公路元洲仔3821號,低層,5室,5020000.0,583.0,8611.0,483,10393,2021-04-08,
15,新界東,大埔市中心,4期,10座,安邦路8號,低層,G室,5250000.0,517.0,10155.0,371,14151,2021-04-08,2.0
