,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界東,大埔半山,大埔寶馬山,10座,山賢路8號,低層,C室,9960000.0,1005.0,9910.0,791,12592,2021-04-13,3.0
1,新界東,大埔海濱,嘉豐花園,9座,露輝路33號,,D室,7500000.0,774.0,9690.0,597,12563,2021-04-12,
2,新界東,大埔半山,嘉熙,6座,科進路16號,地下,B室,14509000.0,,,771,18818,2021-04-12,
3,新界東,大埔半山,朗濤,8A座,科研路7號,10樓,B室,23878000.0,,,1233,19366,2021-04-12,
4,新界東,大埔半山,2期,9座,科進路12號,15樓,A3室,10880200.0,,,565,19257,2021-04-12,
5,新界東,大埔半山,I,低座11座,科進路23號,1樓,B室,8200000.0,,,0,0,2021-04-12,1.0
6,新界東,大埔海濱,倚龍山莊,9座,露輝路31號,9號屋,TS-9F室,12488000.0,1365.0,9149.0,1100,11353,2021-04-12,
7,新界東,大埔半山,鹿怡居,1座,大埔道4699號,5樓,A室,15950000.0,1462.0,10910.0,1175,13574,2021-04-12,
8,新界東,大埔半山,2期,8座,科進路12號,12樓,A1室,8574100.0,,,459,18680,2021-04-12,
9,新界東,大埔半山,II,大廈7座,科進路21號,3樓,A室,34080000.0,,,1746,19519,2021-04-12,4.0
10,新界東,大埔半山,2期,9座,科進路12號,12樓,A2室,11572700.0,,,624,18546,2021-04-12,
11,新界東,大埔半山,2期,8座,科進路12號,11樓,A3室,8395100.0,,,469,17900,2021-04-09,
12,新界東,大埔半山,泓山,洋房G,逸遙路3號,3號,G號屋,58000000.0,3400.0,17059.0,2088,27778,2021-04-09,
13,新界東,大埔海濱,3期,湖景道 洋房220,三門仔路23號,湖景道,220號屋,42000000.0,5100.0,8235.0,3077,13650,2021-04-09,5.0
14,新界東,大埔半山,2期,9座,科進路12號,10樓,A2室,11494000.0,,,624,18420,2021-04-09,
15,新界東,大埔半山,1期,COURT A 2座,科進路18號,8樓,C室,16971000.0,,,1300,13055,2021-04-09,
16,新界東,大埔半山,翡翠花園,46座,大埔公路大埔滘段4283號,2樓,A室,10588000.0,1077.0,9831.0,959,11041,2021-04-09,
17,新界東,大埔半山,2期 海日灣II,10座,創新路18號,中層,L室,5500000.0,,,304,18092,2021-04-08,1.0
18,新界東,大埔半山,2期 溋玥,11座,科進路8號,高層,B室,10000000.0,1162.0,8606.0,897,11148,2021-04-08,2.0
19,新界東,大埔半山,朗濤,2座,科研路7號,6樓,A室,31372000.0,,,1364,23000,2021-04-08,3.0
20,新界東,大埔半山,2期 海日灣II,5座,創新路18號,17樓,F室,9486000.0,,,586,16188,2021-04-07,2.0
21,新界東,大埔半山,2期,8座,科進路12號,15樓,A3室,8510900.0,,,469,18147,2021-04-07,2.0
22,新界東,大埔半山,盈峰翠邸,10座,山塘路23號,3樓,A室,10000000.0,1147.0,8718.0,928,10776,2021-04-07,
23,新界東,大埔半山,朗濤,8A座,科研路7號,9樓,B室,23521000.0,,,1233,19076,2021-04-07,3.0
24,新界東,大埔半山,朗濤,2座,科研路7號,3樓,D室,16121000.0,,,752,21438,2021-04-07,3.0
25,新界東,大埔半山,2期 溋玥,11座,科進路8號,低層,E室,8000000.0,818.0,9780.0,645,12403,2021-04-02,1.0
26,新界東,大埔海濱,3期,萊茵道 洋房121,三門仔路23號,,121號屋,23180000.0,3456.0,6707.0,2074,11176,2021-04-01,5.0
27,新界東,大埔半山,2期,9座,科進路12號,15樓,A2室,11613200.0,,,624,18611,2021-04-01,3.0
28,新界東,大埔半山,朗濤,2座,科研路7號,3樓,C室,16688000.0,,,1079,15466,2021-04-01,3.0
29,新界東,大埔半山,嘉熙,8座,科進路16號,9樓,D室,10889000.0,,,600,18148,2021-04-01,3.0
30,新界東,大埔半山,2期,8座,科進路12號,15樓,A1室,8597000.0,,,459,18730,2021-04-01,2.0
31,新界東,大埔半山,松苑,B座,大埔道4233號,3樓,1室,11000000.0,1700.0,6471.0,1223,8994,2021-04-01,3.0
32,新界東,康樂園,第十八街,55號,康樂園第十八街55號 (S S 958),,55號,21280000.0,1660.0,12819.0,1180,18034,2021-03-31,
33,新界東,大埔半山,2期 溋玥,6座,科進路8號,中層,A室,12880000.0,1282.0,10047.0,1005,12816,2021-03-31,2.0
34,新界東,康樂園,第二十街,16號,康樂園第二十街16號 (S S 816),,16號,19690000.0,1850.0,10643.0,1214,16219,2021-03-31,
35,新界東,大埔半山,嘉熙,9座,科進路16號,16樓,E室,8516000.0,,,453,18799,2021-03-31,2.0
36,新界東,大埔半山,嘉熙,8座,科進路16號,15樓,D室,11099000.0,,,600,18498,2021-03-31,3.0
37,新界東,大埔半山,3期 海鑽,10座,科進路9號,5樓,A室,16000000.0,1882.0,8502.0,1409,11356,2021-03-31,4.0
38,新界東,康樂園,第十八街,55號,康樂園第十八街55號 (S S 958),第十八街,55號,21280000.0,1660.0,12819.0,1180,18034,2021-03-31,
39,新界東,大埔半山,嘉熙,10座,科進路16號,21樓,H室,8788000.0,,,466,18858,2021-03-30,2.0
40,新界東,大埔半山,嘉熙,1座,科進路16號,20樓,D室,8460000.0,,,463,18272,2021-03-30,2.0
41,新界東,大埔半山,嘉熙,10座,科進路16號,12樓,G室,8037000.0,,,465,17284,2021-03-30,2.0
42,新界東,大埔半山,2期 海日灣II,10座,創新路18號,18樓,K室,12665000.0,,,795,15931,2021-03-30,3.0
43,新界東,大埔半山,翡翠花園,44座,大埔公路大埔滘段4283號,2樓,A室,10000000.0,1077.0,9285.0,959,10428,2021-03-30,3.0
44,新界東,大埔半山,朗濤,2座,科研路7號,5樓,A室,30750000.0,,,1364,22544,2021-03-30,3.0
45,新界東,大埔半山,3期 海鑽,7座,科進路9號,高層,C室,11280000.0,1236.0,9126.0,949,11886,2021-03-29,3.0
46,新界東,大埔半山,嘉熙,1座,科進路16號,21樓,D室,8722000.0,,,463,18838,2021-03-29,2.0
47,新界東,大埔半山,大埔寶馬山,10座,山賢路8號,9樓,A室,8100000.0,928.0,8728.0,728,11126,2021-03-29,3.0
48,新界東,大埔半山,1期,6座,科進路12號,7樓,B1室,5480000.0,,,278,19712,2021-03-29,
49,新界東,大埔半山,II,大廈12座,科進路21號,中層,C室,9800000.0,,,800,12250,2021-03-26,3.0
50,新界東,大埔半山,滌濤山,6座,紅林路1號,高層,B室,15980000.0,1370.0,11664.0,1025,15590,2021-03-26,3.0
51,新界東,大埔半山,大埔寶馬山,2座,山賢路8號,中層,C室,7350000.0,696.0,10560.0,548,13412,2021-03-26,2.0
52,新界東,康樂園,第十七街,8號,康樂園第十七街8號 (S S 925),,8號,19380000.0,1660.0,11675.0,1180,16424,2021-03-26,
53,新界東,大埔半山,嘉熙,8座,科進路16號,2樓,E室,9776000.0,,,572,17091,2021-03-26,3.0
54,新界東,大埔半山,天鑽,1座,山塘路8號,5樓,D室,8827000.0,,,525,16813,2021-03-26,2.0
55,新界東,大埔半山,嘉熙,3座,科進路16號,21樓,E室,11664000.0,,,596,19570,2021-03-26,3.0
56,新界東,大埔半山,I,大廈16座,科進路23號,12樓,B室,25000000.0,,,1400,17857,2021-03-26,4.0
57,新界東,大埔半山,逸瓏灣8,2座,科研路1號,19樓,C室,21735000.0,,,946,22976,2021-03-26,3.0
58,新界東,大埔半山,II,大廈15座,科進路21號,11樓,C室,12100000.0,,,0,0,2021-03-26,3.0
59,新界東,大埔半山,天鑽,7座,山塘路8號,17樓,D室,11346000.0,,,749,15148,2021-03-26,3.0
60,新界東,大埔半山,1期,COURT A 2座,科進路18號,17樓,B室,42700000.0,,,2061,20718,2021-03-25,3.0
61,新界東,大埔半山,3期 海鑽,5座,科進路9號,5樓,A室,16000000.0,1888.0,8475.0,1410,11348,2021-03-25,4.0
62,新界東,大埔半山,嘉熙,8座,科進路16號,1樓,E室,9852000.0,,,576,17104,2021-03-25,3.0
63,新界東,大埔海濱,1期,32號屋,露輝路28號,28號,32號屋,23980000.0,3174.0,7555.0,2005,11960,2021-03-25,
64,新界東,大埔半山,1期,COURT D 2座,科進路18號,地下,D室,29576000.0,,,1865,15858,2021-03-25,3.0
65,新界東,大埔半山,嘉熙,3座,科進路16號,21樓,D室,8742000.0,,,463,18881,2021-03-25,2.0
66,新界東,大埔半山,I,低座10座,科進路23號,,B室,8680000.0,,,639,13584,2021-03-24,1.0
67,新界東,大埔半山,翡翠花園,45座,大埔公路大埔滘段4283號,中層,D室,13000000.0,1248.0,10417.0,1110,11712,2021-03-24,
68,新界東,大埔半山,嘉熙,10座,科進路16號,16樓,G室,8133000.0,,,465,17490,2021-03-24,2.0
69,新界東,康樂園,第十五街,4號,康樂園第十五街4號 (S S 602),第十五街,4號,54800000.0,3500.0,15657.0,2579,21249,2021-03-24,
70,新界東,大埔半山,嘉熙,9座,科進路16號,21樓,G室,9742000.0,,,527,18486,2021-03-24,2.0
71,新界東,康樂園,第十八街,25號,康樂園第十八街25號 (S S 899),第十八街,25號,24180000.0,1850.0,13070.0,1237,19547,2021-03-24,
72,新界東,大埔半山,嘉熙,9座,科進路16號,12樓,E室,8414000.0,,,453,18574,2021-03-24,2.0
73,新界東,大埔半山,嘉熙,8座,科進路16號,19樓,D室,11281000.0,,,600,18802,2021-03-24,3.0
74,新界東,大埔海濱,倚龍山莊,9座,露輝路31號,,TS-9F室,12488000.0,1365.0,9149.0,1100,11353,2021-03-23,
75,新界東,大埔半山,1期,20座,科進路5號,5樓,E室,8120000.0,832.0,9760.0,653,12435,2021-03-23,1.0
76,新界東,大埔半山,天鑽,6座,山塘路8號,11樓,C室,12953000.0,,,870,14889,2021-03-23,3.0
77,新界東,大埔半山,2期 溋玥,15座,科進路8號,15樓,E室,8580000.0,788.0,10888.0,620,13839,2021-03-23,1.0
78,新界東,大埔半山,逸瓏灣8,2座,科研路1號,2樓,D室,11006800.0,,,647,17012,2021-03-23,3.0
79,新界東,大埔半山,朗濤,8B座,科研路7號,15樓,D室,10154000.0,,,597,17008,2021-03-22,2.0
80,新界東,大埔半山,2期 海日灣II,10座,創新路18號,18樓,B室,11593000.0,,,721,16079,2021-03-22,3.0
81,新界東,大埔半山,嘉熙,9座,科進路16號,19樓,B室,9078000.0,,,519,17491,2021-03-22,2.0
82,新界東,大埔半山,1期,12座,科進路5號,7樓,B室,20800000.0,1790.0,11620.0,1348,15430,2021-03-22,4.0
83,新界東,大埔半山,2期 海日灣II,7座,創新路18號,20樓,F室,11149000.0,,,583,19123,2021-03-22,2.0
84,新界東,大埔半山,翡翠花園,45座,大埔公路大埔滘段4283號,6樓,A室,11250000.0,1087.0,10350.0,969,11610,2021-03-22,
85,新界東,大埔半山,1期,6座,科進路5號,3樓,A室,27280000.0,2178.0,12525.0,1706,15991,2021-03-22,4.0
86,新界東,大埔半山,滌濤山,12座,紅林路1號,7樓,B室,13500000.0,1460.0,9247.0,1098,12295,2021-03-22,3.0
87,新界東,大埔半山,鹿怡居,1座,大埔道4699號,中層,A室,15950000.0,1462.0,10910.0,1175,13574,2021-03-19,
88,新界東,大埔半山,I,低座10座,科進路23號,3樓,A室,9880000.0,,,737,13406,2021-03-19,2.0
89,新界東,大埔半山,朗濤,9B座,科研路7號,3樓,A室,7388000.0,,,391,18895,2021-03-19,1.0
90,新界東,大埔半山,朗濤,9B座,科研路7號,12樓,B室,7729000.0,,,393,19667,2021-03-19,1.0
91,新界東,大埔半山,朗濤,8B座,科研路7號,3樓,D室,9666000.0,,,597,16191,2021-03-19,2.0
