,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界東,大圍,美松苑,興松閣 (C座),美田路29號,中層,5室,5550000.0,516.0,10756.0,401,13840,2021-04-14,
1,新界東,大圍,2期,金冠閣 (G座),隔田街1-3號,低層,4室,4880000.0,488.0,10000.0,306,15948,2021-04-13,1.0
2,新界東,大圍,愉景花園,C座,翠田街1-3號,7樓,6室,7300000.0,666.0,10961.0,524,13931,2021-04-12,3.0
3,新界東,大圍,1期,金祥閣 (C座),翠田街5-7號,十五樓,4室,4200000.0,418.0,10048.0,0,0,2021-04-12,1.0
4,新界東,大圍,嘉田苑,嘉賢閣 (C座),顯田街3號,三十四樓,5室,5880000.0,604.0,9735.0,493,11927,2021-04-12,
5,新界東,大圍,景田苑,雄心閣 (D座),翠田街12號,二十九樓,7室,6200000.0,520.0,11923.0,431,14385,2021-04-12,
6,新界東,大圍,3期 盛世,3座,美田路1號,56樓,SA室,12280000.0,912.0,13465.0,688,17849,2021-04-12,3.0
7,新界東,大圍,2期 盛薈,5座,美田路1號,5樓,SD室,11300000.0,903.0,12514.0,679,16642,2021-04-12,3.0
8,新界東,大圍,嘉田苑,嘉慧閣 (D座),顯田街1號,中層,2室,5880000.0,575.0,10226.0,469,12537,2021-04-09,
9,新界東,大圍,2期 盛薈,5座,美田路1號,低層,SC室,13480000.0,1030.0,13087.0,784,17194,2021-04-09,3.0
10,新界東,大圍,恆峰花園,1座,碧田街18號,16樓,G室,11000000.0,1110.0,9910.0,865,12717,2021-04-09,4.0
11,新界東,大圍,文禮閣,1座,文禮路49號,12樓,F室,8280000.0,750.0,11040.0,0,0,2021-04-09,3.0
12,新界東,大圍,景田苑,雄心閣 (D座),翠田街12號,二十五樓,4室,5880000.0,540.0,10889.0,447,13154,2021-04-09,
13,新界東,大圍,金禧花園,1座,積輝街2-12號,中層,D室,5990000.0,463.0,12937.0,340,17618,2021-04-08,2.0
14,新界東,大圍,2期 盛薈,2座,美田路1號,高層,NA室,12880000.0,981.0,13129.0,741,17382,2021-04-08,3.0
15,新界東,大圍,金禧花園,3座,積輝街2-12號,13樓,B室,6010000.0,416.0,14447.0,314,19140,2021-04-08,2.0
16,新界東,大圍,1期,金康閣 (A座),翠田街5-7號,六樓,4室,4220000.0,418.0,10096.0,270,15630,2021-04-08,1.0
17,新界東,大圍,,積健樓,積富街35-47號,2樓,A室,3000000.0,307.0,9772.0,205,14634,2021-04-08,
18,新界東,大圍,2期 盛薈,3座,美田路1號,41樓,NB室,14950000.0,1273.0,11744.0,958,15605,2021-04-08,4.0
19,新界東,大圍,2期,金富閣 (A座),隔田街1-3號,八樓,1室,4850000.0,499.0,9719.0,306,15850,2021-04-08,1.0
20,新界東,大圍,聚龍居,12座,顯泰街8號,中層,C室,11000000.0,975.0,11282.0,736,14946,2021-04-07,3.0
21,新界東,大圍,2期 盛薈,1座,美田路1號,16樓,NB室,13600000.0,1102.0,12341.0,842,16152,2021-04-07,3.0
22,新界東,大圍,2期,金滿閣 (F座),隔田街1-3號,低層,1室,4800000.0,499.0,9619.0,306,15686,2021-04-02,1.0
23,新界東,大圍,2期,金安閣 (C座),隔田街1-3號,高層,8室,5050000.0,522.0,9674.0,321,15732,2021-04-01,1.0
24,新界東,大圍,2期 盛薈,3座,美田路1號,中層,NA室,12350000.0,981.0,12589.0,741,16667,2021-04-01,3.0
