,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,愉景灣,5期頤峰,怡山閣 (4座),愉景灣道13號,13樓,F室,4880000.0,533.0,9156.0,456,10702,2021-04-12,1.0
1,新界西,愉景灣,8期海堤居,海堤閣,海堤徑,1樓,D室,7000000.0,,,628,11146,2021-04-12,2.0
2,新界西,愉景灣,4期蘅峰蘅安徑,庭安閣,蘅安徑2號,高層,F室,7050000.0,814.0,8661.0,708,9958,2021-04-09,
3,新界西,愉景灣,1期碧濤海馬徑,海馬徑1號,海馬徑1號,1號,B室,23000000.0,,,1626,14145,2021-04-09,
4,新界西,愉景灣,8期海堤居,海堤閣,海堤徑,11樓,A室,7025000.0,,,527,13330,2021-04-09,3.0
5,新界西,愉景灣,3期寶峰,寶峰徑3號,寶峰徑3號,2樓,B室,4900000.0,500.0,9800.0,449,10913,2021-04-09,
6,新界西,愉景灣,1期碧濤海蜂徑,海蜂徑15號,海蜂徑15號,15號,D室,14500000.0,1037.0,13983.0,962,15073,2021-04-08,
7,新界西,愉景灣,3期寶峰,寶怡閣,寶峰徑10號,3樓,C室,9800000.0,1134.0,8642.0,980,10000,2021-04-08,3.0
8,新界西,愉景灣,5期頤峰,菘山閣 (7座),愉景灣道19號,9樓,G室,7100000.0,868.0,8180.0,757,9379,2021-04-08,3.0
9,新界西,愉景灣,7期海寧居,海寧徑12號 (海愉閣),海寧徑12號,中層,B室,7500000.0,748.0,10027.0,592,12669,2021-04-01,3.0
10,新界西,愉景灣,16期 意堤,6座,堤畔徑3號,11樓,C室,11355000.0,,,715,15881,2021-04-01,2.0
11,新界西,愉景灣,13期 尚堤,漪蘆 (3座),愉景灣,20樓,G室,5500000.0,673.0,8172.0,517,10638,2021-04-01,
12,新界西,愉景灣,3期蔚陽海蜂徑,海蜂徑241號,海蜂徑241號,241號,241號,37000000.0,,,2413,15334,2021-04-01,
13,新界西,愉景灣,4期蘅峰蘅安徑,旭暉閣,蘅暉徑1號,5樓,A室,6480000.0,889.0,7289.0,755,8583,2021-03-31,3.0
14,新界西,愉景灣,7期海寧居,海寧徑3號,海寧徑3號,2樓,B室,9380000.0,976.0,9611.0,877,10696,2021-03-31,
15,新界西,愉景灣,5期頤峰,靖山閣 (1座),愉景灣道7號,15樓,B室,4880000.0,517.0,9439.0,439,11116,2021-03-30,1.0
16,新界西,愉景灣,13期 尚堤,珀蘆 (2座),愉景灣,18樓,G室,5250000.0,663.0,7919.0,510,10294,2021-03-30,1.0
17,新界西,愉景灣,3期康慧台,康和閣,愉景灣道3號,18樓,E室,4800000.0,472.0,10169.0,398,12060,2021-03-29,
18,新界西,愉景灣,5期頤峰,濤山閣 (9座),愉景灣道23號,1樓,D室,7300000.0,999.0,7307.0,870,8391,2021-03-29,3.0
19,新界西,愉景灣,9期 海藍居,11座,海藍徑1-12號,,B室,12280000.0,1208.0,10166.0,1012,12134,2021-03-26,3.0
20,新界西,愉景灣,5期頤峰,怡山閣 (4座),愉景灣道13號,高層,F室,4880000.0,533.0,9156.0,456,10702,2021-03-26,1.0
21,新界西,愉景灣,4期蘅峰倚濤軒,蘅欣徑42號,蘅欣徑42號,地下,B室,15000000.0,1268.0,11830.0,1108,13538,2021-03-26,
22,新界西,愉景灣,1期明翠台,觀霞樓,明翠徑3號,15樓,C室,7130000.0,,,588,12126,2021-03-26,2.0
23,新界西,愉景灣,3期寶峰,寶峰徑7號,寶峰徑7號,7號,I室,14500000.0,,,1138,12742,2021-03-26,
24,新界西,愉景灣,5期頤峰,韶山閣 (2座),愉景灣道9號,16樓,C室,7938000.0,1068.0,7433.0,876,9062,2021-03-25,3.0
25,新界西,愉景灣,8期海堤居,16座,海堤徑,五-六樓,A室,14780000.0,1327.0,11138.0,1183,12494,2021-03-25,
26,新界西,愉景灣,5期頤峰,翠山閣 (3座),愉景灣道11號,中層,A室,10628000.0,856.0,12416.0,693,15336,2021-03-24,2.0
27,新界西,愉景灣,5期頤峰,韶山閣 (2座),愉景灣道9號,4樓,B室,4630000.0,517.0,8956.0,439,10547,2021-03-24,1.0
28,新界西,愉景灣,3期康慧台,康和閣,愉景灣道3號,11樓,E室,4850000.0,472.0,10275.0,398,12186,2021-03-24,
29,新界西,大嶼山,龍軒苑,錦軒閣 (A座),大澳道80號,4樓,4室,2231000.0,,,375,5949,2021-03-23,
30,新界西,愉景灣,1期碧濤海燕徑,海燕徑5號,海燕徑5號,5號,A室,17600000.0,1357.0,12970.0,1282,13729,2021-03-23,
31,新界西,愉景灣,3期寶峰,寶琳閣,寶峰徑6號,8樓,C室,10800000.0,1134.0,9524.0,980,11020,2021-03-23,
32,新界西,愉景灣,3期康慧台,康和閣,愉景灣道3號,高層,E室,4800000.0,472.0,10169.0,398,12060,2021-03-22,
33,新界西,愉景灣,6期愉景廣場,愉景廣場,廣場徑2號,6樓,18室,4850000.0,602.0,8056.0,464,10453,2021-03-19,
34,新界西,愉景灣,3期寶峰,寶珊閣,寶峰徑2號,1樓,B室,3550000.0,432.0,8218.0,368,9647,2021-03-19,
35,新界西,愉景灣,5期頤峰,逸山閣 (6座),愉景灣道17號,13樓,F室,4580000.0,533.0,8593.0,456,10044,2021-03-19,1.0
36,新界西,愉景灣,5期頤峰,怡山閣 (4座),愉景灣道13號,4樓,B室,5680000.0,689.0,8244.0,592,9595,2021-03-19,2.0
37,新界西,愉景灣,4期蘅峰倚濤軒,蘅欣徑49號,蘅欣徑49號,3樓,B室,10000000.0,1284.0,7788.0,1108,9025,2021-03-18,
38,新界西,愉景灣,8期海堤居,海堤閣,海堤徑,低層,D室,7000000.0,760.0,9211.0,628,11146,2021-03-17,2.0
39,新界西,大嶼山,卓濤軒,2座,梅窩碼頭路18A號,5樓,D室,3900000.0,496.0,7863.0,354,11017,2021-03-17,
40,新界西,愉景灣,16期 意堤,6座,堤畔徑3號,2樓,A室,14100000.0,,,1019,13837,2021-03-17,3.0
41,新界西,愉景灣,12期 海澄湖畔二段,42座,海澄湖畔二段,3樓,B室,5400000.0,585.0,9231.0,457,11816,2021-03-17,1.0
42,新界西,愉景灣,13期 尚堤,碧蘆 (1座),愉景灣,26樓,E室,10680000.0,1168.0,9144.0,903,11827,2021-03-16,3.0
43,新界西,愉景灣,1期碧濤海馬徑,海馬徑41號,海馬徑41號,41號,A室,26900000.0,1703.0,15796.0,1626,16544,2021-03-16,
44,新界西,愉景灣,1期明翠台,觀海樓,明翠徑2號,6樓,A室,5860000.0,713.0,8219.0,588,9966,2021-03-16,
45,新界西,愉景灣,7期海寧居,海寧徑3號,海寧徑3號,低層,B室,9380000.0,976.0,9611.0,877,10696,2021-03-15,
46,新界西,愉景灣,4期蘅峰蘅安徑,曦欣閣,蘅欣徑2號,12樓,F室,7090000.0,859.0,8254.0,709,10000,2021-03-15,
47,新界西,愉景灣,13期 尚堤,映蘆 (6座),愉景灣,5樓,F室,10000000.0,1350.0,7407.0,1033,9681,2021-03-15,3.0
48,新界西,愉景灣,3期寶峰,寶晶閣,寶峰徑4號,10樓,F室,7400000.0,796.0,9296.0,689,10740,2021-03-12,2.0
49,新界西,愉景灣,8期海堤居,海濤閣,海堤徑,18樓,A室,6150000.0,603.0,10199.0,499,12325,2021-03-12,1.0
50,新界西,坪洲及喜靈洲,嘉暉花園,A座,寶坪街12號,1樓,A5室,3130000.0,435.0,7195.0,357,8768,2021-03-12,
51,新界西,愉景灣,7期海寧居,海寧徑12號 (海愉閣),海寧徑12號,6樓,C室,7200000.0,781.0,9219.0,619,11632,2021-03-11,3.0
52,新界西,愉景灣,5期頤峰,翠山閣 (3座),愉景灣道11號,5樓,A室,6200000.0,856.0,7243.0,693,8947,2021-03-11,2.0
53,新界西,愉景灣,4期蘅峰蘅安徑,庭安閣,蘅安徑2號,16樓,D室,6100000.0,628.0,9713.0,545,11193,2021-03-11,
54,新界西,愉景灣,3期康慧台,康和閣,愉景灣道3號,20樓,A室,8850000.0,919.0,9630.0,776,11405,2021-03-09,3.0
55,新界西,愉景灣,16期 意堤,5座,堤畔徑3號,8樓,B室,8136000.0,,,551,14766,2021-03-09,1.0
56,新界西,愉景灣,13期 尚堤,漪蘆 (3座),愉景灣,8樓,E室,13000000.0,1500.0,8667.0,1159,11217,2021-03-05,4.0
57,新界西,愉景灣,4期蘅峰倚濤軒,蘅欣徑34號,蘅欣徑34號,2樓,B室,10000000.0,1284.0,7788.0,1108,9025,2021-03-05,
58,新界西,愉景灣,5期頤峰,逸山閣 (6座),愉景灣道17號,19樓,C室,7750000.0,865.0,8960.0,744,10417,2021-03-05,3.0
59,新界西,愉景灣,5期頤峰,逸山閣 (6座),愉景灣道17號,18樓,F室,4500000.0,533.0,8443.0,456,9868,2021-03-04,1.0
