,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,加州 | 錦繡,1期C 偉仕居 紫蘭徑,25號屋,紫蘭徑25號,紫蘭徑,25號屋,15000000.0,2014.0,7448.0,1377,10893,2021-04-12,
1,新界西,加州 | 錦繡,紫荊西路,152號,紫荊西路152號 (S.J SS.293),152號屋,152號屋,11890000.0,850.0,13988.0,848,14021,2021-04-12,
2,新界西,加州 | 錦繡,H段第二街,39號,錦繡花園H段第二街39號 (S.H SS.142),H段第二街,39號屋,10680000.0,850.0,12565.0,848,12594,2021-04-12,
3,新界西,加州 | 錦繡,紫荊西路,26號,紫荊西路26號 (S.M SS.540),,26號屋,11100000.0,850.0,13059.0,848,13090,2021-04-08,
4,新界西,牛潭尾,3期 葡萄薈,巴恩大道 洋房80,牛潭尾路,巴恩大道,80號屋,19600000.0,2478.0,7910.0,1573,12460,2021-04-08,3.0
5,新界西,加州 | 錦繡,M段第一街,3號,錦繡花園M段第一街3號 (S.M SS.591),M段第一街,3號屋,10928000.0,1138.0,9603.0,840,13010,2021-04-08,
6,新界西,加州 | 錦繡,L段第五街,104號,錦繡花園L段第五街104號 (S.L SS. 59),L段第五街,104號屋,11480000.0,850.0,13506.0,848,13538,2021-04-07,
7,新界西,加州 | 錦繡,G段第一街,2號,錦繡花園G段第一街2號 (S.G SS. 99),G段第一街,2號屋,15000000.0,1050.0,14286.0,1035,14493,2021-04-07,
8,新界西,加州 | 錦繡,1期C 偉仕居 翠松路,96號屋,翠松路96號,,96號屋,15200000.0,2021.0,7521.0,1367,11119,2021-04-01,
9,新界西,加州 | 錦繡,1期A 爵仕居 海棠徑,39號屋,海棠徑39號,海棠徑,39號屋,11000000.0,1534.0,7171.0,1014,10848,2021-03-31,
10,新界西,加州 | 錦繡,J段第三街,23號,錦繡花園J段第三街23號 (S.J SS.223),J段第三街,23號屋,11800000.0,850.0,13882.0,848,13915,2021-03-31,
11,新界西,加州 | 錦繡,D段第二街,65號,錦繡花園D段第二街65號 (S.D SS.147),,65號屋,10700000.0,1138.0,9402.0,846,12648,2021-03-30,
12,新界西,加州 | 錦繡,J段第一街,68號,錦繡花園J段第一街68號 (S.J SS. 34),J段第一街,68號屋,10000000.0,850.0,11765.0,848,11792,2021-03-30,
13,新界西,加州 | 錦繡,1期C 偉仕居 翠松路,48號屋,翠松路48號,翠松路,48號屋,11000000.0,1409.0,7807.0,980,11224,2021-03-30,
14,新界西,加州 | 錦繡,M段第四街,58號,錦繡花園M段第四街58號 (S.M SS.276),M段第四街,58號屋,11680000.0,950.0,12295.0,950,12294,2021-03-29,
15,新界西,加州 | 錦繡,1期A 爵仕居 翠柏路,130號屋,翠柏路130號,翠柏路,130號屋,14380000.0,1768.0,8133.0,1198,12003,2021-03-26,
16,新界西,加州 | 錦繡,1期C 偉仕居 翠松路,47號屋,翠松路47號,翠松路,47號屋,13280000.0,1442.0,9209.0,1017,13058,2021-03-26,
17,新界西,加州 | 錦繡,荔枝東路,14號,荔枝東路14號 (S.N SS. 88),14號屋,14號屋,9000000.0,1150.0,7826.0,891,10101,2021-03-26,
18,新界西,加州 | 錦繡,1期A 爵仕居 柳樹徑,12號屋,柳樹徑12號,,12號屋,12970000.0,1463.0,8865.0,1016,12766,2021-03-25,
19,新界西,加州 | 錦繡,M段第三街,41號,錦繡花園M段第三街41號 (S.M SS.245),M段第三街,41號屋,15200000.0,1500.0,10133.0,1245,12209,2021-03-25,
20,新界西,加州 | 錦繡,K段第四街,8號,錦繡花園K段第四街8號 (S.K SS.133),K段第四街,8號屋,10850000.0,850.0,12765.0,848,12795,2021-03-25,
21,新界西,加州 | 錦繡,K段第四街,61號,錦繡花園K段第四街61號 (S.K SS.120),K段第四街,61號屋,11200000.0,850.0,13176.0,848,13208,2021-03-24,
22,新界西,牛潭尾,1期,貝翠大道 洋房83,牛潭尾路,貝翠大道,83號屋,42000000.0,4173.0,10065.0,2806,14968,2021-03-23,4.0
23,新界西,加州 | 錦繡,金竹東路,73號,金竹東路73號 (S.F SS.133 (9100)),73號屋,73號屋,13000000.0,1300.0,10000.0,962,13514,2021-03-23,
24,新界西,加州 | 錦繡,1期C 偉仕居 金桃徑,10號屋,金桃徑10號,金桃徑,10號屋,13500000.0,2021.0,6680.0,1371,9847,2021-03-22,
25,新界西,加州 | 錦繡,河北第二街,17號,錦繡花園河北第二街17號 (S.Q SS. 90),河北第二街,17號屋,10600000.0,850.0,12471.0,848,12500,2021-03-22,
26,新界西,加州 | 錦繡,I段第五街,82號,錦繡花園I段第五街82號 (S.I SS. 99),I段第五街,82號屋,11480000.0,850.0,13506.0,848,13538,2021-03-22,
27,新界西,加州 | 錦繡,M段第三街,40號,錦繡花園M段第三街40號 (S.M SS.206),M段第三街,40號屋,13600000.0,1050.0,12952.0,1035,13140,2021-03-19,
