,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,下葵涌,新葵芳花園,B座,葵義路18號,中層,2室,6680000.0,526.0,12700.0,415,16096,2021-04-13,2.0
1,新界西,下葵涌,月海灣,1座,葵聯路100號,高層,B室,7000000.0,599.0,11686.0,412,16990,2021-04-12,2.0
2,新界西,上葵涌,,葵涌花園,和宜合道50-56號,10樓,C室,4700000.0,509.0,9234.0,377,12467,2021-04-12,
3,新界西,上葵涌,,葵英大廈,石文徑1-5號,14樓,D室,4250000.0,,,428,9930,2021-04-12,
4,新界西,上葵涌,雍雅軒,2座,和宜合道33號,32樓,B室,6528000.0,673.0,9700.0,452,14442,2021-04-12,2.0
5,新界西,上葵涌,,葵涌大廈,石貝街10-30號,19樓,C室,4260000.0,,,464,9181,2021-04-12,
6,新界西,下葵涌,新葵芳花園,C座,葵義路16號,3樓,5室,6298000.0,490.0,12853.0,400,15745,2021-04-12,2.0
7,新界西,上葵涌,,友明大廈,大隴街89號,10樓,D室,3730000.0,465.0,8022.0,371,10054,2021-04-12,
8,新界西,下葵涌,,美豐大廈,仁芳街8號,20樓,D室,5750000.0,,,519,11079,2021-04-12,
9,新界西,上葵涌,寶星中心,C座,打磚坪街1-25號,低層,6室,4680000.0,449.0,10423.0,329,14225,2021-04-09,
10,新界西,上葵涌,嘉翠園,1座,青山公路葵涌段382號,中層,A室,5800000.0,573.0,10122.0,465,12473,2021-04-09,2.0
11,新界西,上葵涌,雍雅軒,1座,和宜合道33號,中層,C室,6520000.0,656.0,9939.0,460,14174,2021-04-09,2.0
12,新界西,下葵涌,月海灣,2座,葵聯路100號,低層,B室,6600000.0,599.0,11018.0,412,16019,2021-04-09,2.0
13,新界西,下葵涌,,昌年大廈,葵涌道1013號,九樓,J室,2000000.0,,,368,5435,2021-04-09,
14,新界西,下葵涌,新葵芳花園,B座,葵義路18號,10樓,3室,6650000.0,519.0,12813.0,408,16299,2021-04-09,2.0
15,新界西,下葵涌,,豐寓,興芳路178號,高層,B室,5300000.0,,,248,21371,2021-04-08,
16,新界西,上葵涌,嘉翠園,2座,青山公路葵涌段382號,13樓,A室,5880000.0,573.0,10262.0,465,12645,2021-04-08,2.0
17,新界西,下葵涌,葵芳閣,3座,葵義路15號,6樓,B室,6000000.0,590.0,10169.0,473,12685,2021-04-08,2.0
18,新界西,下葵涌,新葵芳花園,D座,葵義路14號,14樓,1室,6280000.0,510.0,12314.0,418,15024,2021-04-08,2.0
19,新界西,下葵涌,,昌偉大廈,光輝圍39A號,17樓,C室,4980000.0,,,447,11141,2021-04-08,
20,新界西,上葵涌,雍雅軒,2座,和宜合道33號,32樓,C室,6230000.0,633.0,9842.0,447,13937,2021-04-08,2.0
21,新界西,上葵涌,,保基大樓,和宜合道12號,十七樓,1室,4230000.0,500.0,8460.0,397,10655,2021-04-08,
22,新界西,下葵涌,月海灣,1座,葵聯路100號,25樓,E室,6300000.0,588.0,10714.0,403,15633,2021-04-07,2.0
23,新界西,下葵涌,葵俊苑,葵昌閣 (A座),葵興路97號,1樓,9室,5050000.0,826.0,6114.0,645,7829,2021-04-07,3.0
24,新界西,上葵涌,寶星中心,A座,打磚坪街1-25號,8樓,1室,3800000.0,407.0,9337.0,282,13475,2021-04-07,
25,新界西,下葵涌,,豐寓,興芳路178號,低層,G室,7300000.0,,,397,18388,2021-04-01,2.0
26,新界西,下葵涌,新葵興花園,A座,大窩口道161號,中層,2室,7850000.0,703.0,11166.0,570,13772,2021-04-01,3.0
27,新界西,下葵涌,月海灣,2座,葵聯路100號,25樓,F室,6050000.0,578.0,10467.0,396,15278,2021-04-01,2.0
28,新界西,上葵涌,,葵麗大廈,石蔭路37號,13樓,D室,3700000.0,,,366,10109,2021-04-01,
29,新界西,上葵涌,,葵麗大廈,石蔭路37號,23樓,A室,4100000.0,,,385,10649,2021-04-01,
30,新界西,下葵涌,新葵芳花園,C座,葵義路16號,低層,5室,6298000.0,490.0,12853.0,400,15745,2021-03-31,2.0
31,新界西,下葵涌,,運芳洋樓,興芳路180號,中層,G室,5520000.0,,,476,11597,2021-03-31,
32,新界西,下葵涌,葵涌廣場,3座,葵富路7-11號,24樓,C室,8350000.0,666.0,12538.0,493,16937,2021-03-31,3.0
33,新界西,上葵涌,,利和大廈,和宜合道130號,十四樓,4室,3500000.0,,,320,10938,2021-03-31,
34,新界西,上葵涌,,保基大樓,和宜合道12號,十五樓,5室,4200000.0,,,417,10072,2021-03-31,
35,新界西,上葵涌,寧峰苑,朗峰閣 (B座),梨木道99號,33樓,7室,5628000.0,,,506,11123,2021-03-31,
36,新界西,下葵涌,新葵芳花園,E座,葵義路12號,7樓,1室,6350000.0,510.0,12451.0,418,15191,2021-03-30,2.0
37,新界西,下葵涌,芊紅居,1座,興盛路91號,26樓,F室,8690000.0,,,595,14605,2021-03-29,
38,新界西,下葵涌,,葵豐大廈,興芳路196號,19樓,F室,4625000.0,500.0,9250.0,350,13214,2021-03-29,
39,新界西,上葵涌,嘉翠園,2座,青山公路葵涌段382號,12樓,C室,5700000.0,555.0,10270.0,456,12500,2021-03-29,2.0
40,新界西,下葵涌,葵賢苑,葵義閣 (A座),大廈街43號,28樓,8室,5800000.0,514.0,11284.0,401,14464,2021-03-29,2.0
41,新界西,下葵涌,月海灣,2座,葵聯路100號,中層,F室,6050000.0,578.0,10467.0,396,15278,2021-03-26,2.0
42,新界西,下葵涌,葵涌廣場,3座,葵富路7-11號,低層,H室,8500000.0,702.0,12108.0,516,16473,2021-03-26,3.0
43,新界西,下葵涌,新葵芳花園,B座,葵義路18號,低層,3室,6650000.0,519.0,12813.0,408,16299,2021-03-26,2.0
44,新界西,下葵涌,葵芳閣,3座,葵義路15號,低層,C室,5450000.0,590.0,9237.0,473,11522,2021-03-26,2.0
45,新界西,下葵涌,新葵芳花園,E座,葵義路12號,21樓,4室,6600000.0,490.0,13469.0,400,16500,2021-03-26,2.0
46,新界西,上葵涌,寶星中心,C座,打磚坪街1-25號,11樓,4室,3930000.0,377.0,10424.0,285,13789,2021-03-26,
47,新界西,下葵涌,,葵景大廈,光輝圍27-39號,4樓,C室,3600000.0,,,341,10557,2021-03-26,
48,新界西,上葵涌,,昌榮樓,大隴街107號,2樓,F室,3080000.0,,,302,10199,2021-03-25,
49,新界西,上葵涌,寶星中心,C座,打磚坪街1-25號,21樓,7室,4650000.0,470.0,9894.0,342,13596,2021-03-25,
50,新界西,上葵涌,,葵寶大廈,梨木道108-116號,20樓,B室,4500000.0,551.0,8167.0,421,10689,2021-03-24,
51,新界西,上葵涌,,名賢大樓,屏麗徑4-16號,三樓,K室,2520000.0,,,356,7079,2021-03-24,
52,新界西,下葵涌,新葵芳花園,A座,葵義路20號,19樓,7室,6638000.0,526.0,12620.0,415,15995,2021-03-23,2.0
53,新界西,上葵涌,雍雅軒,1座,和宜合道33號,46樓,M室,6810000.0,670.0,10164.0,470,14489,2021-03-23,2.0
54,新界西,上葵涌,,金石樓,石蔭路62號,19樓,G室,4850000.0,,,460,10543,2021-03-23,
55,新界西,上葵涌,寧峰苑,朗峰閣 (B座),梨木道99號,高層,7室,5628000.0,,,506,11123,2021-03-22,
56,新界西,下葵涌,,葵涌中心,葵興路100號,中層,B室,5000000.0,427.0,11710.0,353,14164,2021-03-22,
57,新界西,上葵涌,瑞景大廈,B座,和宜合道148號,十樓,B3室,3760000.0,,,363,10358,2021-03-22,
58,新界西,上葵涌,雍雅軒,2座,和宜合道33號,18樓,H室,6750000.0,657.0,10274.0,473,14271,2021-03-22,2.0
59,新界西,上葵涌,嘉翠園,1座,青山公路葵涌段382號,20樓,A室,5655000.0,573.0,9869.0,465,12161,2021-03-22,2.0
60,新界西,下葵涌,葵涌廣場,3座,葵富路7-11號,高層,C室,8350000.0,666.0,12538.0,493,16937,2021-03-19,3.0
61,新界西,上葵涌,雍雅軒,2座,和宜合道33號,中層,C室,6230000.0,633.0,9842.0,447,13937,2021-03-19,2.0
62,新界西,下葵涌,月海灣,1座,葵聯路100號,中層,E室,6200000.0,588.0,10544.0,403,15385,2021-03-19,2.0
63,新界西,下葵涌,葵興邨,興福樓 (3座),禾葵里2號,12樓,7室,2938000.0,,,428,6864,2021-03-19,
64,新界西,上葵涌,,銀行大廈,大隴街39號,七樓,D室,3400000.0,,,384,8854,2021-03-19,
65,新界西,上葵涌,,葵華大廈,大隴街11號,14樓,E室,4498000.0,488.0,9217.0,396,11359,2021-03-19,
66,新界西,下葵涌,新葵芳花園,E座,葵義路12號,18樓,4室,6000000.0,490.0,12245.0,400,15000,2021-03-19,2.0
67,新界西,上葵涌,雍雅軒,1座,和宜合道33號,33樓,E室,7000000.0,663.0,10558.0,450,15556,2021-03-18,2.0
68,新界西,上葵涌,雍雅軒,2座,和宜合道33號,20樓,F室,6400000.0,665.0,9624.0,474,13502,2021-03-18,2.0
69,新界西,上葵涌,,保基大樓,和宜合道12號,二十一樓,3室,4350000.0,,,410,10610,2021-03-18,
70,新界西,上葵涌,,葵涌花園,和宜合道50-56號,17樓,B室,4720000.0,509.0,9273.0,377,12520,2021-03-18,
71,新界西,上葵涌,,葵涌花園,和宜合道50-56號,17樓,A室,4480000.0,433.0,10346.0,326,13742,2021-03-18,
