,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,馬灣,1期,15座,珀麗路8號,低層,E室,6000000.0,688.0,8721.0,529,11342,2021-04-12,2.0
1,新界西,馬灣,3期,21座,珀麗路8號,32樓,G室,7400000.0,678.0,10914.0,532,13910,2021-04-12,2.0
2,新界西,馬灣,1期,17座,珀麗路8號,2樓,I室,4980000.0,488.0,10205.0,372,13387,2021-04-12,1.0
3,新界西,馬灣,3期,1座,珀麗路8號,19樓,F室,6400000.0,678.0,9440.0,532,12030,2021-04-09,2.0
4,新界西,馬灣,3期,20座,珀麗路8號,12樓,E室,5980000.0,653.0,9158.0,490,12204,2021-04-08,2.0
5,新界西,馬灣,5期,27座,珀麗路8號,17樓,B室,6180000.0,676.0,9142.0,499,12385,2021-04-08,2.0
6,新界西,馬灣,3期,1座,珀麗路8號,高層,H室,8250000.0,771.0,10700.0,579,14249,2021-04-07,3.0
7,新界西,馬灣,5期,29座,珀麗路8號,中層,H室,6150000.0,622.0,9887.0,476,12920,2021-04-07,2.0
8,新界西,馬灣,5期,30座,珀麗路8號,高層,A室,6200000.0,667.0,9295.0,531,11676,2021-04-07,2.0
9,新界西,馬灣,1期,17座,珀麗路8號,9樓,K室,5180000.0,498.0,10402.0,378,13704,2021-04-07,1.0
10,新界西,馬灣,2期,3座,珀麗路8號,15樓,B室,9880000.0,1001.0,9870.0,781,12650,2021-04-07,3.0
11,新界西,馬灣,5期,30座,珀麗路8號,12樓,C室,6700000.0,736.0,9103.0,574,11672,2021-04-07,2.0
12,新界西,馬灣,5期,31座,珀麗路8號,22樓,A室,6200000.0,622.0,9968.0,476,13025,2021-04-07,2.0
13,新界西,馬灣,1期,17座,珀麗路8號,低層,D室,5300000.0,498.0,10643.0,378,14021,2021-04-01,1.0
14,新界西,馬灣,1期,17座,珀麗路8號,高層,H室,5650000.0,488.0,11578.0,361,15651,2021-04-01,1.0
15,新界西,馬灣,1期,13座,珀麗路8號,19樓,G室,6100000.0,694.0,8790.0,531,11488,2021-04-01,2.0
16,新界西,馬灣,5期,26座,珀麗路8號,13樓,H室,6150000.0,622.0,9887.0,476,12920,2021-04-01,2.0
17,新界西,馬灣,5期,27座,珀麗路8號,8樓,C室,6580000.0,736.0,8940.0,574,11463,2021-04-01,2.0
18,新界西,馬灣,2期,5座,珀麗路8號,7樓,F室,10100000.0,1074.0,9404.0,834,12110,2021-04-01,3.0
19,新界西,馬灣,1期,8座,珀麗路8號,7樓,D室,9400000.0,1027.0,9153.0,794,11839,2021-04-01,3.0
20,新界西,馬灣,1期,16座,珀麗路8號,13樓,G室,5800000.0,685.0,8467.0,523,11090,2021-03-31,2.0
21,新界西,馬灣,5期,26座,珀麗路8號,28樓,D室,7450000.0,750.0,9933.0,598,12458,2021-03-31,2.0
22,新界西,馬灣,5期,27座,珀麗路8號,11樓,A室,6000000.0,665.0,9023.0,507,11834,2021-03-31,2.0
23,新界西,馬灣,5期,30座,珀麗路8號,18樓,C室,6880000.0,736.0,9348.0,574,11986,2021-03-31,2.0
