,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,掃管笏,滿名山,滿庭 2座,"青盈路18,28-29號",高層,A室,12000000.0,,,891,13468,2021-04-13,3.0
1,新界西,三聖,,海譽,青榕街3號,中層,A室,12880000.0,1514.0,8507.0,1124,11459,2021-04-13,4.0
2,新界西,油柑頭 | 汀九,恆麗園,4座,悠麗路18號,低層,C室,7180000.0,868.0,8272.0,593,12108,2021-04-13,
3,新界西,油柑頭 | 汀九,恆麗園,4座,悠麗路18號,低層,A室,6880000.0,910.0,7560.0,626,10990,2021-04-12,
4,新界西,油柑頭 | 汀九,,皇璧,悠麗路2A號,中層,C室,43500000.0,3424.0,12704.0,2561,16986,2021-04-12,
5,新界西,深井,1期,4座,青山公路青龍頭段18號,35樓,E室,5860000.0,593.0,9882.0,467,12548,2021-04-12,
6,新界西,掃管笏,OMA BY THE SEA,2座,青山公路大欖段166號,6樓,A9室,6625000.0,,,471,14066,2021-04-12,
7,新界西,掃管笏,OMA BY THE SEA,2座,青山公路大欖段166號,9樓,B2室,8086000.0,,,619,13063,2021-04-12,
8,新界西,掃管笏,OMA BY THE SEA,2座,青山公路大欖段166號,9樓,C1室,5784000.0,,,463,12492,2021-04-12,
9,新界西,深井,1期,4座,青山公路青龍頭段18號,35樓,C室,5230000.0,597.0,8760.0,471,11104,2021-04-12,
10,新界西,青龍頭,5期(帝華軒),2座,龍騰路8號,18樓,C室,11380000.0,1299.0,8761.0,1085,10488,2021-04-12,
11,新界西,掃管笏,3期 帝御‧嵐天,7座,青山公路青山灣段8號,8樓,1室,6247700.0,,,388,16102,2021-04-12,
12,新界西,深井,4期,12座,青山公路青龍頭段44號,23樓,B室,6100000.0,839.0,7271.0,653,9342,2021-04-12,
13,新界西,掃管笏,2期,3座,管翠路8號,3樓,K室,4925000.0,,,322,15295,2021-04-12,
14,新界西,深井,1期,7座,青山公路深井段33號,低層,A室,9960000.0,1010.0,9861.0,755,13192,2021-04-09,3.0
15,新界西,青龍頭,3期,18座,龍騰路60R號,中層,A室,8100000.0,1328.0,6099.0,947,8553,2021-04-09,
16,新界西,青龍頭,2期,明麗閣 (8座),青山公路青龍頭段100號,低層,D室,7030000.0,1188.0,5918.0,828,8490,2021-04-09,
17,新界西,深井,4期,12座,青山公路青龍頭段44號,高層,B室,7580000.0,839.0,9035.0,653,11608,2021-04-09,
18,新界西,掃管笏,愛琴海岸,6座,掃管笏段管青路2號,11樓,D室,7280000.0,719.0,10125.0,549,13260,2021-04-09,2.0
19,新界西,青龍頭,3期,18座,龍騰路60R號,12樓,A室,8100000.0,1328.0,6099.0,947,8553,2021-04-09,
20,新界西,掃管笏,OMA BY THE SEA,2座,青山公路大欖段166號,7樓,A8室,6246000.0,,,472,13233,2021-04-09,
21,新界西,掃管笏,OMA BY THE SEA,1座,青山公路大欖段166號,7樓,B1室,5670000.0,,,463,12246,2021-04-09,
22,新界西,深井,3期,7座,青山公路青龍頭段18號,9樓,E室,7650000.0,828.0,9239.0,632,12104,2021-04-09,
23,新界西,深井,3期,3座,青山公路深井段33號,43樓,F室,7630000.0,669.0,11405.0,515,14816,2021-04-09,2.0
24,新界西,油柑頭 | 汀九,金麗苑,B座,青山公路汀九段200號,7樓,B室,14080000.0,1380.0,10203.0,1015,13872,2021-04-09,
25,新界西,深井,3期,10座,青山公路青龍頭段18號,7樓,E室,7400000.0,828.0,8937.0,632,11709,2021-04-09,
26,新界西,青龍頭,1期,愛都閣 (5座),青山公路青龍頭段100號,21樓,D室,4850000.0,540.0,8981.0,358,13547,2021-04-09,
27,新界西,深井,1期,8座,青山公路深井段33號,65樓,A室,9600000.0,1017.0,9440.0,771,12451,2021-04-09,3.0
28,新界西,青龍頭,逸璟．龍灣,1座,青山公路青龍頭段108號,1樓,E室,4336000.0,,,261,16613,2021-04-09,
29,新界西,掃管笏,3期 帝御‧嵐天,6座,青山公路青山灣段8號,15樓,15室,5307500.0,,,346,15340,2021-04-09,
30,新界西,青龍頭,1期,碧華閣 (6座),青山公路青龍頭段100號,12樓,F室,4200000.0,537.0,7821.0,365,11507,2021-04-09,
31,新界西,掃管笏,滿名山,滿庭 7座,"青盈路18,28-29號",2樓,B室,11600000.0,,,0,0,2021-04-09,3.0
32,新界西,掃管笏,2期,3座,管翠路8號,17樓,F室,5350000.0,,,305,17541,2021-04-09,
33,新界西,掃管笏,2期,3座,管翠路8號,9樓,F室,5050000.0,,,305,16557,2021-04-09,
34,新界西,掃管笏,2期,3座,管翠路8號,9樓,L室,5073000.0,,,321,15804,2021-04-09,
35,新界西,掃管笏,2期,3座,管翠路8號,12樓,F室,5271000.0,,,305,17282,2021-04-09,
36,新界西,掃管笏,2期,3座,管翠路8號,8樓,E室,5097000.0,,,307,16603,2021-04-09,
37,新界西,掃管笏,2期,3座,管翠路8號,12樓,P室,4439000.0,,,238,18651,2021-04-09,
38,新界西,掃管笏,2期,3座,管翠路8號,11樓,P室,4417000.0,,,238,18559,2021-04-09,
39,新界西,掃管笏,2期,3座,管翠路8號,7樓,F室,5000000.0,,,305,16393,2021-04-09,
40,新界西,掃管笏,2期,3座,管翠路8號,10樓,K室,5218000.0,,,322,16205,2021-04-09,
41,新界西,青龍頭,3期,21座,青山公路青龍頭段100號,低層,D室,8420000.0,1328.0,6340.0,947,8891,2021-04-08,3.0
42,新界西,深井,海韻花園,5座,青山公路深井段38號,中層,A室,6880000.0,832.0,8269.0,681,10103,2021-04-08,3.0
43,新界西,深井,3期,9座,青山公路青龍頭段18號,中層,A室,5280000.0,544.0,9706.0,412,12816,2021-04-08,
44,新界西,深井,1期,9座,青山公路深井段33號,中層,F室,6900000.0,703.0,9815.0,524,13168,2021-04-08,2.0
45,新界西,掃管笏,愛琴海岸,7座,掃管笏段管青路2號,12樓,E室,9600000.0,955.0,10052.0,741,12955,2021-04-08,3.0
46,新界西,深井,1期,7座,青山公路深井段33號,53樓,G室,7000000.0,703.0,9957.0,524,13359,2021-04-08,2.0
