,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,天水圍,1期,3座,天恩路2號,高層,B室,6680000.0,666.0,10030.0,502,13307,2021-04-12,2.0
1,新界西,天水圍,天頌苑,頌月閣 (H座),天榮路3號,低層,3室,3480000.0,664.0,5241.0,506,6877,2021-04-12,
2,新界西,天水圍,天盛苑,盛泉閣 (O座),天靖街3號,中層,1室,5150000.0,847.0,6080.0,650,7923,2021-04-12,
3,新界西,天水圍,1期 樂湖居,11座,天湖路1號,27樓,H室,6300000.0,714.0,8824.0,549,11475,2021-04-12,
4,新界西,天水圍,1期,2座,天恩路2號,15樓,C室,6380000.0,658.0,9696.0,493,12941,2021-04-12,2.0
5,新界西,天水圍,慧景軒,2座,天葵路33號,5樓,G室,5830000.0,724.0,8052.0,544,10717,2021-04-12,2.0
6,新界西,天水圍,天頌苑,頌琴閣 (N座),天榮路3號,18樓,6室,4600000.0,575.0,8000.0,429,10723,2021-04-12,
7,新界西,天水圍,7期 景湖居,6座,天龍路2號,25樓,E室,5380000.0,581.0,9260.0,446,12063,2021-04-12,
8,新界西,天水圍,7期 景湖居,8座,天龍路2號,37樓,A室,6300000.0,820.0,7683.0,635,9921,2021-04-12,
9,新界西,天水圍,,天麗苑,天喜街11號,26樓,7室,4750000.0,575.0,8261.0,0,0,2021-04-12,
10,新界西,天水圍,7期 景湖居,4座,天龍路2號,中層,D室,6480000.0,709.0,9140.0,544,11912,2021-04-09,
11,新界西,天水圍,7期 景湖居,1座,天龍路2號,低層,A室,6400000.0,815.0,7853.0,638,10031,2021-04-09,
12,新界西,天水圍,7期 景湖居,14座,天龍路2號,中層,H室,6010000.0,704.0,8537.0,550,10927,2021-04-09,
13,新界西,天水圍,7期 景湖居,11座,天龍路2號,高層,D室,6200000.0,709.0,8745.0,544,11397,2021-04-09,
14,新界西,天水圍,5期 麗湖居,10座,天葵路3號,25樓,G室,5808000.0,709.0,8192.0,547,10618,2021-04-09,
15,新界西,天水圍,天富苑,聚富閣 (J座),天秀路15號,40樓,5室,4930000.0,854.0,5773.0,0,0,2021-04-09,3.0
16,新界西,天水圍,天愛苑,愛潮閣 (A座),天水圍,13樓,12室,4880000.0,,,546,8938,2021-04-09,
17,新界西,天水圍,7期 景湖居,13座,天龍路2號,18樓,E室,5350000.0,581.0,9208.0,446,11996,2021-04-09,
18,新界西,天水圍,1期,5座,天恩路2號,59樓,G室,6950000.0,666.0,10435.0,502,13845,2021-04-09,2.0
19,新界西,天水圍,天盛苑,盛彩閣 (A座),天靖街3號,低層,7室,5265000.0,580.0,9078.0,433,12159,2021-04-08,
20,新界西,天水圍,1期,5座,天恩路2號,41樓,G室,6100000.0,666.0,9159.0,502,12151,2021-04-08,2.0
21,新界西,天水圍,天愛苑,愛濤閣 (B座),天水圍,18樓,16室,4000000.0,741.0,5398.0,541,7394,2021-04-08,
22,新界西,天水圍,7期 景湖居,1座,天龍路2號,27樓,F室,5320000.0,576.0,9236.0,442,12036,2021-04-08,
23,新界西,天水圍,天頌苑,頌碧閣 (E座),天榮路3號,15樓,4室,4300000.0,,,650,6615,2021-04-08,
24,新界西,天水圍,1期,6座,天恩路2號,高層,G室,7000000.0,777.0,9009.0,578,12111,2021-04-07,3.0
25,新界西,天水圍,5期 麗湖居,3座,天葵路3號,高層,E室,10550000.0,1200.0,8792.0,1002,10529,2021-04-07,
26,新界西,天水圍,2期 栢慧豪廷,7座,天恩路2號,22樓,C室,6090000.0,673.0,9049.0,510,11941,2021-04-07,2.0
27,新界西,天水圍,5期 麗湖居,3座,天葵路3號,19樓,C室,5880000.0,709.0,8293.0,546,10769,2021-04-07,
28,新界西,天水圍,天盛苑,盛勤閣 (E座),天靖街3號,20樓,6室,5080000.0,,,650,7815,2021-04-07,
29,新界西,天水圍,天頌苑,頌澤閣 (M座),天榮路3號,5樓,6室,4630000.0,579.0,7997.0,433,10693,2021-04-07,
30,新界西,天水圍,天頌苑,頌琴閣 (N座),天榮路3號,中層,6室,4600000.0,575.0,8000.0,429,10723,2021-04-01,
31,新界西,天水圍,6期 美湖居,2座,天龍路9號,高層,A室,6750000.0,825.0,8182.0,629,10731,2021-04-01,
32,新界西,天水圍,3期 翠湖居,5座,天瑞路8號,低層,E室,5300000.0,579.0,9154.0,448,11830,2021-04-01,
33,新界西,天水圍,2期 栢慧豪廷,7座,天恩路2號,中層,E室,7680000.0,883.0,8698.0,667,11514,2021-04-01,3.0
34,新界西,天水圍,5期 麗湖居,6座,天葵路3號,中層,H室,6050000.0,709.0,8533.0,547,11060,2021-04-01,
35,新界西,天水圍,7期 景湖居,4座,天龍路2號,34樓,E室,5450000.0,581.0,9380.0,446,12220,2021-04-01,
36,新界西,天水圍,天富苑,亨富閣 (B座),天秀路15號,3樓,5室,4050000.0,,,650,6231,2021-04-01,
37,新界西,天水圍,屏欣苑,A座 (屏愛閣),屏夏路65號,6樓,5室,5300000.0,,,445,11910,2021-04-01,1.0
38,新界西,天水圍,7期 景湖居,2座,天龍路2號,29樓,A室,6580000.0,820.0,8024.0,635,10362,2021-04-01,
39,新界西,天水圍,2期 栢慧豪廷,8座,天恩路2號,58樓,E室,7000000.0,666.0,10511.0,504,13889,2021-04-01,2.0
40,新界西,天水圍,1期 樂湖居,4座,天湖路1號,5樓,C室,5000000.0,708.0,7062.0,551,9074,2021-04-01,
41,新界西,天水圍,1期,5座,天恩路2號,21樓,B室,6225000.0,666.0,9347.0,502,12400,2021-04-01,2.0
42,新界西,天水圍,6期 美湖居,2座,天龍路9號,31樓,B室,6680000.0,815.0,8196.0,623,10722,2021-04-01,
43,新界西,天水圍,7期 景湖居,12座,天龍路2號,3樓,D室,5000000.0,704.0,7102.0,547,9141,2021-04-01,
44,新界西,天水圍,3期 翠湖居,2座,天瑞路8號,11樓,E室,4780000.0,579.0,8256.0,448,10670,2021-04-01,
