,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,荃景圍,2期,9座,荃景圍82號,低層,F室,5680000.0,457.0,12429.0,380,14947,2021-04-14,2.0
1,新界西,麗城,1期,3座,青山公路荃灣段530-590號,中層,F室,6300000.0,592.0,10642.0,481,13098,2021-04-14,2.0
2,新界西,麗城,2期,8座,青山公路荃灣段620號,高層,C室,7070000.0,668.0,10584.0,572,12360,2021-04-12,3.0
3,新界西,愉景新城,3期,12座,青山公路荃灣段398號,中層,B室,7630000.0,593.0,12867.0,477,15996,2021-04-12,2.0
4,新界西,麗城,3期,2座,青山公路荃灣段625號,高層,C室,8500000.0,898.0,9465.0,742,11456,2021-04-12,3.0
5,新界西,荃景圍,2期,8座,荃景圍84號,高層,F室,5800000.0,465.0,12473.0,380,15263,2021-04-12,2.0
6,新界西,荃灣西,爵悅庭,西爵軒 (B1),楊屋道90-114號,低層,H室,7630000.0,643.0,11866.0,464,16444,2021-04-12,1.0
7,新界西,荃灣市中心,尚翠苑,B座 (翠河閣),沙咀道376號,高層,7室,5718000.0,,,441,12966,2021-04-12,
8,新界西,荃灣西,3期,7座,大河道100號,28樓,C室,8400000.0,,,391,21483,2021-04-12,1.0
9,新界西,荃灣西,萬景峰,6座,楊屋道1號,62樓,A室,20600000.0,1341.0,15362.0,1011,20376,2021-04-12,4.0
10,新界西,荃景圍,,千里台,荃景圍200號,11樓,D室,6100000.0,691.0,8828.0,551,11071,2021-04-12,
11,新界西,麗城,2期,7座,青山公路荃灣段620號,14樓,D室,7300000.0,786.0,9288.0,668,10928,2021-04-12,3.0
12,新界西,綠楊,綠楊新邨,P座,蕙荃路22-66號,18樓,1室,9000000.0,671.0,13413.0,582,15464,2021-04-12,3.0
13,新界西,荃灣海濱,海濱花園,海觀閣 (9座),怡樂街2-12號,33樓,A室,7320000.0,632.0,11582.0,497,14728,2021-04-12,3.0
14,新界西,荃灣西,環宇海灣,8座,永順街48號,8樓,F室,9800000.0,,,660,14848,2021-04-12,3.0
15,新界西,荃灣西,3期A  海之戀．愛炫美,3A座,大河道100號,19樓,D室,17500000.0,,,820,21341,2021-04-12,3.0
16,新界西,荃景圍,1期,4座,荃景圍79號,4樓,H室,6000000.0,616.0,9740.0,495,12121,2021-04-12,2.0
17,新界西,麗城,2期,6座,青山公路荃灣段620號,19樓,H室,7530000.0,786.0,9580.0,668,11272,2021-04-12,3.0
18,新界西,荃灣西,柏傲灣,1B座,永順街51號,16樓,F室,6200000.0,,,0,0,2021-04-12,
19,新界西,荃灣半山,1期,2座,荃錦公路108號,19樓,A室,11650000.0,1358.0,8579.0,1039,11213,2021-04-12,3.0
20,新界西,荃景圍,荃德花園,A座,荃景圍208號,17樓,H室,4630000.0,439.0,10547.0,0,0,2021-04-12,
21,新界西,麗城,灣景花園,3座,青山公路荃灣段633號,12樓,A室,7780000.0,738.0,10542.0,610,12754,2021-04-12,3.0
22,新界西,麗城,1期,3座,青山公路荃灣段530-590號,32樓,A室,8130000.0,830.0,9795.0,644,12624,2021-04-12,3.0
23,新界西,麗城,翠濤閣,1座,青山公路荃灣段644-654號,3樓,D室,7320000.0,784.0,9337.0,703,10413,2021-04-12,3.0
24,新界西,荃灣西,爵悅庭,東爵軒 (A1),楊屋道90-114號,41樓,H室,9690000.0,765.0,12667.0,553,17523,2021-04-12,3.0
25,新界西,荃灣西,全．城匯,7座,大河道98號,27樓,C室,10000000.0,,,0,0,2021-04-12,2.0
26,新界西,麗城,韻濤居,C座,青山公路荃灣段623號,26樓,3室,7980000.0,754.0,10584.0,570,14000,2021-04-12,3.0
27,新界西,荃灣市中心,,友聯樓,沙咀道188A號,二樓,2室,4688000.0,,,502,9339,2021-04-12,
28,新界西,荃灣半山,1期,2座,荃錦公路108號,10樓,D室,11000000.0,1358.0,8100.0,1039,10587,2021-04-12,3.0
29,新界西,荃景圍,荃威花園,D座,荃景圍189號,14樓,3室,4950000.0,505.0,9802.0,0,0,2021-04-12,
30,新界西,荃灣西,御凱,2座,楊屋道18號,23樓,B室,18300000.0,1261.0,14512.0,947,19324,2021-04-12,4.0
31,新界西,麗城,1期,1座,青山公路荃灣段530-590號,1樓,B室,5400000.0,582.0,9278.0,470,11489,2021-04-12,2.0
32,新界西,麗城,1期,3座,青山公路荃灣段530-590號,29樓,B室,6600000.0,582.0,11340.0,470,14043,2021-04-12,2.0
33,新界西,荃灣西,全．城匯,5座,大河道98號,27樓,E室,15500000.0,,,839,18474,2021-04-12,3.0
34,新界西,荃灣市中心,,金豐閣,禾笛街19號,中層,D室,6028000.0,532.0,11331.0,361,16698,2021-04-09,2.0
35,新界西,荃灣西,全．城匯,3座,大河道98號,低層,C室,10200000.0,,,536,19030,2021-04-09,2.0
36,新界西,綠楊,綠楊新邨,Q座,蕙荃路22-66號,低層,5室,6800000.0,555.0,12252.0,475,14316,2021-04-09,2.0
37,新界西,麗城,3期,6座,青山公路荃灣段625號,高層,B室,9028000.0,896.0,10076.0,742,12167,2021-04-09,3.0
