,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,東涌市中心,3期 悅濤軒,10座,健東路1號,低層,E室,6950000.0,735.0,9456.0,544,12776,2021-04-13,2.0
1,新界西,東涌市中心,1期,1座,海濱路12號,低層,D室,10000000.0,1052.0,9506.0,805,12422,2021-04-13,3.0
2,新界西,東涌市中心,1期,5座,海濱路12號,高層,C室,10000000.0,1189.0,8410.0,874,11442,2021-04-12,3.0
3,新界西,東涌市中心,1期,5座,海濱路12號,高層,D室,9800000.0,1028.0,9533.0,771,12711,2021-04-12,3.0
4,新界西,東涌市中心,昇薈,8座,東涌市地段37號,中層,A室,11830000.0,,,1034,11441,2021-04-12,3.0
5,新界西,東涌市中心,海堤灣畔,3座,海濱路8號,高層,A室,8100000.0,766.0,10574.0,573,14136,2021-04-12,2.0
6,新界西,東涌市中心,1期,6座,海濱路12號,高層,E室,8000000.0,648.0,12346.0,492,16260,2021-04-12,2.0
7,新界西,東涌市中心,3期 悅濤軒,9座,健東路1號,57樓,G室,9165000.0,1025.0,8941.0,0,0,2021-04-12,3.0
8,新界西,東涌市中心,1期 賞濤軒,2座,健東路2號,56樓,F室,6600000.0,657.0,10046.0,495,13333,2021-04-12,2.0
9,新界西,東涌市中心,2期,9座,美東街,5樓,E室,7350000.0,803.0,9153.0,590,12458,2021-04-12,
10,新界西,東涌市中心,海堤灣畔,3座,海濱路8號,17樓,A室,8080000.0,766.0,10548.0,562,14377,2021-04-12,2.0
11,新界西,東涌市中心,2期 映濤軒,7座,健東路1號,31樓,E室,6800000.0,728.0,9341.0,543,12523,2021-04-12,2.0
12,新界西,東涌市中心,1期,5A座,迎康街6號,6樓,5室,6650000.0,,,468,14209,2021-04-12,2.0
13,新界西,東涌市中心,2期,1B座,迎康街6號,3樓,11室,5400000.0,,,0,0,2021-04-12,1.0
14,新界西,東涌市中心,昇薈,3座,東涌市地段37號,11樓,E室,9000000.0,,,962,9356,2021-04-12,3.0
15,新界西,東涌市中心,3期 悅濤軒,11座,健東路1號,62樓,H室,11100000.0,1228.0,9039.0,0,0,2021-04-12,3.0
16,新界西,東涌市中心,2期,1B座,迎康街6號,21樓,11室,5600000.0,,,381,14698,2021-04-12,1.0
