,region,district,estate,building,address,floor,flat,price,gross_area,gross_unit_price,net_area,net_unit_price,reg_date,bedroom_count
0,新界西,元朗市中心,御庭居,2座,馬田路80號,中層,G室,6328000,636.0,9950.0,471,13435,2021-04-13,2.0
1,新界西,朗屏,,宏富苑,宏業西街29號,低層,17室,4638000,,,435,10662,2021-04-13,
2,新界西,洪水橋北新發展,泉薈,2座,洪元路88號,中層,A室,6050000,668.0,9057.0,516,11725,2021-04-13,2.0
3,新界西,元朗市中心,,偉發大廈,鳳翔路5F號,高層,F室,4380000,420.0,10429.0,353,12408,2021-04-12,
4,新界西,元朗站,新元朗中心,3座,朗日路8號,高層,F室,6800000,576.0,11806.0,466,14592,2021-04-12,
5,新界西,元朗站,新元朗中心,2座,朗日路8號,高層,C室,7080000,576.0,12292.0,466,15193,2021-04-12,
6,新界西,元朗東南,尚悅,8座,十八鄉路11號,低層,G室,7700000,900.0,8556.0,660,11667,2021-04-12,3.0
7,新界西,元朗東南,朗晴居,7座,鳳翔路100號,中層,D室,6750000,682.0,9897.0,573,11780,2021-04-12,
8,新界西,十八鄉,原築,5座,十八鄉路83號,低層,D室,5675000,586.0,9684.0,449,12639,2021-04-12,2.0
9,新界西,元朗南新發展,逸翠軒,3座,沙井路38號,,B室,7700000,718.0,10724.0,577,13345,2021-04-12,3.0
10,新界西,元朗市中心,,金馬大廈,鳳翔路45-67號,中層,F室,4138000,375.0,11035.0,296,13980,2021-04-09,
11,新界西,十八鄉,溱柏,9座,公庵路68號,高層,H室,4430000,,,272,16287,2021-04-09,
12,新界西,元朗市中心,好順景大廈,1座 (A座),鳳攸南街3號,低層,B室(2號室),4050000,440.0,9205.0,309,13107,2021-04-09,
13,新界西,元朗市中心,御景園,7座,公園南路25號,高層,D室,5780000,626.0,9233.0,491,11772,2021-04-09,
14,新界西,錦田,爾巒,茵娜大道 6座,映河路1號,高層,B室,8730000,835.0,10455.0,649,13451,2021-04-09,3.0
15,新界西,元朗東南,尚悅,11座,十八鄉路11號,中層,E室,5200000,492.0,10569.0,355,14648,2021-04-09,2.0
16,新界西,元朗市中心,好順泰大廈,B座,西菁街10號,高層,E室(5室),4380000,380.0,11526.0,290,15103,2021-04-09,
17,新界西,朗屏,朗屏8號,3座,擴業街8號,中層,E室,6150000,,,371,16577,2021-04-09,1.0
18,新界西,元朗東南,尚悅,13座,十八鄉路11號,低層,A室,5800000,588.0,9864.0,434,13364,2021-04-09,2.0
19,新界西,錦田,爾巒,茵娜大道 8座,映河路1號,中層,C室,6900000,593.0,11636.0,466,14807,2021-04-09,2.0
20,新界西,元朗站,尚豪庭,2座,寶業街18號,中層,C室,7280000,665.0,10947.0,512,14219,2021-04-09,2.0
21,新界西,元朗市中心,御豪山莊,7座,公園北路38號,高層,A室,6100000,652.0,9356.0,489,12474,2021-04-09,
22,新界西,元朗市中心,柏麗豪園,5座,公園南路23號,中層,C室,8030000,925.0,8681.0,800,10038,2021-04-09,
23,新界西,十八鄉,溱柏,2座,公庵路68號,中層,D室,11200000,,,952,11765,2021-04-09,3.0
24,新界西,元朗站,2期,6座,元龍街9號,低層,D室,12100000,1153.0,10494.0,898,13474,2021-04-08,3.0
25,新界西,錦田,1B期,7B座,青山公路潭尾段18號,低層,B室,6540000,,,496,13185,2021-04-08,2.0
26,新界西,元朗站,1期,9座,元龍街8號,低層,B室,7580000,704.0,10767.0,545,13908,2021-04-08,3.0
27,新界西,十八鄉,溱柏,9座,公庵路68號,高層,H室,4900000,,,272,18015,2021-04-07,
28,新界西,元朗站,尚豪庭,2座,寶業街18號,高層,D室,10480000,1122.0,9340.0,867,12088,2021-04-07,3.0
29,新界西,錦田,爾巒,茵羅洛斯大道 3座,映河路1號,低層,C室,10000000,1131.0,8842.0,886,11287,2021-04-07,3.0
30,新界西,元朗站,新元朗中心,1座,朗日路8號,低層,A室,6610000,599.0,11035.0,485,13629,2021-04-07,
31,新界西,錦田,2A期,15B座,青山公路潭尾段18號,低層,B室,9990000,,,716,13953,2021-04-07,3.0
