year,month,number
2016,1,7336.6
2016,2,7336.6
2016,3,7336.6
2016,4,7336.6
2016,5,7336.6
2016,6,7336.6
2016,7,7377.1
2016,8,7377.1
2016,9,7377.1
2016,10,7377.1
2016,11,7377.1
2016,12,7377.1
2017,1,7391.7
2017,2,7391.7
2017,3,7391.7
2017,4,7391.7
2017,5,7391.7
2017,6,7391.7
2017,7,7413.1
2017,8,7413.1
2017,9,7413.1
2017,10,7413.1
2017,11,7413.1
2017,12,7413.1
2018,1,7451
2018,2,7451
2018,3,7451
2018,4,7451
2018,5,7451
2018,6,7451
2018,7,7486.4
2018,8,7486.4
2018,9,7486.4
2018,10,7486.4
2018,11,7486.4
2018,12,7486.4
2019,1,7507.4
2019,2,7507.4
2019,3,7507.4
2019,4,7507.4
2019,5,7507.4
2019,6,7507.4
2019,7,7520.8
2019,8,7520.8
2019,9,7520.8
2019,10,7520.8
2019,11,7520.8
2019,12,7520.8
2020,1,7509.2
2020,2,7509.2
2020,3,7509.2
2020,4,7509.2
2020,5,7509.2
2020,6,7509.2
