,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT F 21/F BLOCK 1 BROADVIEW COURT ,19,23/12/2020,5.6,422,505,13270,11089,-,
1,FLAT 7 23/F TUNG YIP HOUSE LEI TUNG ESTATE ,33,23/12/2020,2.9,381,-,7612,-,-,
2,FLAT D 8/F FU WING YUEN (BLOCK H-19) CHI FU FA YUEN ,39,23/12/2020,6,-,518,-,11583,-,
3,FLAT C 20/F TOWER 1 JING HUI GARDEN ,31,23/12/2020,5.7,406,529,14039,10775,6116,385
4,FLAT 7 27/F TUNG YAT HOUSE LEI TUNG ESTATE ,32,22/12/2020,3.45,381,-,9055,-,-,
5,FLAT 5 35/F CHOI ON HOUSE (BLOCK B) YUE ON COURT ,32,22/12/2020,6.75,493,604,13692,11175,-,
6,FLAT B 9/F HUNG FOOK COURT  ,28,21/12/2020,5.2,300,464,17333,11207,1555,31
7,FLAT A 7/F FU LAI YUEN (BLOCK H-1) CHI FU FA YUEN ,42,21/12/2020,6.55,439,518,14920,12645,3038,71
8,FLAT F 18/F FU KING YUEN (BLOCK H-4) CHI FU FA YUEN ,42,18/12/2020,9.1,588,694,15476,13112,3943,128
9,FLAT E 16/F BILLION COURT  ,30,18/12/2020,6,386,486,15544,12346,3442,200
10,FLAT 9 15/F KA KIT HOUSE (BLOCK D) KA LUNG COURT ,29,18/12/2020,7.12,554,712,12852,10000,-,
11,FLAT 6 11/F HOI LUNG COURT (BLOCK N) ABERDEEN CENTRE ,41,18/12/2020,6.62,432,526,15324,12586,2538,45
12,FLAT A 5/F BLOCK 5 POKFULAM GARDENS ,41,18/12/2020,10,705,833,14184,12005,1986,6
13,FLAT C 32/F TOWER 8 LARVOTTO ,10,17/12/2020,13,596,771,21812,16861,1212,13
14,FLAT 5 5/F KING FAI HOUSE (BLOCK E) YUE FAI COURT ,40,17/12/2020,5.57,419,502,13294,11096,-,
15,FLAT 13 8/F TUNG ON HOUSE LEI TUNG ESTATE ,32,17/12/2020,3.67,490,-,7486,-,-,
16,FLAT J 16/F JUMBO COURT  ,41,17/12/2020,6.88,413,494,16659,13927,6109,446
17,FLAT H 9/F FU CHAK YUEN (BLOCK H-18) CHI FU FA YUEN ,39,16/12/2020,5.68,439,518,12938,10965,-,
18,FLAT B 22/F BLOCK 1 SOUTH WAVE COURT ,25,16/12/2020,6.8,589,715,11545,9510,-,
19,FLAT 1 24/F HOI WU COURT (BLOCK D) ABERDEEN CENTRE ,41,16/12/2020,6.9,438,529,15753,13043,5127,281
20,FLAT D 20/F BLOCK 5 POKFULAM GARDENS ,41,16/12/2020,11,705,833,15603,13205,2961,45
21,FLAT 3 22/F BLOCK B ABBA HOUSE ,37,15/12/2020,5.4,325,422,16615,12796,8620,980
22,FLAT A 18/F TOWER 1 MARINELLA ,8,15/12/2020,63.9,1949,2501,32786,25550,3299,17
23,FLAT A 15/F BLOCK 1 WATERFRONT SOUTH ,21,14/12/2020,9.52,600,870,15867,10943,8067,226
24,FLAT D 18/F BLOCK 19 BAGUIO VILLA ,41,14/12/2020,23.5,1363,1520,17241,15461,6255,339
25,FLAT F 16/F FU YI YUEN (BLOCK H-7) CHI FU FA YUEN ,42,14/12/2020,8.3,588,694,14116,11960,2260,33
26,FLAT E 39/F BLOCK 1 SHAM WAN TOWERS ,16,14/12/2020,8.98,483,643,18592,13966,3189,74
27,FLAT A 21/F MAY COURT  ,24,14/12/2020,5.5,278,485,19784,11340,8775,161
28,FLAT C 8/F BLOCK 3 SHAM WAN TOWERS ,16,14/12/2020,9.48,511,670,18552,14149,4853,180
29,FLAT C 18/F POKFULAM TERRACE  ,17,14/12/2020,7.8,523,688,14914,11337,4782,171
30,FLAT G 9/F FU CHAK YUEN (BLOCK H-18) CHI FU FA YUEN ,39,11/12/2020,7.5,588,694,12755,10807,3853,92
31,FLAT 3 29/F BLOCK A ABBA HOUSE ,37,11/12/2020,7.4,460,584,16087,12671,2943,85
32,FLAT K 4/F BLOCK 1 BROADVIEW COURT ,19,10/12/2020,6.45,591,707,10914,9123,-,
33,FLAT D 5/F BLOCK 2 WATERFRONT SOUTH ,21,10/12/2020,7.2,479,688,15031,10465,1502,22
34,FLAT 2 15/F HOI CHUN COURT (BLOCK A) ABERDEEN CENTRE ,41,10/12/2020,6.3,438,529,14384,11909,2926,52
