,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 7 26/F BLOCK A SMITHFIELD TERRACE ,34,23/12/2020,5.3,262,357,20229,14846,3394,89
1,FLAT 1 23/F TOWER 1 HARBOUR VIEW GARDEN ,28,23/12/2020,12.9,595,820,21681,15732,4644,161
2,FLAT C 9/F MANIFOLD COURT  ,40,23/12/2020,6.7,381,568,17585,11796,-,
3,FLAT 9 (NO. 358A) 13/F CHUNG AH MANSION  ,56,22/12/2020,4.3,343,-,12536,-,-,
4,FLAT C 13/F FOOK ON MANSION  ,40,22/12/2020,6.18,382,509,16178,12141,1917,33
5,FLAT C 13/F KWOK GA BUILDING  ,33,22/12/2020,5.6,308,406,18182,13793,7833,375
6,FLAT E 17/F HANG (HAN) YU BUILDING  ,40,22/12/2020,3.3,195,233,16923,14163,4576,291
7,FLAT J 24/F BLOCK 1 SMITHFIELD COURT ,35,21/12/2020,6.5,330,420,19697,15476,1795,25
8,FLAT 10 12/F LUEN HONG APARTMENTS  ,49,21/12/2020,5.35,391,480,13683,11146,4788,224
9,FLAT C 20/F RICHSUN GARDEN  ,21,21/12/2020,7.5,363,552,20661,13587,2480,52
10,FLAT 2 17/F BLOCK B KA ON BUILDING ,32,21/12/2020,9.28,482,655,19253,14168,2597,55
11,FLAT A 3/F KING'S BUILDING  ,37,21/12/2020,5.01,344,435,14564,11517,9080,291
12,FLAT E 16/F TOWER 3 THE MERTON ,16,21/12/2020,9.68,471,615,20552,15740,5351,261
13,NO. 425P (REAR) 2/F NO. 425N - 425P WING WAH MANSION ,58,21/12/2020,5,476,-,10504,-,-,
14,FLAT H 5/F TRUE LIGHT BUILDING  ,43,21/12/2020,6.18,381,462,16220,13377,4689,217
15,NO. 18 4/F 16-18 HIGH STREET  ,42,21/12/2020,3.8,257,-,14786,-,4933,222
16,NO. 1 5/F 1-1A SUNG HING LANE  ,49,21/12/2020,4.97,642,-,7748,-,3668,91
17,NO. 1A 5/F 1-1A SUNG HING LANE  ,49,21/12/2020,4.97,270,-,18422,-,-,
18,FLAT A 5/F LAI WAH HOUSE   (with roof),46,21/12/2020,4.48,265,-,16913,-,5249,540
19,NO. 4 (FLAT C) 3/F SUNG HING BUILDING  ,51,21/12/2020,5.7,380,-,14997,-,2793,90
20,NO. 1A 4/F 1-1A SUNG HING LANE  ,49,21/12/2020,5.11,321,-,15931,-,1469,109
21,NO. 218 2/F 218 DES VOEUX ROAD WEST  ,61,21/12/2020,8.56,595,-,14393,-,5691,932
22,FLAT C 30/F BLOCK 1 DRAGONFAIR GARDEN ,28,18/12/2020,6.7,307,429,21824,15618,5107,283
23,FLAT D 19/F BLOCK 1 KONG CHIAN TOWER ,34,18/12/2020,5.38,279,369,19283,14580,1372,23
24,FLAT A 29/F MANHATTAN HEIGHTS  ,20,18/12/2020,9.6,434,623,22120,15409,1734,28
25,FLAT A 22/F LAI YIN COURT  ,29,18/12/2020,8.9,527,738,16888,12060,1121,11
26,FLAT C 16/F HANG HING COURT  ,36,18/12/2020,4.88,241,-,20249,-,2788,79
27,FLAT D 25/F SUNGLOW BUILDING  ,31,18/12/2020,8.8,411,512,21411,17188,2147,22
28,FLAT 4 8/F LUEN HONG APARTMENTS  ,49,17/12/2020,5.28,391,-,13504,-,-,
29,FLAT A 14/F WO FAT BUILDING  ,45,17/12/2020,4.55,258,-,17636,-,1346,18
