,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT A 5/F HANG SHUN BUILDING  ,40,23/12/2020,3.65,263,313,13878,11661,2433,38
1,FLAT C 7/F SUNNY COURT  ,25,23/12/2020,4,288,462,13889,8658,2455,43
2,FLAT D 26/F WEST WING THE VERTEX ,0,23/12/2020,6.13,238,-,25773,-,-,-
3,FLAT F 7/F BLOCK 2 MANOR CENTRE ,34,23/12/2020,4.58,306,374,14967,12246,-,
4,FLAT C 1/F FUK LUNG BUILDING  ,28,23/12/2020,4.16,248,335,16774,12418,1297,8
5,FLAT A 14/F GREEN COURT  ,31,22/12/2020,4.21,293,436,14369,9656,5318,378
6,FLAT A 9/F MAN WOO BUILDING  ,39,22/12/2020,3.82,182,255,20989,14980,4193,241
7,FLAT B 18/F HIGH ONE GRAND  ,5,22/12/2020,5.64,296,-,19047,-,1156,9
8,FLAT A 6/F ON FAI BUILDING  ,40,22/12/2020,4.08,284,-,14366,-,-,
9,FLAT F 8/F TOWER 1 HEYA GREEN ,7,22/12/2020,9.98,622,777,16045,12844,1484,23
10,FLAT 15 17/F HOI TAK COURT  ,0,22/12/2020,3,-,-,-,-,-,-
11,FLAT F 8/F CHI FAI COURT  ,37,22/12/2020,3.5,263,335,13308,10448,5522,428
12,FLAT 14 36/F HOI TAK COURT  ,0,22/12/2020,3.1,-,-,-,-,-,-
13,FLAT 12 2/F HOI TAK COURT  ,0,22/12/2020,2.01,-,-,-,-,-,-
14,FLAT 11 12/F HOI TAK COURT  ,0,22/12/2020,2.1,-,-,-,-,-,-
15,FLAT 15 24/F HOI TAK COURT  ,0,22/12/2020,3.06,-,-,-,-,-,-
16,FLAT 11 5/F HOI TAK COURT  ,0,22/12/2020,2.03,-,-,-,-,-,-
17,FLAT 19 38/F HOI TAK COURT  ,0,22/12/2020,3.18,-,-,-,-,-,-
18,FLAT 7 13/F HOI TAK COURT  ,0,22/12/2020,2.88,-,-,-,-,-,-
19,FLAT 12 15/F HOI TAK COURT  ,0,22/12/2020,2.18,-,-,-,-,-,-
20,FLAT 11 15/F HOI TAK COURT  ,0,22/12/2020,2.12,-,-,-,-,-,-
21,FLAT 12 4/F HOI TAK COURT  ,0,22/12/2020,2.08,-,-,-,-,-,-
22,FLAT 18 2/F HOI TAK COURT  ,0,22/12/2020,2.77,-,-,-,-,-,-
23,FLAT 14 21/F HOI TAK COURT  ,0,22/12/2020,2.99,-,-,-,-,-,-
24,FLAT 12 6/F HOI TAK COURT  ,0,22/12/2020,2.1,-,-,-,-,-,-
25,FLAT 15 6/F HOI TAK COURT  ,0,22/12/2020,2.88,-,-,-,-,-,-
26,FLAT 13 20/F HOI TAK COURT  ,0,22/12/2020,3.01,-,-,-,-,-,-
27,FLAT 12 7/F HOI TAK COURT  ,0,22/12/2020,2.11,-,-,-,-,-,-
28,FLAT 7 9/F HOI TAK COURT  ,0,22/12/2020,2.83,-,-,-,-,-,-
29,FLAT 7 2/F HOI TAK COURT  ,0,22/12/2020,2.56,-,-,-,-,-,-
30,FLAT 12 14/F HOI TAK COURT  ,0,22/12/2020,2.17,-,-,-,-,-,-
31,FLAT 11 7/F HOI TAK COURT  ,0,22/12/2020,2.05,-,-,-,-,-,-
