,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT 9 2/F CHUN HONG HOUSE (BLOCK E) TIN MA COURT ,34,23/12/2020,4.4,363,495,12121,8889,-,
1,NO. 3 4/F GOLDEN PHOENIX BUILDING  ,55,23/12/2020,3.35,381,-,8793,-,7718,329
2,FLAT 12 30/F CHUN HONG HOUSE (BLOCK E) TIN MA COURT ,34,23/12/2020,4.8,-,461,-,10412,-,
3,FLAT 5 (NO. 26) 1/F MAN YUE MANSION (BUILDING)  ,56,23/12/2020,3.98,480,-,8292,-,-,
4,FLAT C 8/F TOWER 5B LIONS RISE ,8,23/12/2020,9.3,505,656,18416,14177,3025,12
5,FLAT H 41/F THE FOREST HILLS  ,12,23/12/2020,7.38,439,627,16811,11770,2793,50
6,FLAT A 5/F KA WAH BUILDING  ,44,23/12/2020,3.75,286,400,13112,9375,1836,39
7,FLAT 2 22/F FU NGA HOUSE (BLOCK F) FU KEUNG COURT ,25,22/12/2020,10,645,824,15504,12136,-,
8,FLAT 6 29/F ON YAN HOUSE (BLOCK A) TSZ ON COURT ,26,22/12/2020,6.38,433,593,14734,10759,-,
9,FLAT G 5/F PEARL HOUSE  ,39,22/12/2020,4.23,320,411,13219,10292,1513,37
10,FLAT 1 24/F CHUN WAI HOUSE (BLOCK B) TIN MA COURT ,34,22/12/2020,5,363,495,13774,10101,-,
11,FLAT A 28/F TOWER 6B LIONS RISE ,8,22/12/2020,16.38,944,1223,17352,13393,2771,11
12,NO. 71 1/F 71 SA PO ROAD  ,56,22/12/2020,6.89,595,-,11585,-,4843,372
13,FLAT B 3/F WAH KAY HOUSE  ,44,21/12/2020,3.5,313,379,11182,9235,543,-17
14,FLAT A 21/F BLOCK 3 PHASE 1 KINGSFORD TERRACE,17,18/12/2020,6.89,590,693,11675,9939,-,
15,FLAT C 42/F TOWER 5B LIONS RISE ,8,18/12/2020,9.88,520,676,19000,14615,3372,28
16,FLAT G 23/F BLOCK 9 TSUI CHUK GARDEN ,31,18/12/2020,6.5,592,660,10980,9848,-,
17,NO. 70 4/F CHONG YIP BUILDING  ,32,18/12/2020,5,453,-,11038,-,-,
18,NO. 26 5/F 24-26 WAN FUNG STREET   (with roof),50,17/12/2020,4.57,469,650,9744,7031,-,
19,FLAT J 5/F BLOCK 9 TSUI CHUK GARDEN ,31,17/12/2020,6.28,591,659,10626,9530,-,
20,FLAT 11 27/F LUNG CHU HOUSE (BLOCK C) LUNG POON COURT ,33,17/12/2020,6.1,426,579,14319,10535,-,
21,FLAT B 10/F FUNG CHEUNG HOUSE  ,48,17/12/2020,5.38,547,680,9835,7912,1932,21
