,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT D 7/F TOWER C THE GRANDVILLE ,14,23/12/2020,10,794,1008,12594,9921,2254,14
1,FLAT C 60/F BLOCK 8 THE PALAZZO ,12,23/12/2020,15.3,940,1197,16277,12782,2283,49
2,FLAT A 2/F LILI COURT (BLOCK 4) WORLD-WIDE GARDENS ,42,22/12/2020,16,1255,1445,12749,11073,4933,187
3,FLAT D 1/F BLOCK 2 PRISTINE VILLA ,25,22/12/2020,9.98,809,985,12336,10132,-,
4,FLAT A 14/F QUEEN'S HEIGHTS (BLOCK 3) SHATIN 33 ,36,22/12/2020,14.8,1296,1676,11420,8831,7495,223
5,FLAT A 11/F BLOCK 3 THE PALAZZO ,12,21/12/2020,13.18,764,979,17251,13463,4594,83
6,FLAT D 11/F BLOCK 6 PHASE 1 PEAK ONE,12,18/12/2020,18.47,1014,1351,18213,13670,3136,57
7,NO. 1 G/F HOUSE 93 JADE VILLAS ,0,18/12/2020,8.35,-,-,-,-,1099,14
8,FLAT C 42/F BLOCK 3 PHASE 1 ROYAL ASCOT,25,18/12/2020,9.28,594,715,15623,12979,6289,295
9,FLAT C 1/F BLOCK 7 PRISTINE VILLA ,25,17/12/2020,13.8,1212,1410,11386,9787,4110,114
10,HOUSE 9 2-3/F HOUSE 9 THE GRANDVILLE  (with roof),14,17/12/2020,37,2075,2600,17831,14231,4987,42
11,FLAT A 13/F PINE COURT (BLOCK 6) WORLD-WIDE GARDENS ,43,17/12/2020,19.98,1603,1840,12464,10859,8311,163
12,FLAT A 5/F BLOCK 11 PRISTINE VILLA ,25,16/12/2020,10,817,978,12240,10225,3631,85
13,FLAT C 6/F COURT B TOWER 2 DRAGONS RANGE ,5,16/12/2020,19.5,1507,-,12940,-,1609,-14
14,FLAT B 38/F BLOCK 7 PHASE 1 ROYAL ASCOT,25,16/12/2020,13.5,958,1128,14092,11968,3164,63
15,FLAT A 15/F TOWER D THE GRANDVILLE ,14,15/12/2020,14.38,922,1180,15597,12186,3039,54
16,FLAT A 2/F FICUS GARDEN  ,29,14/12/2020,12.3,1124,1285,10943,9572,-,
17,FLAT A 15/F LAUREL COURT (BLOCK 3A) WORLD-WIDE GARDENS ,40,14/12/2020,12,894,1025,13423,11707,1172,26
18,FLAT D 25/F BLOCK 5 PHASE 1 ROYAL ASCOT,25,14/12/2020,10.18,676,822,15059,12384,3192,68
19,FLAT J 5/F COURT A TOWER 1 DRAGONS RANGE ,5,14/12/2020,8,663,-,12066,-,2211,10
20,FLAT A 51/F BLOCK 5 THE PALAZZO ,12,11/12/2020,15,773,992,19405,15121,4589,48
21,FLAT D 11/F BLOCK 5 PHASE 1 PEAK ONE,12,11/12/2020,15.8,1014,1351,15582,11695,4381,99
22,FLAT C 35/F BLOCK 7 THE PALAZZO ,12,11/12/2020,13.98,906,1156,15430,12093,1675,32
23,FLAT D 2/F COURT C TOWER 2 DRAGONS RANGE ,5,11/12/2020,9,657,-,13699,-,2213,17
24,FLAT 4 16/F BLOCK C SCENERY GARDEN ,35,11/12/2020,7.08,537,687,13184,10306,3138,99
25,FLAT D 19/F BLOCK 10 THE PALAZZO ,12,11/12/2020,12.66,761,996,16636,12711,1529,32
26,FLAT F 16/F COURT A TOWER 2 DRAGONS RANGE ,5,11/12/2020,8.78,663,-,13243,-,2198,2
27,FLAT B 9/F BLOCK 2 EDEN GARDENS ,36,11/12/2020,11.2,1033,1265,10842,8854,-,
28,FLAT B 25/F RHINE HEIGHTS (BLOCK 4) SHATIN 33 ,36,9/12/2020,16,1296,1675,12346,9552,-,
29,FLAT B 42/F BLOCK 9 PHASE 2 ROYAL ASCOT,24,9/12/2020,13.6,974,1127,13963,12067,3583,70
30,FLAT E 25/F TOWER 1 EL FUTURO  (with roof),0,9/12/2020,9.83,-,-,-,-,-,-
31,FLAT A 8/F BLOCK 6 PHASE 1 ROYAL ASCOT,25,9/12/2020,13.5,1041,1236,12968,10922,8565,10
32,FLAT B 5/F BLOCK 3 JULIMOUNT GARDEN ,33,8/12/2020,16,1386,1674,11544,9558,2712,50
33,FLAT B07 2/F SKY ONE PHASE 2 SKY ONE PEAK ONE,10,8/12/2020,6.6,415,536,15904,12313,2085,20
34,FLAT D 2/F APEX 1 ST MORITZ ,3,7/12/2020,17.88,925,-,19330,-,-,-
35,FLAT D 8/F BLOCK 14 PRISTINE VILLA ,25,4/12/2020,10.3,846,1012,12175,10178,-,
36,HOUSE 8 NO. 18 HOUSE 8 EL FUTURO ,0,4/12/2020,27.84,-,-,-,-,-,-
37,FLAT B 3/F TOWER 3 LA CRESTA ,3,3/12/2020,32,1554,-,20592,-,-,-
38,FLAT A 1/F BLOCK 2 PRISTINE VILLA ,25,2/12/2020,9.85,811,985,12145,10000,1760,22
39,FLAT A 3/F APEX 1 ST MORITZ ,3,2/12/2020,20,1049,-,19066,-,-,-
40,FLAT D 16/F TOWER 1 EL FUTURO ,0,2/12/2020,13.37,-,-,-,-,-,-
41,FLAT F 16/F TOWER 1 EL FUTURO ,0,2/12/2020,10.16,-,-,-,-,-,-
42,FLAT E 6/F TOWER 1 EL FUTURO ,0,2/12/2020,8.54,-,-,-,-,-,-
43,FLAT B 6/F BLOCK 12 PRISTINE VILLA ,25,1/12/2020,15.8,1178,1422,13413,11111,7728,139
44,FLAT B 56/F BLOCK 7 THE PALAZZO ,12,1/12/2020,20.68,1012,1298,20435,15932,3065,61
45,FLAT E 50/F BLOCK 1 THE PALAZZO ,12,1/12/2020,9.58,563,719,17016,13324,1759,23
46,FLAT A 50/F BLOCK 2 THE PALAZZO ,12,1/12/2020,18.65,914,1176,20403,15857,1602,47
47,FLAT A2 3/F BLOCK A LOK LAM GARDEN ,35,1/12/2020,9.98,755,858,13219,11632,2226,33
48,FLAT B 37/F BLOCK 2 PHASE 1 ROYAL ASCOT,25,30/11/2020,8.65,594,715,14562,12098,2278,33
49,FLAT F 5/F TOWER 1 EL FUTURO ,0,30/11/2020,8.14,-,-,-,-,-,-
50,FLAT D 15/F TOWER 1 EL FUTURO ,0,27/11/2020,13.3,-,-,-,-,-,-
51,FLAT F 31/F BLOCK 2 PHASE 1 ROYAL ASCOT,25,27/11/2020,19.8,1370,1620,14453,12222,-,
52,FLAT F 6/F TOWER 1 EL FUTURO ,0,26/11/2020,7.98,-,-,-,-,-,-
53,FLAT F 12/F TOWER 1 EL FUTURO ,0,26/11/2020,8.26,-,-,-,-,-,-
54,HOUSE 2 NO. 18 HOUSE 2 EL FUTURO ,0,26/11/2020,25.7,-,-,-,-,-,-
55,HOUSE 10 NO. 18 HOUSE 10 EL FUTURO  (with roof flat roof),0,26/11/2020,28.96,-,-,-,-,-,-
56,FLAT D 19/F TOWER 1 EL FUTURO ,0,26/11/2020,13.27,-,-,-,-,-,-
57,FLAT E 18/F TOWER 1 EL FUTURO ,0,26/11/2020,9.05,-,-,-,-,-,-
58,FLAT D 21/F TOWER C THE GRANDVILLE ,14,26/11/2020,11.88,794,1008,14962,11786,3788,92
59,FLAT E 17/F TOWER 1 EL FUTURO ,0,26/11/2020,8.77,-,-,-,-,-,-
60,FLAT F 25/F TOWER 1 EL FUTURO  (with roof),0,26/11/2020,9.17,-,-,-,-,-,-
61,FLAT F 11/F TOWER 2 EL FUTURO ,0,26/11/2020,9.83,-,-,-,-,-,-
62,FLAT E 19/F TOWER 2 EL FUTURO ,0,26/11/2020,9.44,-,-,-,-,-,-
63,FLAT F 8/F TOWER 2 EL FUTURO ,0,26/11/2020,9.36,-,-,-,-,-,-
64,FLAT D 3/F TOWER 2 EL FUTURO ,0,26/11/2020,15.01,-,-,-,-,-,-
65,FLAT B 12/F TOWER 2 EL FUTURO ,0,26/11/2020,24.21,-,-,-,-,-,-
66,FLAT E 8/F TOWER 2 EL FUTURO ,0,26/11/2020,9.76,-,-,-,-,-,-
67,FLAT E 6/F TOWER B THE GRANDVILLE ,14,25/11/2020,8,577,721,13865,11096,4611,74
68,FLAT C9 12/F WING 2 THE MET. ACAPPELLA ,2,25/11/2020,5.66,-,-,-,-,1011,10
69,FLAT A 8/F BLOCK 6 PHASE 1 PEAK ONE,12,25/11/2020,16,1084,1452,14760,11019,4359,82
70,FLAT B 8/F TOWER 2 EL FUTURO ,0,25/11/2020,18.88,-,-,-,-,-,-
71,FLAT D 25/F TOWER 1 EL FUTURO  (with roof),0,24/11/2020,14.07,-,-,-,-,-,-
72,FLAT C 51/F BLOCK 10 THE PALAZZO ,12,24/11/2020,13,776,993,16753,13092,4062,72
73,FLAT D 23/F TOWER 1 EL FUTURO ,0,24/11/2020,13.93,-,-,-,-,-,-
74,FLAT D 12/F TOWER 2 EL FUTURO ,0,24/11/2020,13.59,-,-,-,-,-,-
75,FLAT F 8/F TOWER 1 EL FUTURO ,0,24/11/2020,8.2,-,-,-,-,-,-
76,FLAT A 8/F TOWER 2 EL FUTURO ,0,24/11/2020,23.52,-,-,-,-,-,-
77,FLAT E 9/F TOWER 2 EL FUTURO ,0,24/11/2020,8.76,-,-,-,-,-,-
78,FLAT F 12/F TOWER 2 EL FUTURO ,0,24/11/2020,8.34,-,-,-,-,-,-
79,FLAT F 16/F TOWER 2 EL FUTURO ,0,24/11/2020,8.89,-,-,-,-,-,-
80,FLAT D 18/F BLOCK 1 THE PALAZZO ,12,24/11/2020,9.2,556,717,16547,12831,2172,33
81,FLAT F 10/F TOWER 2 EL FUTURO ,0,24/11/2020,8.25,-,-,-,-,-,-
82,FLAT E 6/F TOWER 2 EL FUTURO ,0,24/11/2020,8.29,-,-,-,-,-,-
83,FLAT D 6/F TOWER 2 EL FUTURO ,0,24/11/2020,12.79,-,-,-,-,-,-
84,FLAT D 9/F TOWER 2 EL FUTURO ,0,24/11/2020,13.02,-,-,-,-,-,-
85,FLAT B 11/F TOWER 2 EL FUTURO ,0,24/11/2020,19.63,-,-,-,-,-,-
86,FLAT C 9/F TOWER 2 EL FUTURO ,0,24/11/2020,24.01,-,-,-,-,-,-
87,FLAT D 5/F TOWER 2 EL FUTURO ,0,24/11/2020,12.42,-,-,-,-,-,-
88,FLAT D 8/F COURT D TOWER 1 DRAGONS RANGE ,5,24/11/2020,6,654,-,9174,-,2164,-30
89,FLAT D 11/F TOWER 2 EL FUTURO ,0,24/11/2020,13.19,-,-,-,-,-,-
90,FLAT D 56/F BLOCK 2 THE PALAZZO ,12,23/11/2020,9.6,555,-,17297,-,2268,41
91,HOUSE 1 NO. 18 HOUSE  1 EL FUTURO  (with roof flat roof),0,23/11/2020,28,-,-,-,-,-,-
92,HOUSE 9 NO. 18 HOUSE 9 EL FUTURO ,0,23/11/2020,25,-,-,-,-,-,-
93,HOUSE 6 NO. 18 HOUSE 6 EL FUTURO ,0,23/11/2020,22.8,-,-,-,-,-,-
94,FLAT E 21/F TOWER 2 EL FUTURO ,0,23/11/2020,8.86,-,-,-,-,-,-
95,FLAT D 21/F TOWER 2 EL FUTURO ,0,23/11/2020,13.84,-,-,-,-,-,-
96,FLAT D 22/F TOWER 2 EL FUTURO ,0,23/11/2020,13.91,-,-,-,-,-,-
97,FLAT F 21/F TOWER 2 EL FUTURO ,0,23/11/2020,8.71,-,-,-,-,-,-
98,FLAT B 22/F BLOCK 9 PHASE 1 PEAK ONE,12,23/11/2020,12.68,857,1143,14796,11094,1648,30
99,FLAT F 18/F BLOCK 2 PHASE 1 ROYAL ASCOT,25,23/11/2020,18.2,1370,1620,13285,11235,7800,917
100,FLAT B 17/F TOWER 2 EL FUTURO ,0,20/11/2020,20.86,-,-,-,-,-,-
101,FLAT F 22/F TOWER 2 EL FUTURO ,0,20/11/2020,8.75,-,-,-,-,-,-
102,FLAT E 22/F TOWER 2 EL FUTURO ,0,20/11/2020,9.36,-,-,-,-,-,-
103,FLAT D 15/F TOWER 2 EL FUTURO ,0,20/11/2020,13.02,-,-,-,-,-,-
104,FLAT E 9/F TOWER 1 EL FUTURO ,0,20/11/2020,8.6,-,-,-,-,-,-
105,FLAT E 15/F TOWER 2 EL FUTURO ,0,20/11/2020,8.54,-,-,-,-,-,-
106,FLAT F 7/F TOWER 1 EL FUTURO ,0,20/11/2020,7.95,-,-,-,-,-,-
107,FLAT E 7/F TOWER 1 EL FUTURO ,0,20/11/2020,8.3,-,-,-,-,-,-
108,FLAT E 8/F TOWER 1 EL FUTURO ,0,20/11/2020,8.55,-,-,-,-,-,-
109,FLAT D 7/F TOWER 1 EL FUTURO ,0,20/11/2020,12.72,-,-,-,-,-,-
110,FLAT B 7/F BLOCK 1 JULIMOUNT GARDEN ,33,19/11/2020,17.5,1386,1674,12626,10454,3437,61
111,FLAT B 35/F BLOCK 10 PHASE 2 ROYAL ASCOT,24,19/11/2020,13.1,974,1127,13450,11624,3167,76
112,FLAT D 10/F TOWER 1 EL FUTURO ,0,19/11/2020,12.94,-,-,-,-,-,-
113,FLAT F 9/F TOWER 1 EL FUTURO ,0,19/11/2020,8.25,-,-,-,-,-,-
114,FLAT D 19/F TOWER 2 EL FUTURO ,0,19/11/2020,13.68,-,-,-,-,-,-
115,FLAT F 23/F TOWER 2 EL FUTURO ,0,19/11/2020,8.85,-,-,-,-,-,-
116,FLAT E 17/F TOWER 2 EL FUTURO ,0,19/11/2020,9.08,-,-,-,-,-,-
117,FLAT E 23/F TOWER 2 EL FUTURO ,0,19/11/2020,9.47,-,-,-,-,-,-
118,FLAT D 23/F TOWER 2 EL FUTURO ,0,19/11/2020,14.08,-,-,-,-,-,-
119,FLAT D 17/F TOWER 2 EL FUTURO ,0,19/11/2020,13.84,-,-,-,-,-,-
120,FLAT A 2/F TOWER 2 EL FUTURO ,0,19/11/2020,22.79,-,-,-,-,-,-
121,FLAT A 17/F TOWER 2 EL FUTURO ,0,19/11/2020,25.35,-,-,-,-,-,-
122,FLAT F 25/F TOWER 2 EL FUTURO  (with roof),0,19/11/2020,9.33,-,-,-,-,-,-
123,FLAT D 18/F COURT A TOWER 2 DRAGONS RANGE ,5,19/11/2020,10.8,735,-,14694,-,-,
124,FLAT E 18/F TOWER 2 EL FUTURO ,0,19/11/2020,8.7,-,-,-,-,-,-
125,FLAT D 25/F TOWER 2 EL FUTURO  (with roof),0,19/11/2020,14.76,-,-,-,-,-,-
126,FLAT D 18/F TOWER 2 EL FUTURO ,0,19/11/2020,13.09,-,-,-,-,-,-
127,SKY POOL PENTHOUSE 11/F TOWER 5 MOUNT REGALIA ,2,19/11/2020,98,2375,-,41263,-,-,-
128,FLAT D 18/F TOWER 1 EL FUTURO ,0,18/11/2020,13.53,-,-,-,-,-,-
129,FLAT C 22/F BLOCK 2 THE PALAZZO ,12,18/11/2020,11.04,696,892,15859,12374,3680,71
130,FLAT F 2/F TOWER 2 EL FUTURO ,0,18/11/2020,7.73,-,-,-,-,-,-
131,FLAT E 10/F TOWER 2 EL FUTURO ,0,18/11/2020,8.6,-,-,-,-,-,-
132,FLAT E 7/F TOWER 2 EL FUTURO ,0,18/11/2020,8.24,-,-,-,-,-,-
133,FLAT E 11/F TOWER 1 EL FUTURO ,0,18/11/2020,8.7,-,-,-,-,-,-
134,FLAT B 10/F TOWER 2 EL FUTURO ,0,18/11/2020,19.37,-,-,-,-,-,-
135,FLAT F 5/F TOWER 2 EL FUTURO ,0,18/11/2020,8.01,-,-,-,-,-,-
136,FLAT D 20/F TOWER 2 EL FUTURO ,0,18/11/2020,14.09,-,-,-,-,-,-
137,FLAT F 3/F TOWER 2 EL FUTURO ,0,18/11/2020,7.77,-,-,-,-,-,-
138,FLAT E 25/F TOWER 2 EL FUTURO  (with roof),0,18/11/2020,9.99,-,-,-,-,-,-
139,FLAT E 12/F TOWER 2 EL FUTURO ,0,18/11/2020,8.92,-,-,-,-,-,-
140,FLAT A 11/F TOWER 2 EL FUTURO ,0,18/11/2020,23.84,-,-,-,-,-,-
141,FLAT F 9/F TOWER 2 EL FUTURO ,0,18/11/2020,8.4,-,-,-,-,-,-
