,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT C 33/F TOWER 6 OCEAN VIEW ,17,23/12/2020,8.08,490,655,16490,12336,1697,37
1,FLAT E 25/F TOWER 1 THE WATERSIDE ,23,23/12/2020,7.2,483,690,14907,10435,4249,220
2,FLAT A 7/F TOWER 6 LAKE SILVER ,11,23/12/2020,22.2,1564,2052,14194,10819,1536,25
3,FLAT D 11/F BLOCK 5 PHASE 1 DOUBLE COVE,7,23/12/2020,11.98,799,1038,14994,11541,2461,44
4,FLAT E 11/F BLOCK 2 FOK ON GARDEN ,28,23/12/2020,7,592,721,11824,9709,-,
5,FLAT H 4/F BLOCK 4 PHASE 5 THE TOLO PLACE SUNSHINE CITY,24,22/12/2020,8.5,649,824,13097,10316,4812,256
6,FLAT 3 28/F KAM YEE HOUSE (BLOCK K) KAM YING COURT ,29,22/12/2020,5.05,401,514,12594,9825,-,
7,FLAT 2 4/F BLOCK P PHASE 3 SUNSHINE CITY,26,22/12/2020,5.85,337,451,17359,12971,2342,63
8,FLAT 7 23/F KAM LAN HOUSE (BLOCK J) KAM FUNG COURT ,24,21/12/2020,5.48,540,738,10148,7425,-,
9,FLAT F 23/F BLOCK 7 MONTE VISTA ,20,21/12/2020,10,751,963,13316,10384,5725,186
10,FLAT E 18/F BLOCK 2 LA COSTA ,16,21/12/2020,11.68,811,1087,14402,10745,1837,34
11,FLAT 16 19/F KAM HUEN HOUSE (BLOCK F) KAM FUNG COURT ,23,21/12/2020,8,642,883,12461,9060,-,
12,FLAT D 7/F BLOCK 2 VILLA ATHENA ,26,21/12/2020,9.5,727,901,13067,10544,2403,41
13,FLAT H 27/F BLOCK 1 FU FAI GARDEN ,29,21/12/2020,7.46,570,701,13088,10642,-,
14,FLAT C 32/F BLOCK 2 PHASE 1 DOUBLE COVE,7,21/12/2020,8.92,548,706,16277,12635,1578,25
15,FLAT E 29/F BLOCK 11 SADDLE RIDGE GARDEN ,27,21/12/2020,5.4,431,502,12529,10757,-,
16,FLAT D 7/F BLOCK 5 PHASE 1 DOUBLE COVE,7,21/12/2020,11.85,798,1035,14850,11449,2453,44
17,FLAT A06 20/F TOWER 1 THE MET. BLOSSOM ,3,21/12/2020,5,283,-,17668,-,1554,21
18,FLAT E 21/F BLOCK 5 BAYCREST ,20,21/12/2020,8.82,605,808,14579,10916,7398,207
19,FLAT B 2/F TOWER 2A SEANORAMA ,2,21/12/2020,25.2,1660,-,15181,-,-,-
20,FLAT E 30/F BLOCK 21 PHASE 2 DOUBLE COVE STARVIEW DOUBLE COVE,6,21/12/2020,8,498,-,16064,-,2492,46
21,FLAT B 25/F TOWER 6 PHASE 2 VISTA PARADISO,21,18/12/2020,8,526,656,15209,12195,8384,111
22,FLAT K 6/F BLOCK 12 SADDLE RIDGE GARDEN ,27,18/12/2020,2.75,431,502,6381,5478,-,
23,FLAT 2 3/F KAM WEI HOUSE (BLOCK E) KAM TAI COURT ,20,18/12/2020,6.78,650,-,10431,-,-,
24,FLAT B 3/F TOWER 4 PHASE 2 VISTA PARADISO,21,18/12/2020,9.2,748,930,12299,9892,2751,63
25,FLAT A 12/F CEDAR COURT TOWER 1 PHASE 1 ST. BARTHS,1,18/12/2020,34.91,1353,-,25800,-,-,-
26,FLAT D 29/F BLOCK 5 MONTE VISTA ,20,18/12/2020,8.55,693,892,12338,9585,4904,185
27,FLAT F 12/F BLOCK 1 LA COSTA ,16,18/12/2020,7.5,492,678,15244,11062,4860,213
28,FLAT A03 20/F TOWER 1 THE MET. BLOSSOM ,3,18/12/2020,4,238,-,16807,-,1554,10
29,FLAT H 18/F BLOCK 3 CHEVALIER GARDEN ,33,17/12/2020,4.4,590,665,7454,6614,-,
30,FLAT A 7/F TOWER 1 THE ENTRANCE ,1,17/12/2020,34.9,1615,-,21610,-,-,-
31,FLAT B 5/F TOWER 4 PHASE 2 VISTA PARADISO,21,17/12/2020,9.15,748,930,12233,9839,2367,49
32,FLAT 3 32/F KAM FOON HOUSE (BLOCK A) KAM HAY COURT ,30,17/12/2020,5.43,401,515,13541,10544,-,
33,FLAT B 29/F TOWER 7A OCEANAIRE ,9,17/12/2020,8.5,756,995,11243,8543,3704,47
34,FLAT G 9/F BLOCK 2 PHASE 1 DOUBLE COVE,7,17/12/2020,7.98,491,638,16253,12508,2618,61
35,FLAT D 16/F BLOCK 7 VILLA ATHENA ,26,16/12/2020,9.98,727,901,13728,11077,2754,51
36,FLAT C 25/F BLOCK 11 MONTE VISTA ,20,16/12/2020,9.45,765,985,12353,9594,3796,122
37,FLAT 4 28/F BLOCK G PHASE 4 SUNSHINE CITY,26,16/12/2020,9.3,618,830,15049,11205,2767,66
38,FLAT G 11/F BLOCK 23 PHASE 3 DOUBLE COVE STARVIEW P DOUBLE COVE,5,16/12/2020,9.58,564,-,16986,-,2206,21
39,FLAT G 29/F BLOCK 1 PHASE 1 DOUBLE COVE,7,16/12/2020,7.64,521,643,14660,11879,2977,30
40,FLAT D 1/F TOWER 3 ALTISSIMO ,0,16/12/2020,8.67,525,-,16512,-,-,-
41,FLAT A02 16/F TOWER 2 THE MET. BLOSSOM ,3,16/12/2020,4.15,221,-,18778,-,1551,34
42,FLAT B 9/F TOWER 3 BAYSHORE TOWERS ,26,16/12/2020,6.4,426,576,15023,11111,4793,237
43,FLAT G 9/F TOWER 3 PHASE 1 VISTA PARADISO,22,16/12/2020,7.9,788,977,10025,8086,3009,34
44,FLAT F 61/F TOWER 3 LAKE SILVER ,11,16/12/2020,8.6,552,723,15580,11895,4197,153
45,FLAT 7 12/F BLOCK F PHASE 4 SUNSHINE CITY,26,16/12/2020,6.25,363,496,17218,12601,3603,140
46,FLAT A 21/F TOWER 1 THE WATERSIDE ,23,15/12/2020,10,779,1053,12837,9497,3805,109
47,FLAT 4 24/F BLOCK B PHASE 1 SUNSHINE CITY,27,15/12/2020,7.8,568,687,13732,11354,4271,206
48,FLAT D 26/F BLOCK 2 FU FAI GARDEN ,29,15/12/2020,7.5,570,701,13158,10699,-,
49,FLAT A 20/F BLOCK 1 PHASE 5 THE TOLO PLACE SUNSHINE CITY,24,15/12/2020,15.6,932,1223,16738,12756,6990,343
50,FLAT F 21/F BLOCK 18 PHASE 2 DOUBLE COVE STARVIEW DOUBLE COVE,6,15/12/2020,8.18,490,-,16694,-,2493,50
51,FLAT A 12/F TOWER 5A OCEANAIRE ,9,15/12/2020,9.6,785,1025,12229,9366,1068,1
52,FLAT D 28/F BLOCK 2 PHASE 1 DOUBLE COVE,7,14/12/2020,12.36,798,1037,15489,11919,2402,26
53,FLAT C 10/F TOWER 4 MA ON SHAN CENTRE ,26,14/12/2020,6.27,375,506,16720,12391,1522,23
54,FLAT 3 34/F YUK ON HOUSE (BLOCK A) KAM ON COURT ,33,14/12/2020,5.3,401,512,13217,10352,-,
55,FLAT F 15/F TOWER 8 LAKE SILVER ,11,14/12/2020,8.28,541,711,15305,11646,4207,147
