,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
0,FLAT B 22/F GRACEFUL MANSION (BLOCK H2) PHASE 12 SIENA TWO DISCOVERY BAY,18,23/12/2020,6.28,-,815,-,7706,6009,132
1,FLAT A 14/F GREENERY COURT (BLOCK 1) PH 5-GREENVALE VILLAGE DISCOVERY BAY,30,23/12/2020,6.2,693,856,8947,7243,1484,10
2,FLAT E 11/F GRACEFUL MANSION (BLOCK H2) PHASE 12 SIENA TWO DISCOVERY BAY,18,22/12/2020,5.25,447,603,11745,8706,4155,156
3,FLAT B 5/F BLOCK 5 PHASE 16 POGGIBONSI DISCOVERY BAY,0,21/12/2020,7.51,551,-,13632,-,-,-
4,FLAT E 1/F BLOCK 5 PHASE 16 POGGIBONSI DISCOVERY BAY,0,21/12/2020,10.13,755,-,13411,-,-,-
5,FLAT F 4/F TWILIGHT COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,28,18/12/2020,6.7,709,859,9450,7800,5921,290
6,FLAT A 3/F GREENBELT COURT (BLOCK 9) PH 5-GREENVALE VILLAGE DISCOVERY BAY,26,18/12/2020,5.94,649,776,9153,7655,1162,9
7,FLAT B 14/F GREENMONT COURT (BLOCK 8) PH 5-GREENVALE VILLAGE DISCOVERY BAY,26,18/12/2020,6.15,757,868,8124,7085,3856,86
8,FLAT E NO. 8 8 SEAHORSE LANE PH 1-BEACH VIL. SEAHORSE LANE DISCOVERY BAY,38,18/12/2020,10,962,-,10395,-,2536,11
9,FLAT D 11/F JOVIAL COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,17/12/2020,7.3,755,889,9669,8211,2559,30
10,FLAT A 11/F NEO HORIZON II  (BLOCK II) PHASE 10 NEO HORIZON  DISCOVERY BAY,20,17/12/2020,6.15,580,747,10603,8233,1893,17
11,FLAT C 10/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,17/12/2020,10.53,715,-,14727,-,-,-
12,FLAT C 3/F CRYSTAL COURT PH 3-PARKVALE VILLAGE DISCOVERY BAY,32,16/12/2020,7.02,624,727,11250,9656,3045,67
13,FLAT E 15/F SUNRISE PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,15/12/2020,4.6,440,530,10450,8675,1279,8
14,FLAT J NO. 9 9 PARKLAND DRIVE PH 3-HEADLAND VIL.PARKLAND DR. DISCOVERY BAY,33,15/12/2020,12.18,1183,1259,10296,9674,5197,74
15,FLAT 10 7/F D B PLAZA PH 6-DB PLAZA DISCOVERY BAY,29,15/12/2020,4.95,464,604,10668,8195,7812,173
16,FLAT C 6/F BLOCK 5 PHASE 16 POGGIBONSI DISCOVERY BAY,0,14/12/2020,7.84,556,-,14097,-,-,-
17,FLAT A 3/F BLOCK 5 PHASE 16 POGGIBONSI DISCOVERY BAY,0,14/12/2020,13.88,1066,-,13021,-,-,-
