Year,Quarter ,GDP_current_market_prices,GDP_chained,Per_capita_GDP_current_market_prices,Per_capita_GDP_chained
2017,,"2,659,384","2,756,666","359,780","372,941"
2018,,"2,835,161","2,835,161","380,507","380,507"
2019,,"2,865,679","2,799,736","381,714","372,930"
2017,Q1,"631,418","664,564",N.A.,N.A.
,Q2,"628,277","653,929",N.A.,N.A.
,Q3,"679,352","699,971",N.A.,N.A.
,Q4,"720,337","738,202",N.A.,N.A.
2018,Q1,"684,538","694,636",N.A.,N.A.
,Q2,"673,764","675,839",N.A.,N.A.
,Q3,"723,240","718,222",N.A.,N.A.
,Q4,"753,619","746,464",N.A.,N.A.
2019,Q1,"707,866","699,338",N.A.,N.A.
,Q2,"694,280","678,398",N.A.,N.A.
,Q3,"719,326","698,211",N.A.,N.A.
,Q4,"744,207","723,789",N.A.,N.A.
2020,Q1,"661,590","635,722",N.A.,N.A.
,Q2,"636,860","617,623",N.A.,N.A.
,Q3,"698,317","673,627",N.A.,N.A.
